# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871933. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Age [ka BP],Δδ18O [‰]
469.5,0.9701
470,1.0251
470.5,1.1234
471,1.1677
471.5,1.175
472,1.7759
472.5,3.3047
473,4.203
473.5,3.7249
474,3.3529
474.5,3.1058
475,2.7536
475.5,1.7669
476,0.9052
476.5,0.7137
477,0.9707
477.5,1.2921
478,0.781
478.5,0.8203
479,0.7672
479.5,0.7421
480,0.7655
480.5,1.9342
481,2.6997
481.5,1.3656
482,0.9821
482.5,0.8865
483,0.8948
483.5,0.859
484,0.7763
484.5,0.8413
485,0.8908
485.5,0.9452
486,0.8567
486.5,0.725
487,0.7683
487.5,0.74
488,0.8985
488.5,1.0023
489,1.0177
489.5,0.9996
490,1.017
490.5,1.0179
491,0.954
491.5,1.2946
492,1.1996
492.5,1.0473
493,0.8877
493.5,0.7088
494,0.6683
494.5,0.8444
495,0.5211
495.5,0.8367
496,0.8686
496.5,0.7837
497,1.004
497.5,0.889
498,0.7464
498.5,0.7657
499,0.9295
499.5,0.8477
500,0.7969
500.5,0.8789
501,0.9404
501.5,0.9458
502,1.1983
502.5,1.089
503,1.0153
503.5,0.9493
504,1.4361
504.5,1.603
505,1.2314
505.5,1.2623
506,1.2477
506.5,1.3223
507,1.444
507.5,1.6157
508,1.568
508.5,1.8187
509,1.4477
509.5,1.1297
510,1.1906
510.5,1.4467
511,1.2042
511.5,1.0707
512,1.0707
512.5,0.8439
513,0.8943
513.5,0.9747
514,0.9075
514.5,0.8556
515,0.9806
515.5,0.9007
516,0.9663
516.5,1.025
517,0.9028
517.5,1.0752
518,0.9284
518.5,0.8399
519,0.8953
519.5,0.8828
520,0.835
520.5,1.0103
521,0.9602
521.5,0.9143
522,1.034
522.5,0.9975
523,0.9953
523.5,0.9765
524,0.9621
524.5,0.9709
525,1.0027
525.5,1.1312
526,1.1683
526.5,1.2469
527,1.0978
527.5,0.9418
528,1.0554
528.5,0.9429
529,0.945
529.5,1.0441
530,0.957
530.5,0.8252
531,1.0087
531.5,1.0569
532,1.2661
532.5,1.3709
533,1.7341
533.5,2.0441
534,1.6922
534.5,1.4723
535,1.4345
535.5,1.4392
536,1.3513
536.5,1.3989
537,1.4979
537.5,1.3016
538,1.3654
538.5,1.4006
539,1.2548
539.5,1.2666
540,1.5685
540.5,1.5814
541,1.2857
541.5,1.3578
542,1.4258
542.5,1.467
543,1.4072
543.5,1.4691
544,1.7291
544.5,1.9189
545,2.241
545.5,1.9817
546,1.5929
546.5,1.5358
547,1.3756
547.5,1.3523
548,1.5109
548.5,1.6231
549,1.4627
549.5,1.3133
550,1.1741
550.5,1.342
551,1.4375
551.5,1.2471
552,1.1586
552.5,1.0932
553,0.8916
553.5,0.9892
554,0.9258
554.5,1.0406
555,1.5442
555.5,1.7478
556,1.6779
556.5,1.6048
557,1.7048
557.5,1.8705
558,1.8171
558.5,1.7347
559,1.6926
559.5,1.4076
560,1.4905
560.5,1.958
561,1.9342
561.5,2.0606
562,2.174
562.5,2.3059
563,2.8378
563.5,2.9661
564,2.406
564.5,1.6371
565,1.2527
565.5,1.0664
566,1.1471
566.5,1.0383
567,0.8664
567.5,0.7472
568,0.8416
568.5,0.9796
569,0.9217
569.5,0.9129
570,0.9046
570.5,0.8266
571,1.1157
571.5,1.2019
572,1.3104
572.5,1.394
573,1.3422
573.5,1.3784
574,1.4263
574.5,1.3614
575,1.2849
575.5,1.2334
576,1.2085
576.5,1.2584
577,1.4685
577.5,1.4834
578,1.4982
578.5,1.4283
579,1.3166
579.5,1.5169
580,1.7625
580.5,2.1251
581,2.4284
581.5,2.5125
582,2.9364
582.5,2.2191
583,2.1388
583.5,2.1445
584,2.1943
584.5,1.905
585,1.6959
585.5,1.6632
586,1.5446
586.5,1.3901
587,1.4047
587.5,1.4608
588,1.4239
588.5,1.3197
589,1.4391
589.5,1.4991
590,1.5936
590.5,1.41
591,1.799
591.5,2.0619
592,2.0711
592.5,1.93
593,2.1034
593.5,1.7645
594,1.6338
594.5,1.5577
595,1.6491
595.5,1.8341
596,1.9787
596.5,2.042
597,2.1028
597.5,2.4616
598,2.6297
598.5,2.8198
599,2.7274
599.5,2.3369
600,2.1497
600.5,2.0259
601,2.0822
601.5,2.1128
602,2.1352
602.5,2.1298
603,2.1313
603.5,2.0001
604,1.8806
604.5,1.809
605,1.8379
605.5,1.9003
606,1.7525
606.5,1.6705
607,1.8287
607.5,1.8403
608,1.6431
608.5,1.7448
609,1.7374
609.5,1.7055
610,1.6061
610.5,1.7189
611,1.7433
611.5,1.567
612,1.4922
612.5,1.4976
613,1.4987
613.5,1.6221
614,1.5505
614.5,1.7166
615,1.6808
615.5,1.7263
616,1.9238
616.5,1.8235
617,2.1444
617.5,2.396
618,2.1423
618.5,1.8661
619,2.2615
619.5,2.3388
620,2.7844
620.5,3.0078
621,3.207
621.5,3.6294
622,4.1035
622.5,5.6363
623,6.4249
623.5,6.5688
624,7.5848
624.5,8.5257
625,9.1967
625.5,9.6386
626,9.8811
626.5,9.8239
627,9.5619
627.5,9.6778
628,8.8549
628.5,7.0843
629,4.5422
629.5,3.7089
630,4.4389
630.5,4.8118
631,2.8634
631.5,2.0273
632,2.1247
632.5,1.7824
633,1.6879
633.5,1.7343
634,1.7898
634.5,2.0009
635,2.2158
635.5,2.3714
636,2.3269
636.5,2.5223
637,2.8952
637.5,3.2099
638,4.1583
638.5,5.5366
639,6.9373
639.5,8.1859
640,8.9881
640.5,8.3351
641,4.1108
641.5,2.855
642,2.2485
642.5,2.438
643,2.1744
643.5,2.0508
644,2.2444
644.5,2.4207
645,2.4208
645.5,2.2106
646,2.239
646.5,2.2701
647,2.4893
647.5,2.7753
648,2.5034
648.5,2.749
649,2.4407
649.5,2.1225
650,2.0923
650.5,2.0495
651,1.7698
651.5,2.1346
652,2.3858
652.5,2.607
653,2.4124
653.5,2.3047
654,2.2035
654.5,2.0416
655,1.9031
655.5,1.826
656,1.6064
656.5,1.4207
657,1.4152
657.5,1.5411
658,2.2853
658.5,2.6368
659,2.7186
659.5,2.5204
660,2.9656
660.5,3.0631
661,2.8743
661.5,3.032
662,3.9426
662.5,4.223
663,2.6046
663.5,2.0847
664,2.2003
664.5,2.2765
665,2.4054
665.5,2.4419
666,2.5987
666.5,3.1235
667,3.8999
667.5,4.6499
668,4.0444
668.5,3.3091
669,2.637
669.5,2.2602
670,2.5432
670.5,2.701
671,2.8258
671.5,3.1338
672,3.6429
672.5,3.5694
673,2.7749
673.5,2.3932
674,2.4447
674.5,2.9849
675,3.2167
675.5,4.4098
676,4.5474
676.5,2.554
677,2.0516
677.5,1.877
678,1.7422
678.5,1.6049
679,1.4761
679.5,1.3952
680,1.4722
680.5,1.4105
681,1.5106
681.5,1.8726
682,2.397
682.5,2.3343
683,2.1812
683.5,2.1195
684,1.8302
684.5,1.8908
685,2.4542
685.5,4.217
686,4.4846
686.5,3.2527
687,2.9823
687.5,2.5585
688,2.1233
688.5,1.5556
689,1.3218
689.5,1.0843
690,1.0852
690.5,0.8974
691,0.8261
691.5,0.8692
692,0.7042
692.5,0.7952
693,0.6806
693.5,0.8614
694,0.8388
694.5,0.7739
695,0.7683
695.5,0.7048
696,0.7051
696.5,0.788
697,0.8866
697.5,0.7449
698,0.7992
698.5,0.8787
699,1.0391
699.5,0.9805
700,0.8697
700.5,1.1348
701,1.1935
701.5,1.3938
702,1.27
702.5,1.349
703,1.3316
703.5,1.191
704,1.1907
704.5,1.2365
705,1.0452
705.5,1.137
706,1.3218
706.5,1.4099
707,1.4695
707.5,1.4026
708,1.414
708.5,1.5273
709,1.6224
709.5,1.7725
710,1.8833
710.5,1.8529
711,1.7737
711.5,1.5361
712,1.4986
712.5,1.4295
713,2.1145
713.5,2.6789
714,4.6882
714.5,5.076
715,5.6734
715.5,5.1153
716,5.2481
716.5,5.1006
717,5.5324
717.5,5.2177
718,6.0936
718.5,6.1456
719,5.6335
719.5,4.3809
720,3.1544
720.5,2.5254
721,2.2073
721.5,2.019
722,1.858
722.5,1.7102
723,1.5681
723.5,1.6479
724,1.727
724.5,1.5437
725,1.5114
725.5,1.5888
726,1.5909
726.5,1.576
727,1.6077
727.5,1.5168
728,1.5728
728.5,1.7346
729,1.7509
729.5,1.6052
730,1.6559
730.5,1.5805
731,1.6505
731.5,1.7099
732,1.8791
732.5,1.955
733,1.9433
733.5,1.9108
734,1.6916
734.5,1.6485
735,1.9278
735.5,1.9062
736,1.96
736.5,2.0204
737,1.9201
737.5,1.964
738,2.0024
738.5,2.005
739,2.0256
739.5,1.927
740,2.0138
740.5,2.0405
741,2.0463
741.5,2.1476
742,2.284
742.5,2.3903
743,2.3263
743.5,2.4074
744,2.7453
744.5,3.6682
745,3.3689
745.5,2.7843
746,2.432
746.5,2.1067
747,2.1835
747.5,2.3313
748,2.364
748.5,2.4012
749,2.4486
749.5,2.6235
750,2.8897
750.5,2.9762
751,2.9022
751.5,3.4686
752,4.6069
752.5,5.4037
753,5.1896
753.5,4.4189
754,3.7152
754.5,2.7476
755,2.369
755.5,2.2032
756,2.1538
756.5,2.245
757,2.356
757.5,2.1676
758,2.2078
758.5,2.1857
759,2.3105
759.5,2.7941
760,3.3706
760.5,3.4856
761,3.4352
761.5,3.185
762,2.6832
762.5,2.3197
763,2.4003
763.5,2.257
764,2.3409
764.5,2.5293
765,2.7533
765.5,3.5713
766,3.6746
766.5,2.6412
767,2.0686
767.5,1.8723
768,1.6452
768.5,1.8094
769,1.7613
769.5,1.784
770,1.8933
770.5,1.5863
771,1.5648
771.5,1.3766
772,1.2921
772.5,1.2784
773,1.2489
773.5,1.1437
774,1.0936
774.5,1.1824
775,1.1096
775.5,1.11
776,1.1215
776.5,1.1426
777,1.2883
777.5,1.3992
778,1.2187
778.5,1.1507
779,1.3645
779.5,1.24
780,1.2652
780.5,1.1633
781,1.2169
781.5,1.2152
782,1.2514
782.5,1.3258
783,1.305
783.5,1.2594
784,1.0972
784.5,1.0674
785,1.0924
785.5,0.9588
786,0.9953
786.5,1.0808
787,1.2451
787.5,1.1371
788,1.4259
788.5,1.3436
789,1.932
789.5,2.3101
790,2.7801
790.5,3.5898
791,4.1882
791.5,4.6492
792,5.2477
792.5,5.8388
793,5.8065
793.5,5.4682
794,5.4316
794.5,5.2423
795,4.6262
795.5,3.3074
796,2.7381
796.5,2.318
797,1.7892
797.5,1.498
798,1.5842
798.5,1.335
799,1.2378
799.5,0.9889
800,0.7932
800.5,0.9656
801,1.0104
801.5,0.9994
802,0.9118
802.5,0.9289
803,1.0531
803.5,1.1154
804,1.0352
804.5,1.0377
805,0.9107
805.5,1.1302
806,1.1407
806.5,1.0443
807,1.0406
807.5,0.9904
808,0.9757
808.5,1.1033
809,1.2569
809.5,1.288
810,1.1154
810.5,1.1256
811,1.1464
811.5,1.3003
812,1.5032
812.5,1.382
813,1.07
813.5,0.7666
814,0.7246
814.5,0.8035
815,0.7502
815.5,0.4729
816,0.5599
816.5,0.7677
817,0.8102
817.5,0.7112
818,0.7562
818.5,0.7451
819,1.0321
819.5,1.1701
820,1.26
820.5,1.2172
821,1.1601
821.5,1.3694
822,1.759
822.5,1.3925
823,1.3677
823.5,1.4444
824,1.3604
824.5,1.4507
825,1.368
825.5,1.4928
826,1.62
826.5,1.6157
827,1.3084
827.5,0.9864
828,1.5116
828.5,1.4875
829,1.5288
829.5,1.4427
830,1.32
830.5,1.2893
831,1.8014
831.5,2.7704
832,3.7881
832.5,4.9846
833,4.282
833.5,2.4443
834,1.831
834.5,1.7759
835,1.5709
835.5,1.5034
836,1.5297
836.5,1.6312
837,1.669
837.5,1.6651
838,1.6878
