/* DESCRIPTION:
Reference:	Fleitmann, D., H. Cheng, S. Badertscher, R.L. Edwards, M. Mudelsee, O.M. Göktürk, A. Fankhauser, R. Pickering, C.C. Raible, A. Matter, J. Kramers, and O. Tüysüz.  2009. Timing and climatic impact of Greenland interstadials recorded in stalagmites from northern Turkey. Geophys. Res. Lett., 36, L19707, doi:10.1029/2009GL040050
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/8637. Accessed 22 Nov 2022.
Comment:	Years were converted to ka.
*/
Age [ka BP]	  del13C	    del18O
1.64875	-10.34	-8.07
1.65627	-9.92	-7.97
1.66379	-10.29	-8.08
1.67131	-10.15	-8.09
1.67883	-10	-8.03
1.68635	-10.01	-7.9
1.69387	-10.17	-8.08
1.70138	-10.28	-8.03
1.7089	-10.05	-8.03
1.71642	-9.94	-8.09
1.72394	-9.99	-8.04
1.73146	-10.14	-7.96
1.73898	-10.02	-7.88
1.7465	-9.87	-7.81
1.75402	-9.95	-7.85
1.76154	-10.14	-7.9
1.76906	-10.19	-8.11
1.77658	-10.27	-8.05
1.7841	-10.06	-7.97
1.79162	-10.04	-8.05
1.79913	-9.99	-8.04
1.80665	-9.91	-7.97
1.81417	-10.05	-8.01
1.82169	-9.94	-8.01
1.82921	-9.83	-8.09
1.83673	-9.69	-8.15
1.84425	-9.67	-8.1
1.85177	-9.85	-8.14
1.85929	-9.79	-8.2
1.86681	-9.81	-8.16
1.87433	-9.74	-8.02
1.88185	-9.73	-7.99
1.88937	-9.84	-7.98
1.89688	-9.96	-8.02
1.9044	-10	-8.08
1.91192	-10.02	-8.08
1.91944	-10.09	-8.12
1.92696	-10.12	-8.1
1.93448	-9.99	-7.97
1.942	-9.91	-7.94
1.95236	-9.77	-7.9
1.96272	-9.88	-8.04
1.97308	-9.89	-8.04
1.98344	-9.99	-8.06
1.9938	-9.99	-8.02
2.00416	-9.91	-7.98
2.01452	-10.07	-8
2.02488	-10.24	-7.99
2.03524	-10.31	-8.07
2.0456	-10.21	-8.12
2.05596	-10.15	-8.28
2.06632	-9.79	-8.26
2.07668	-9.91	-8.41
2.08704	-9.95	-8.4
2.0974	-9.87	-8.45
2.10776	-9.93	-8.32
2.11812	-10.12	-8.23
2.12848	-9.88	-7.99
2.13884	-9.95	-8.08
2.1492	-10.18	-8.15
2.15956	-10.15	-8.14
2.16992	-10.12	-8.08
2.18028	-10.21	-8.13
2.19064	-10.3	-8.16
2.201	-10.22	-8.15
2.21136	-10.09	-8.22
2.22172	-10.11	-8.22
2.23208	-10.19	-8.16
2.24244	-10.29	-8.24
2.2528	-10.31	-8.31
2.26316	-10.19	-8.21
2.27352	-10.13	-8.27
2.28388	-9.96	-8.33
2.29424	-10.13	-8.38
2.3046	-10.13	-8.28
2.31496	-10.11	-8.23
2.32532	-10.11	-8.3
2.33568	-10.12	-8.25
2.34604	-10.14	-8.26
2.3564	-10.17	-8.19
2.36676	-10.08	-8.12
2.37712	-9.99	-8.12
2.38748	-10.03	-8.1
2.39784	-10.03	-8.06
2.4082	-10.02	-8
2.41856	-10.19	-8.13
2.42892	-10.44	-8.13
2.43928	-10.43	-8.05
2.44964	-10.26	-8.06
2.46	-10.34	-8.07
2.46565	-10.32	-8.08
2.4713	-10.23	-8.08
2.47695	-10.23	-8.09
2.4826	-10.29	-7.99
2.48825	-10.4	-8.12
2.49389	-10.37	-8.18
2.49954	-10.34	-8.15
2.50519	-10.23	-8.03
2.51084	-10.11	-8.04
2.51649	-10.63	-8.23
2.52214	-10.66	-8.16
2.52779	-10.65	-8.04
2.53344	-10.39	-7.94
2.53909	-10.5	-8.08
2.54474	-10.56	-8
2.55039	-10.41	-7.99
2.55604	-10.55	-7.95
2.56168	-10.43	-8.1
2.56733	-10.57	-8.02
2.57298	-10.52	-8.1
2.57863	-10.79	-8.17
2.58428	-10.75	-8.16
2.58993	-10.03	-8.18
2.59558	-10.26	-7.99
2.60123	-10.42	-8
2.60688	-10.26	-8.17
2.61253	-10.17	-8.06
2.61818	-10.07	-8.15
2.62382	-10.19	-8.11
2.62947	-10.15	-8.1
2.63512	-10.61	-8.2
2.64077	-10.58	-8.12
2.64642	-10.46	-8.01
2.65207	-10.45	-8.06
2.65772	-10.5	-8.01
2.66337	-10.51	-8.25
2.66902	-10.47	-8.13
2.67467	-10.3	-8.14
2.68032	-10.55	-8.11
2.68596	-10.77	-8.04
2.69161	-10.6	-8.05
2.69726	-10.39	-7.93
2.70291	-10.45	-7.91
2.70856	-10.63	-8.05
2.71421	-10.48	-7.97
2.71986	-10.28	-7.83
2.72551	-10.25	-8.04
2.73116	-10.21	-8.07
2.73681	-10.42	-8.01
2.74246	-10.51	-8.09
2.74811	-10.47	-8.02
2.75375	-10.71	-7.99
2.7594	-10.43	-7.97
2.76505	-10.36	-7.96
2.7707	-10.69	-8.05
2.77635	-11	-8.09
2.782	-10.73	-8.1
2.78994	-10.83	-8.1
2.79787	-10.53	-8.17
2.80581	-10.47	-8.05
2.81374	-10.09	-8.23
2.82168	-10.15	-8.09
2.82961	-10.08	-8.18
2.83755	-10.3	-8.07
2.84548	-10.34	-8.06
2.85342	-10.39	-8.07
2.86135	-10.32	-8.09
2.86929	-10.08	-8.03
2.87723	-9.96	-8.04
2.88516	-10.34	-8.09
2.8931	-10.28	-8.03
2.90103	-10.39	-8.19
2.90897	-10.14	-8.1
2.9169	-10.15	-8.12
2.92484	-10.6	-8.13
2.93277	-10.82	-8.19
2.94071	-10.49	-8.18
2.94865	-10	-8.07
2.95658	-9.9	-8.02
2.96452	-10.15	-8.14
2.97245	-10.64	-8.11
2.98039	-10.66	-8.09
2.98832	-10.56	-8.01
2.99626	-10.29	-7.96
3.00419	-10.45	-8.03
3.01213	-10.55	-8.11
3.02006	-10.5	-8.01
3.028	-10.7	-8.05
3.03594	-10.74	-8.01
3.04387	-10.48	-8.05
3.05181	-10.43	-7.96
3.05974	-10.41	-7.83
3.06768	-10.32	-7.89
3.07561	-10.63	-7.91
3.08355	-10.55	-7.94
3.09148	-10.64	-8
3.09942	-10.48	-7.9
3.10735	-10.53	-7.83
3.11529	-10.45	-7.89
3.12323	-10.43	-7.9
3.13116	-10.36	-7.98
3.1391	-10.5	-7.92
3.14703	-10.64	-8.01
3.15497	-10.62	-8.12
3.1629	-10.78	-8.1
3.17084	-10.94	-8.11
3.17877	-10.95	-8.01
3.18671	-10.94	-8.15
3.19465	-11.07	-8.28
3.20258	-11.22	-8.25
3.21052	-11.22	-8.22
3.21845	-11.32	-8.29
3.22639	-11.29	-8.28
3.23432	-11.26	-8.2
3.24226	-10.9	-8.23
3.25019	-10.89	-8.22
3.25813	-10.94	-8.11
3.26606	-11.02	-8.01
3.274	-10.72	-8.04
3.27654	-10.62	-8.15
3.27907	-10.92	-8.09
3.28161	-11	-8.16
3.28414	-10.66	-8.04
3.28668	-10.77	-8.07
3.28922	-10.5	-8.15
3.29175	-10.78	-7.97
3.29429	-10.72	-8.05
3.29683	-10.83	-7.98
3.29936	-10.88	-7.95
3.3019	-10.88	-7.95
3.30443	-10.85	-7.96
3.30697	-10.84	-8
3.30951	-10.76	-7.97
3.31204	-10.85	-8.01
3.31458	-10.77	-7.93
3.31712	-10.86	-7.92
3.31965	-10.94	-7.95
3.32219	-10.98	-8.01
3.32472	-10.69	-8.07
3.32726	-10.93	-8.05
3.3298	-11.12	-8.05
3.33233	-10.96	-8.12
3.33487	-11	-8.17
3.33741	-10.99	-8.14
3.33994	-10.96	-8.25
3.34248	-10.99	-8.19
3.34501	-11.03	-8.25
3.34755	-11.07	-8.22
3.35009	-11.22	-8.17
3.35262	-11.14	-8.19
3.35516	-11.02	-8.19
3.3577	-11.01	-8.19
3.36023	-11.28	-8.19
3.36277	-11.27	-8.21
3.3653	-11.31	-8.19
3.36784	-11.08	-8.23
3.37038	-11.25	-8.15
3.37291	-11.25	-8.15
3.37545	-11.18	-8.12
3.37799	-11.29	-8.12
3.38052	-11.38	-8.16
3.38306	-11.25	-8.11
3.38559	-11.18	-8.14
3.38813	-11.27	-8.11
3.39067	-11.26	-8.11
3.3932	-11.34	-8.18
3.39574	-11.36	-8.13
3.39828	-11.33	-8.1
3.40081	-11.41	-8.1
3.40335	-11.47	-8.08
3.40588	-11.48	-8.06
3.40842	-11.4	-8.09
3.41096	-11.43	-8.16
3.41349	-11.36	-8.03
3.41603	-11.4	-8.13
3.41857	-11.32	-8.2
3.4211	-11.4	-8.25
3.42364	-11.43	-8.27
3.42617	-11.49	-8.29
3.42871	-11.4	-8.4
3.43125	-11.42	-8.33
3.43378	-11.44	-8.31
3.43632	-11.41	-8.3
3.43886	-11.37	-8.32
3.44139	-11.39	-8.37
3.44393	-11.29	-8.34
3.44646	-11.27	-8.43
3.449	-11.26	-8.34
3.45154	-11.38	-8.34
3.45407	-11.32	-8.33
3.45661	-11.39	-8.33
3.45914	-11.36	-8.34
3.46168	-11.35	-8.35
3.46422	-11.27	-8.26
3.46675	-11.37	-8.38
3.46929	-11.43	-8.45
3.47183	-11.5	-8.44
3.47436	-11.39	-8.48
3.4769	-11.5	-8.52
3.47943	-11.47	-8.62
3.48197	-11.45	-8.62
3.48451	-11.48	-8.59
3.48704	-11.42	-8.52
3.48958	-11.39	-8.56
3.49212	-11.46	-8.48
3.49465	-11.56	-8.53
3.49719	-11.51	-8.46
3.49972	-11.47	-8.48
3.50226	-11.41	-8.42
3.5048	-11.41	-8.44
3.50733	-11.25	-8.31
3.50987	-11.2	-8.28
3.51241	-11.27	-8.24
3.51494	-11.2	-8.35
3.51748	-11	-8.25
3.52001	-10.99	-8.26
3.52255	-10.96	-8.2
3.52509	-10.96	-8.15
3.52762	-10.72	-8.08
3.53016	-10.71	-8.1
3.5327	-10.71	-8.17
3.53523	-10.73	-8.1
3.53777	-10.59	-8.17
3.5403	-10.63	-8.18
3.54284	-10.79	-8.2
3.54538	-10.81	-8.23
3.54791	-10.93	-8.24
3.55045	-10.85	-8.23
3.55299	-10.8	-8.22
3.55552	-10.9	-8.1
3.55806	-10.81	-8.14
3.56059	-10.93	-8.13
3.56313	-10.89	-8.13
3.56567	-10.9	-8.14
3.5682	-10.77	-8.02
3.57074	-10.77	-8.09
3.57328	-10.66	-8.04
3.57581	-10.79	-8.13
3.57835	-10.73	-8.05
3.58088	-10.84	-8.05
3.58342	-10.86	-8.15
3.58596	-10.84	-8.07
3.58849	-10.48	-7.93
3.59103	-10.2	-8
3.59357	-10	-8.02
3.5961	-10.1	-8.01
3.59864	-9.96	-8.12
3.60117	-10.06	-7.99
3.60371	-10.41	-8.1
3.60625	-10.46	-8.06
3.60878	-10.47	-8.06
3.61132	-10.4	-7.98
3.61386	-10.51	-8
3.61639	-10.33	-7.97
3.61893	-10.51	-8.05
3.62146	-10.57	-7.95
3.624	-10.59	-8.05
3.62692	-10.91	-8.06
3.62984	-10.89	-7.99
3.63277	-10.91	-8
3.63569	-11.04	-8.05
3.63861	-10.97	-8.07
3.64153	-10.91	-8.02
3.64445	-10.99	-7.96
3.64738	-10.89	-7.98
3.6503	-10.91	-7.99
3.65322	-11.1	-7.97
3.65614	-11.17	-8.02
3.65906	-11.08	-8.02
3.66199	-11.08	-8
3.66491	-11.04	-7.96
3.66783	-11.05	-7.95
3.67075	-10.97	-7.94
3.67368	-10.93	-8
3.6766	-11.06	-7.99
3.67952	-10.82	-8.04
3.68244	-10.76	-7.93
3.68536	-10.75	-8
3.68829	-10.68	-8.09
3.69121	-10.65	-8.06
3.69413	-10.77	-8.07
3.69705	-10.86	-8.08
3.69997	-10.94	-8.12
3.7029	-10.94	-8.03
3.70582	-10.84	-7.97
3.70874	-10.92	-7.99
3.71166	-10.8	-8.01
3.71458	-10.88	-7.86
3.71751	-11.03	-7.93
3.72043	-10.9	-7.98
3.72335	-10.97	-8.03
3.72627	-10.99	-8.01
3.72919	-10.94	-7.95
3.73212	-10.95	-7.87
3.73504	-10.97	-7.92
3.73796	-10.84	-8
3.74088	-10.99	-8.03
3.74381	-10.9	-7.9
3.74673	-10.83	-7.89
3.74965	-10.83	-7.89
3.75257	-10.77	-7.89
3.75549	-10.96	-7.97
3.75842	-10.97	-8.03
3.76134	-11.06	-7.94
3.76426	-11.12	-7.93
3.76718	-11.2	-8.05
3.7701	-11.16	-8.02
3.77303	-11.11	-8
3.77595	-11.11	-8.01
3.77887	-11.11	-8.07
3.78179	-11.14	-7.97
3.78471	-11.04	-8.1
3.78764	-10.99	-8.04
3.79056	-10.98	-8.09
3.79348	-10.96	-8
3.7964	-11.03	-7.99
3.79932	-11.03	-8.07
3.80225	-11.08	-8.04
3.80517	-11.17	-8.02
3.80809	-11.2	-8.12
3.81101	-10.95	-8.11
3.81394	-11	-8.07
3.81686	-10.89	-8.06
3.81978	-10.95	-8.07
3.8227	-11.04	-8.1
3.82562	-10.99	-8.06
3.82855	-11.07	-8.06
3.83147	-11.17	-8.15
3.83439	-11.15	-8.16
3.83731	-11.2	-8.11
3.84023	-11.11	-8.11
3.84316	-10.97	-8.08
3.84608	-11	-8.05
3.849	-11.01	-8.09
3.85192	-11.07	-8.12
3.85484	-11.03	-8.11
3.85777	-11.12	-8.15
3.86069	-11.13	-8.14
