# DESCRIPTION:
# Reference: T.C. Johnson, J.P. Werne, E.T. Brown, A. Abbott, M. Berke, B.A. Steinman, J. Halbur, S. Contreras, S. Grosshuesch, A. Deino, C.A. Scholz, R.P. Lyons, S. Schouten, and J.S. Sinninghe Damste. 2016. A progressively wetter climate in southern East Africa over the past 1.3 million years. Nature, 537(7619), 220-224. doi: 10.1038/nature19065.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/21890. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

Depth [m],Age [ka BP],Ca [1000 Counts per minute]
13.17,28465.98,1.30618
13.18,28492.33,1.3082
13.19,28518.68,1.30825
13.2,28545.02,1.30493
13.21,28571.37,1.30253
13.22,28597.72,1.3076
13.262,28708.38,1.3
13.272,28734.73,1.29955
13.282,28761.08,1.29595
13.292,28787.43,1.29918
13.302,28813.77,1.29628
13.312,28840.12,1.2892
13.322,28866.47,1.28698
13.332,28892.82,1.26233
13.342,28919.17,1.1855
13.352,28945.51,1.15735
13.362,28971.86,1.15425
13.372,28998.21,1.15093
13.382,29024.56,1.14968
13.392,29050.91,1.14938
13.402,29077.25,1.1457
13.412,29103.6,1.14368
13.422,29129.95,1.1379
13.432,29156.3,1.14205
13.442,29182.65,1.1374
13.452,29209,1.13155
13.462,29235.34,1.14105
13.472,29261.69,1.1454
13.482,29288.04,1.1451
13.492,29314.39,1.1407
13.502,29340.74,1.1416
13.512,29367.08,1.14435
13.522,29393.43,1.14688
13.532,29419.78,1.14433
13.542,29446.13,1.13935
13.552,29472.48,1.13818
13.562,29498.82,1.13793
13.572,29525.17,1.13758
13.582,29551.52,1.13403
13.592,29577.87,1.13093
13.602,29604.22,1.13015
13.612,29630.56,1.12603
13.622,29656.91,1.13058
13.632,29683.26,1.13098
13.642,29709.61,1.13365
13.652,29735.96,1.12763
13.662,29762.3,1.11843
13.672,29788.65,1.11118
13.682,29815,1.10483
13.692,29841.35,1.10375
13.702,29867.7,1.09698
13.712,29894.04,1.09385
13.722,29920.39,1.08878
13.732,29946.74,1.08783
13.742,29973.09,1.08623
13.752,29999.44,1.08573
13.762,30025.78,1.08265
13.772,30052.13,1.08128
13.782,30078.48,1.0844
13.792,30104.83,1.08928
13.802,30131.18,1.09293
13.812,30157.52,1.09893
13.822,30183.87,1.09635
13.832,30210.22,1.0937
13.842,30236.57,1.09703
13.852,30262.92,1.10595
13.862,30289.26,1.1145
13.872,30315.61,1.1232
13.882,30341.96,1.13753
13.892,30368.31,1.15615
13.902,30394.66,1.22358
13.912,30421,1.28198
13.922,30447.35,1.30585
13.932,30473.7,1.31428
13.942,30500.05,1.32173
13.952,30526.4,1.3221
13.962,30552.75,1.32745
13.972,30579.09,1.32903
13.982,30605.44,1.33088
13.992,30631.79,1.33028
14.002,30658.14,1.33238
14.012,30684.49,1.33063
14.022,30710.83,1.33078
14.032,30737.18,1.3298
14.042,30763.53,1.32078
14.052,30789.88,1.3115
14.062,30816.23,1.3032
14.072,30842.57,1.29483
14.082,30868.92,1.28113
14.092,30896.12,1.26528
14.102,30926.71,1.20045
14.112,30957.29,1.14428
14.122,30987.88,1.12498
14.132,31018.47,1.1173
14.142,31049.06,1.116
14.152,31079.65,1.12525
14.162,31110.24,1.12895
14.172,31140.83,1.12705
14.182,31171.41,1.12725
14.192,31202,1.13128
14.202,31232.59,1.1276
14.212,31263.18,1.13538
14.222,31293.77,1.13848
14.232,31324.36,1.14303
14.242,31354.95,1.1523
14.252,31385.53,1.16023
14.262,31416.12,1.16415
14.272,31446.71,1.17255
14.282,31477.3,1.17515
14.292,31507.89,1.19078
14.302,31538.48,1.19513
14.312,31569.07,1.19958
14.322,31599.66,1.20383
14.332,31630.24,1.20865
14.342,31660.83,1.22028
14.352,31691.42,1.21958
14.362,31722.01,1.20888
14.372,31752.6,1.20668
14.382,31783.19,1.21243
14.392,31813.78,1.2107
14.402,31844.36,1.21735
14.412,31874.95,1.21973
14.422,31905.54,1.22723
14.432,31936.13,1.23075
14.442,31966.72,1.23573
14.452,31997.31,1.24275
14.462,32027.9,1.24665
14.472,32058.48,1.2447
14.482,32089.07,1.24993
14.492,32119.66,1.24205
14.502,32150.25,1.24778
14.512,32180.84,1.2469
14.522,32211.43,1.2444
14.532,32242.02,1.24455
14.542,32272.6,1.23943
14.552,32303.19,1.23668
14.562,32333.78,1.24685
14.572,32364.37,1.25055
14.582,32394.96,1.24448
14.592,32425.55,1.2474
14.602,32456.14,1.2547
14.612,32486.72,1.25168
14.622,32517.31,1.25553
14.632,32547.9,1.2529
14.642,32578.49,1.24913
14.652,32609.08,1.24643
14.662,32639.67,1.24478
14.672,32670.26,1.24193
14.682,32700.84,1.24183
14.692,32731.43,1.23483
14.702,32762.02,1.22943
14.712,32792.61,1.23203
15.05,33826.5,1.2361
15.06,33857.09,1.2384
15.07,33887.68,1.23035
15.08,33918.27,1.22638
15.09,33948.86,1.21828
15.1,33979.45,1.22065
15.11,34010.03,1.22255
15.12,34040.62,1.22058
15.13,34071.21,1.21248
15.14,34101.8,1.21103
15.15,34132.39,1.19585
15.16,34162.98,1.19525
15.17,34193.57,1.1961
15.18,34224.16,1.18638
15.19,34254.74,1.18498
15.2,34285.33,1.18985
15.21,34315.92,1.19445
15.22,34346.51,1.19698
15.23,34377.1,1.19358
15.24,34407.69,1.19543
15.25,34438.28,1.19715
15.26,34468.86,1.19875
15.27,34499.45,1.2061
15.28,34530.04,1.2115
15.29,34560.63,1.2169
15.3,34591.22,1.22063
15.31,34621.81,1.224
15.32,34652.4,1.22605
15.33,34682.98,1.2263
15.34,34713.57,1.2278
15.35,34744.16,1.23383
15.36,34774.75,1.2393
15.37,34805.34,1.23775
15.38,34835.93,1.24363
15.39,34866.52,1.24755
15.4,34897.1,1.25158
15.41,34927.69,1.25018
15.42,34958.28,1.2548
15.43,34988.87,1.25823
15.44,35019.46,1.25133
15.45,35050.05,1.24893
15.46,35080.64,1.25145
15.47,35111.22,1.25455
15.48,35141.81,1.25648
15.49,35172.4,1.25788
15.5,35202.99,1.26155
15.51,35233.58,1.28045
15.52,35264.17,1.2935
15.53,35294.76,1.29608
15.54,35325.34,1.29688
15.55,35355.93,1.29975
15.56,35386.52,1.3014
15.57,35417.11,1.30435
15.58,35447.7,1.29963
15.59,35478.29,1.29775
15.6,35508.88,1.29228
15.61,35539.46,1.2905
15.62,35570.05,1.28695
15.63,35600.64,1.2855
15.64,35631.23,1.28728
15.65,35661.82,1.28225
15.66,35692.41,1.27435
15.67,35723,1.26918
15.68,35753.58,1.26175
15.69,35784.17,1.26195
15.7,35814.76,1.25393
15.71,35845.35,1.22988
15.72,35875.94,1.21388
15.73,35906.53,1.19915
15.74,35937.12,1.18775
15.75,35967.7,1.17465
15.76,35998.29,1.16298
15.77,36028.88,1.1567
15.78,36059.47,1.1535
15.79,36090.06,1.14675
15.8,36120.65,1.13948
15.81,36151.65,1.12933
15.82,36183.29,1.1214
15.83,36214.93,1.11958
15.84,36246.56,1.11213
15.85,36278.2,1.1019
15.86,36309.83,1.09598
15.87,36341.47,1.08403
15.88,36373.1,1.0838
15.89,36404.74,1.07653
15.9,36436.37,1.06938
15.91,36468.01,1.06645
15.92,36499.64,1.06205
15.93,36531.28,1.0646
15.94,36562.92,1.07395
15.95,36594.55,1.0809
15.96,36626.19,1.08043
15.97,36657.82,1.07445
15.98,36689.46,1.07255
15.99,36721.09,1.07188
16,36752.73,1.07753
16.01,36784.36,1.08298
16.02,36816,1.08458
16.03,36847.63,1.07965
16.04,36879.27,1.08203
16.05,36910.91,1.08705
16.06,36942.54,1.08775
16.07,36974.18,1.09293
16.08,37005.81,1.08595
16.09,37037.45,1.08795
16.1,37069.08,1.08808
16.11,37100.72,1.08338
16.12,37132.35,1.0819
16.13,37163.99,1.08158
16.14,37195.62,1.07043
16.15,37227.26,1.07598
16.16,37258.9,1.07723
16.17,37290.53,1.08113
16.18,37322.17,1.08583
16.19,37353.8,1.09138
16.2,37385.44,1.0925
16.21,37417.07,1.09468
16.22,37448.71,1.0986
16.23,37480.34,1.10255
16.24,37511.98,1.10528
16.266,37594.23,1.10905
16.276,37625.87,1.1134
16.286,37657.5,1.11575
16.296,37689.14,1.12393
16.306,37720.77,1.125
16.316,37752.41,1.13128
16.326,37784.04,1.1402
16.336,37815.68,1.14668
16.346,37847.31,1.15215
16.356,37878.95,1.16308
16.366,37910.59,1.15728
16.376,37942.22,1.15943
16.386,37973.86,1.16435
16.396,38005.49,1.16775
16.406,38037.13,1.1682
16.416,38068.76,1.172
16.426,38100.4,1.17343
16.436,38132.03,1.17838
16.446,38163.67,1.17845
16.456,38195.3,1.18175
16.466,38226.94,1.18665
16.476,38258.58,1.1889
16.486,38290.21,1.19235
16.496,38321.85,1.1952
16.506,38353.48,1.19773
16.516,38385.12,1.2033
16.526,38416.75,1.2005
16.536,38448.39,1.1977
16.546,38480.02,1.19238
16.556,38511.66,1.18398
16.566,38543.3,1.18035
16.576,38574.93,1.1792
16.586,38606.57,1.17415
16.596,38638.2,1.1656
16.606,38669.84,1.15725
16.616,38701.47,1.1485
16.626,38733.11,1.14028
16.636,38764.74,1.13375
16.646,38796.38,1.13505
16.656,38828.01,1.12893
16.666,38859.65,1.12345
16.676,38891.29,1.1219
16.686,38922.92,1.1182
16.696,38954.56,1.11523
16.706,38986.19,1.11105
16.716,39017.83,1.10395
16.726,39049.46,1.10405
16.736,39081.1,1.10558
16.746,39112.73,1.11015
16.756,39144.37,1.11003
16.766,39176,1.11038
16.776,39207.64,1.1072
