/* DESCRIPTION:
Reference:	Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/6417
Comment:	Empty data points were removed.
*/
Depth [cm]	Age [ka]	d18O (G.ruber w.)	d18O (G. crassaf.)	d18O (U.peregr.)	SST [C] from Mg/Ca	Coarse carb. [%]
1352	101038	-0.602		3.223	27.73	24.785
1355	101667	-0.57		3.502	27.34	24.569
1360	102714	-0.429		3.562	27.23	26.058
1365	103762	-0.474		3.4	28	32.156
1370	104810	-0.367		3.53	26.51	34.691
1375	105857	-0.733		3.543	25.53	18.469
1380	106905	-0.492		3.403	26.3	26.707
1385	107952	-0.666		3.667	25.34	38.913
1390	109000	-0.727		3.844	25.64	39.532
1395	110667	-0.696		3.368	26.06	30.532
1400	112333	-0.167		2.955	25.28	39.915
1405	114000	-0.747		3.533	26.87	32.977
1410	115667	-0.469		3.421	26.45	39.265
1415	117333	-1.614		2.985	27.21	29.791
1420	119000	-1.32		2.737	26.47	35.711
1425	119727	-1.474		2.989	27.89	26.983
1430	120455	-1.369		2.668	29.05	15.828
1435	121182	-1.926		2.689	29.89	24.127
1440	121909	-1.652		2.641	28.68	27.302
1445	122636	-1.684		2.602	28.83	26.832
1450	123364	-1.638		2.519	28.56	25.972
1455	124091	-1.539		2.677	28.21	24.651
1460	124818	-1.807		2.594	28.49	24.035
1465	125545	-1.942		2.653	28.49	25.589
1470	126273	-1.756		2.707	27.69	20.376
1475	127000	-1.838		2.68	26.96	13.564
1480	127727	-1.877		2.692	27.68	16.119
1485	128455	-0.864		2.81	25.75	17.11
1490	129182	-0.888		3.082	26.22	18.12
1495	129909	-0.459		3.475	26.74	26.739
1498	130345	-0.98		3.23	26.39	17.56
1502	130927	0.7		3.663	26.72	14.204
1505	131364	0.206		4.073	26.4	11.936
1510	132091	0.709		3.361	25.8	15.21
1515	132818	0.538		4.29	24.95	15.575
1520	133545	-0.358		3.759	26.13	19.578
1525	134273	0.717		4.228	25.27	19.193
1530	135000	1.188		4.304	24.56	23.259
1535	135652	0.605		4.319	25.3	18.944
1540	136304	0.311		4.288	25.08	17.534
1545	136957	0.858		4.179	25.11	16.2
1550	137609	0.944		4.245	24.58	16.783
1555	138261	0.921		4.266	25.13	15.503
1560	138913	0.339		4.104	24.92	
1565	139565	0.643		4.372	25.76	16.09
1570	140217	0.732		4.147	25.35	16.421
1575	140870	0.603		4.222	25.79	15.111
1580	141522	0.664		4.081	25.36	15.312
1585	142174	0.884			25.22	16.351
1590	142826	0.557		4.368	25.56	
1595	143478	0.049		4.14	24.65	14.216
1600	144130	0.784		4.421	24.15	14.183
1605	144783	0.517		4.147	25.7	15.408
1610	145435	0.334		4.288	24.38	12.301
1615	146087	-0.015		4.152	25.12	16.537
1620	146739	0.411		4.143	25.46	18.749
1625	147391	0.355		4.087	24.52	15.867
1630	148043	0.254		3.984	24.39	
1635	148696	0.19		4.164	24.6	15.28
1640	149348	0.5		4.012	26.28	17.25
1645	150000	0.767		4.061	24.36	18.871
1648	150391	0.475		3.937	25.26	16.178
1652	150913	0.401		4.016	26.03	13.243
1655	151304	0.664		4.149	26.74	
1660	151957	0.611		4.213	25.93	17.352
1665	152609	0.757		3.914	25.27	
1670	153261	0.773		4.241	26.28	15.389
1675	153913	1.061		4.19	24.81	
1680	154565	1.12		3.726	25.6	16.139
1685	155217	1.156		4.259	25.6	
1690	155870	0.671		4.124	25.41	15.725
1695	156522	0.648		4.493	25.43	
1700	157174	0.469		4.294	24.84	16.786
1705	157826	0.564		4.421	25.65	
1710	158478	0.169		4.228	26.29	20.579
1715	159130	0.344		4.213	24.64	
1720	159783	0.045		4.362	26.15	17.817
1725	160435	0.514		4.052	26.55	
1730	161087	0.632		4.259	25.76	17.639
1735	161739	0.236		4.119	25.97	
1740	162391	-0.209		4.331	25.75	18.704
1745	163043	-0.284		4.067	25.87	
1750	163696	-0.039		4.188	25.46	25.422
1755	164348	-0.284		4.217	26.69	
1760	165000	-0.493		4.208	25.27	27.011
1765	165852	-0.11		4.128	26.24	
1770	166704	-0.756		4.068	25.93	31.837
1775	167556	-0.919		3.9	25.44	
1780	168407	-0.458		3.663	26.26	31.263
1785	169259	-1.469		3.826	25.93	
1790	170111	-0.502		3.752	26.24	26.908
1795	170963	-1.157		4.005	24.89	
1798	171474	-0.369		4.023	25.35	20.241
1802	172156	-0.198		3.939	25.51	
1805	172667	-0.281		3.778	26.74	19.875
1810	173519	-0.281		3.527	25.4	
1815	174370	0.03		4.254	25.87	31.223
1820	175222	0		3.93	25.14	
1825	176074	0.59		4.051	25.88	22.198
1830	176926	0.305		4.001	25.08	
1835	177778	-0.009		4.062	24.55	18.367
1840	178630	-0.114		3.84	24.9	
1845	179481	-0.026		3.952	25.04	19.498
1850	180333	-0.295		4.17	24.29	
1855	181185	-0.528		3.983	23.77	23.224
