# DESCRIPTION:
# Reference: Zarriess, M; Mackensen, A (2010): The tropical rainbelt and productivity changes off northwest Africa: a 31,000-year high-resolution record. Marine Micropaleontology, 76(3-4), 76-91, https://doi.org/10.1016/j.marmicro.2010.06.001
# Reference: Zarriess, M et al. (2011): Bipolar seesaw in the northeastern tropical Atlantic during Heinrich stadials. Geophysical Research Letters, 38, L04706, https://doi.org/10.1029/2010GL046070
# Data from: https://doi.org/10.1594/PANGAEA.756401. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.756437. Accessed 07 Jan 2023.
# Comment: The two time series combined in this file are out of sync by ~120 y at 31.1 ka BP.

Depth [m],Depth comp [mcd],Age [ka BP],Fe [cps],K [cps],Ti [cps]
3.18,3.33,28.49,39211,4559,4950
3.19,3.34,28.57,39709,4433,4787
3.2,3.35,28.65,39793,4497,4786
3.21,3.36,28.74,39819,4451,5057
3.22,3.37,28.82,42150,4452,4788
3.23,3.38,28.9,39974,4572,5054
3.24,3.39,28.98,40079,4840,5084
3.25,3.4,29.06,41672,4666,5097
3.26,3.41,29.14,39665,4464,4788
3.27,3.42,29.22,38595,4673,4973
3.29,3.44,29.39,39174,4460,4972
3.3,3.45,29.47,38903,4719,4916
3.31,3.46,29.55,40064,4525,4934
3.32,3.47,29.63,39529,4567,5241
3.33,3.48,29.71,40561,4802,5054
3.34,3.49,29.8,39184,4640,4803
3.35,3.5,29.88,40439,4808,4981
3.36,3.51,29.96,39299,4442,5034
3.37,3.52,30.04,41679,4667,5152
3.38,3.53,30.12,40733,4549,5071
3.39,3.54,30.2,39250,4349,4615
3.4,3.55,30.29,42547,4349,4746
3.41,3.56,30.37,38044,4607,4503
3.42,3.57,30.45,38889,4446,4320
3.43,3.58,30.53,43805,4769,5086
3.44,3.59,30.61,40430,5047,4795
3.45,3.6,30.69,40213,5352,4922
3.46,3.61,30.77,42115,5415,5244
3.47,3.62,30.86,40805,5234,5411
3.48,3.63,30.94,42683,5420,5114
3.49,3.64,31.02,39782,5574,5113
3.51,3.66,31.06,40696,5469,
3.5,3.65,31.1,39642,5451,5327
3.52,3.67,31.12,40371,5561,
3.53,3.68,31.17,40190,5546,
3.54,3.69,31.22,40937,5210,
3.55,3.7,31.27,40222,5192,
3.56,3.71,31.32,40841,5377,
3.57,3.72,31.37,42457,5024,
3.58,3.73,31.42,38415,4234,
3.59,3.74,31.47,36161,4162,
3.61,3.76,31.58,35857,4220,
3.62,3.77,31.63,40222,4194,
3.63,3.78,31.68,38765,4514,
3.64,3.79,31.73,41101,4190,
3.65,3.8,31.78,41067,4335,
3.66,3.81,31.83,42255,4278,
3.67,3.82,31.88,40779,4230,
3.68,3.83,31.93,39619,4422,
3.69,3.84,31.99,42008,4017,
3.7,3.85,32.04,39997,4146,
3.71,3.86,32.09,40361,4475,
3.72,3.87,32.14,39313,3976,
3.73,3.88,32.19,42924,3970,
3.74,3.89,32.24,37952,4176,
3.75,3.9,32.29,40339,4127,
3.76,3.91,32.34,42608,4399,
3.77,3.92,32.4,40343,4126,
3.78,3.93,32.45,40326,4452,
3.79,3.94,32.5,42328,4161,
3.8,3.95,32.55,40681,4574,
3.81,3.96,32.6,39985,4471,
3.82,3.97,32.65,41657,4321,
3.83,3.98,32.7,39055,4297,
3.84,3.99,32.75,37973,4321,
3.85,4,32.8,40508,4132,
3.86,4.01,32.86,41538,4033,
3.87,4.02,32.91,38329,4090,
3.88,4.03,32.96,41707,3976,
3.89,4.04,33.01,40484,3959,
3.9,4.05,33.06,41785,4110,
3.91,4.06,33.11,41856,4282,
3.92,4.07,33.16,40411,4088,
