# DESCRIPTION:
# Reference: S.O. Rasmussen, P.M. Abbott, T. Blunier, A.J. Bourne, E. Brook, S.L. Buchardt, C. Buizert, J. Chappellaz, H.B. Clausen, E. Cook, D. Dahl-Jensen, S.M. Davies, M. Guillevic, S. Kipfstuhl, T. Laepple, I.K. Seierstad, J.P. Severinghaus, J.P. Steffensen, C. Stowasser, A. Svensson, P. Vallelonga, B.M. Vinther, F. Wilhelms, and M. Winstrup (2013): A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Clim. Past, 9, 2713–2730, https://doi.org/10.5194/cp-9-2713-2013.
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

NEEM depth [m],Age of ice [ka b2k],Age of gas [ka b2k],d15N [‰]
2175.61,99.819,99417.1,0.3
2175.62,99.824,99422.27,0.3
2175.64,99.829,99427.43,0.3
2175.65,99.834,99432.74,0.3
2175.66,99.839,99438.1,0.3
2175.68,99.844,99443.35,0.3
2175.69,99.849,99448.47,0.3
2175.7,99.854,99453.58,0.3
2175.72,99.859,99458.68,0.3
2175.73,99.864,99463.78,0.3
2175.74,99.869,99468.87,0.3
2175.76,99.874,99474.08,0.3
2175.77,99.879,99479.48,0.3
2175.78,99.884,99484.57,0.3
2175.8,99.889,99489.63,0.3
2175.81,99.894,99494.69,0.3
2175.82,99.899,99499.75,0.3
2175.84,99.904,99504.8,0.3
2175.85,99.909,99509.82,0.3
2175.86,99.914,99514.84,0.3
2175.87,99.919,99519.84,0.3
2175.89,99.924,99524.83,0.3
2175.9,99.929,99529.83,0.3
2175.91,99.934,99535.03,0.3
2175.93,99.939,99540.21,0.3
2175.94,99.944,99545.21,0.3
2175.95,99.949,99550.16,0.3
2175.97,99.954,99555.1,0.3
2175.98,99.959,99560.03,0.3
2175.99,99.964,99564.95,0.3
2176.01,99.969,99569.86,0.3
2176.02,99.974,99574.75,0.3
2176.03,99.979,99579.64,0.3
2176.05,99.984,99584.53,0.3
2176.06,99.989,99589.4,0.3
2176.07,99.994,99594.26,0.3
2176.09,99.999,99599.12,0.3
2176.1,100.004,99603.96,0.3
2176.11,100.009,99608.79,0.31
2176.13,100.014,99613.62,0.31
2176.14,100.019,99618.46,0.31
2176.15,100.024,99623.27,0.31
2176.17,100.029,99628.1,0.31
2176.18,100.034,99632.9,0.31
2176.19,100.039,99637.7,0.31
2176.21,100.044,99642.51,0.31
2176.22,100.049,99647.3,0.31
2176.23,100.054,99652.08,0.31
2176.25,100.059,99656.84,0.31
2176.26,100.064,99661.61,0.31
2176.27,100.069,99666.39,0.31
2176.29,100.074,99671.16,0.31
2176.3,100.079,99675.94,0.31
2176.31,100.084,99680.7,0.31
2176.33,100.089,99685.46,0.31
2176.34,100.094,99690.21,0.31
2176.35,100.099,99694.97,0.31
2176.37,100.104,99699.72,0.31
2176.38,100.109,99704.47,0.31
2176.39,100.114,99709.2,0.31
2176.41,100.119,99713.95,0.31
2176.42,100.124,99718.69,0.31
2176.43,100.129,99723.42,0.31
2176.44,100.134,99727.94,0.31
2176.46,100.139,99732.47,0.31
2176.47,100.144,99737.15,0.31
2176.48,100.149,99741.9,0.31
2176.5,100.154,99746.63,0.31
2176.51,100.159,99751.38,0.31
2176.52,100.164,99756.11,0.31
2176.54,100.169,99760.86,0.31
2176.55,100.174,99765.61,0.31
2176.56,100.179,99770.33,0.31
2176.57,100.184,99774.86,0.31
2176.59,100.189,99779.39,0.31
2176.6,100.194,99784.1,0.31
2176.61,100.199,99788.85,0.31
2176.63,100.204,99793.61,0.31
2176.64,100.209,99798.36,0.31
2176.65,100.214,99803.1,0.31
2176.67,100.219,99807.85,0.31
2176.68,100.224,99812.39,0.31
2176.69,100.229,99816.87,0.31
2176.71,100.234,99821.65,0.31
2176.72,100.239,99826.42,0.31
2176.73,100.244,99831.2,0.32
2176.74,100.249,99835.98,0.32
2176.76,100.254,99840.76,0.32
2176.77,100.259,99845.55,0.32
2176.78,100.264,99850.13,0.32
2176.8,100.269,99854.71,0.32
2176.81,100.274,99859.44,0.31
2176.82,100.279,99864.25,0.31
2176.84,100.284,99869.05,0.31
2176.85,100.289,99873.86,0.31
2176.86,100.294,99878.41,0.31
2176.87,100.299,99883,0.31
2176.89,100.304,99887.82,0.31
2176.9,100.309,99892.65,0.31
2176.91,100.314,99897.48,0.31
2176.93,100.319,99902.32,0.31
2176.94,100.324,99907.16,0.31
2176.95,100.329,99911.98,0.31
2176.96,100.334,99916.62,0.31
2176.98,100.339,99921.26,0.31
2176.99,100.344,99926.05,0.31
2177,100.349,99930.91,0.31
2177.02,100.354,99935.77,0.31
2177.03,100.359,99940.64,0.31
2177.04,100.364,99945.25,0.31
2177.05,100.369,99949.87,0.31
2177.07,100.374,99954.75,0.31
2177.08,100.379,99959.63,0.31
2177.09,100.384,99964.5,0.31
2177.1,100.389,99969.39,0.31
2177.12,100.394,99974.27,0.31
2177.13,100.399,99979.16,0.31
2177.14,100.404,99983.85,0.31
2177.16,100.409,99988.53,0.31
2177.17,100.414,99993.33,0.31
2177.18,100.419,99998.23,0.31
2177.19,100.424,100003.13,0.31
2177.21,100.429,100008.03,0.31
2177.22,100.434,100012.93,0.31
2177.23,100.439,100017.84,0.31
2177.24,100.444,100022.76,0.31
2177.26,100.449,100027.67,0.31
2177.27,100.454,100032.36,0.31
2177.28,100.459,100037.01,0.31
2177.3,100.464,100041.94,0.31
2177.31,100.469,100046.87,0.31
2177.32,100.474,100051.8,0.31
2177.33,100.479,100056.74,0.31
2177.35,100.484,100061.66,0.31
2177.36,100.489,100066.57,0.31
2177.37,100.494,100071.52,0.31
2177.38,100.499,100076.47,0.31
2177.4,100.504,100081.42,0.31
2177.41,100.509,100086.39,0.31
2177.42,100.514,100091.17,0.31
2177.44,100.519,100095.95,0.31
2177.45,100.524,100100.84,0.31
2177.46,100.529,100105.84,0.31
2177.47,100.534,100110.83,0.31
2177.49,100.539,100115.83,0.31
2177.5,100.544,100120.84,0.31
2177.51,100.549,100125.85,0.31
2177.52,100.554,100130.86,0.31
2177.54,100.559,100135.88,0.31
2177.55,100.564,100140.9,0.31
2177.56,100.569,100145.92,0.31
2177.58,100.574,100150.95,0.31
2177.59,100.579,100155.98,0.31
2177.6,100.584,100161.02,0.31
2177.61,100.589,100166.06,0.31
2177.63,100.594,100171.1,0.31
2177.64,100.599,100176.14,0.31
2177.65,100.604,100181.18,0.31
2177.67,100.609,100186.23,0.31
2177.68,100.614,100191.29,0.31
2177.69,100.619,100196.34,0.31
2177.7,100.624,100201.4,0.31
2177.72,100.629,100206.46,0.31
2177.73,100.634,100211.52,0.31
2177.74,100.639,100216.59,0.31
2177.75,100.644,100221.66,0.31
2177.77,100.649,100226.73,0.31
2177.78,100.654,100231.8,0.31
2177.79,100.659,100236.88,0.31
2177.81,100.664,100241.96,0.31
2177.82,100.669,100247.05,0.31
2177.83,100.674,100252.14,0.31
2177.84,100.679,100257.23,0.31
2177.86,100.684,100262.32,0.3
2177.87,100.689,100267.42,0.3
2177.88,100.694,100272.52,0.3
2177.9,100.699,100277.63,0.3
2177.91,100.704,100282.73,0.3
2177.92,100.709,100287.84,0.3
2177.93,100.714,100292.95,0.3
2177.95,100.719,100298.07,0.3
2177.96,100.724,100303.18,0.3
2177.97,100.729,100308.3,0.3
2177.99,100.734,100313.42,0.3
2178,100.739,100318.55,0.3
2178.01,100.744,100323.67,0.3
2178.02,100.749,100328.8,0.3
2178.04,100.754,100333.92,0.3
2178.05,100.759,100339.05,0.3
2178.06,100.764,100344.18,0.3
2178.08,100.769,100349.31,0.3
2178.09,100.774,100354.46,0.3
2178.1,100.779,100359.63,0.3
2178.11,100.784,100364.97,0.3
2178.13,100.789,100370.32,0.3
2178.14,100.794,100375.52,0.3
2178.15,100.799,100380.66,0.3
2178.16,100.804,100385.79,0.3
2178.18,100.809,100390.92,0.3
2178.19,100.814,100396.06,0.3
2178.2,100.819,100401.19,0.3
2178.22,100.824,100406.33,0.3
2178.23,100.829,100411.46,0.3
2178.24,100.834,100416.6,0.3
2178.25,100.839,100421.73,0.3
2178.27,100.844,100427.04,0.3
2178.28,100.849,100432.49,0.3
2178.29,100.854,100437.62,0.3
2178.31,100.859,100442.75,0.3
2178.32,100.864,100447.88,0.3
2178.33,100.869,100453,0.3
2178.34,100.874,100458.15,0.3
2178.36,100.879,100463.29,0.3
2178.37,100.884,100468.58,0.3
2178.38,100.889,100473.91,0.3
2178.4,100.894,100479.14,0.3
2178.41,100.899,100484.25,0.3
2178.42,100.904,100489.36,0.3
2178.43,100.909,100494.47,0.3
2178.45,100.914,100499.58,0.3
2178.46,100.919,100504.68,0.3
2178.47,100.924,100510,0.3
2178.49,100.929,100515.31,0.3
2178.5,100.934,100520.48,0.3
2178.51,100.939,100525.58,0.3
2178.52,100.944,100530.68,0.3
2178.54,100.949,100535.77,0.3
2178.55,100.954,100541.03,0.3
2178.56,100.959,100546.34,0.3
2178.58,100.964,100551.56,0.3
2178.59,100.969,100556.69,0.3
2178.6,100.974,100561.98,0.3
2178.62,100.979,100567.28,0.3
2178.63,100.984,100572.43,0.3
2178.64,100.989,100577.51,0.3
2178.66,100.994,100582.56,0.3
2178.67,100.999,100587.61,0.3
2178.68,101.004,100592.85,0.3
2178.7,101.009,100598.11,0.3
2178.71,101.014,100603.24,0.3
2178.72,101.019,100608.28,0.3
2178.73,101.024,100613.31,0.3
2178.75,101.029,100618.34,0.3
2178.76,101.034,100623.54,0.3
2178.77,101.039,100628.78,0.3
2178.79,101.044,100633.91,0.3
2178.8,101.049,100638.92,0.3
2178.81,101.054,100644.16,0.3
2178.83,101.059,100649.38,0.3
2178.84,101.064,100654.47,0.3
2178.85,101.069,100659.49,0.3
2178.87,101.074,100664.5,0.3
2178.88,101.079,100669.5,0.3
2178.89,101.084,100674.7,0.3
2178.91,101.089,100679.91,0.3
2178.92,101.094,100684.97,0.3
2178.93,101.099,100689.96,0.3
2178.95,101.104,100694.94,0.3
2178.96,101.109,100699.93,0.3
2178.97,101.114,100705.09,0.3
2178.98,101.119,100710.28,0.3
2179,101.124,100715.36,0.3
2179.01,101.129,100720.33,0.3
2179.02,101.134,100725.3,0.3
2179.04,101.139,100730.27,0.3
2179.05,101.144,100735.41,0.3
2179.06,101.149,100740.6,0.3
2179.08,101.154,100745.68,0.31
2179.09,101.159,100750.66,0.31
2179.1,101.164,100755.62,0.31
2179.12,101.169,100760.59,0.31
2179.13,101.174,100765.71,0.31
2179.14,101.179,100770.9,0.31
2179.16,101.184,100775.98,0.31
2179.17,101.189,100780.94,0.31
2179.18,101.194,100785.9,0.31
2179.2,101.199,100790.86,0.31
2179.21,101.204,100795.82,0.31
2179.22,101.209,100800.78,0.31
2179.24,101.214,100805.89,0.31
2179.25,101.219,100811.18,0.31
2179.26,101.224,100816.15,0.31
2179.28,101.229,100821.11,0.31
2179.29,101.234,100826.06,0.31
2179.3,101.239,100831.02,0.31
2179.32,101.244,100835.98,0.31
2179.33,101.249,100840.93,0.31
2179.34,101.254,100845.89,0.31
2179.36,101.259,100850.85,0.31
2179.37,101.264,100855.81,0.31
2179.38,101.269,100860.77,0.31
2179.4,101.274,100865.89,0.31
2179.41,101.279,100871.18,0.31
2179.42,101.284,100876.14,0.31
2179.44,101.289,100881.1,0.31
2179.45,101.294,100886.05,0.31
2179.46,101.299,100891.01,0.31
2179.48,101.304,100895.96,0.31
2179.49,101.309,100900.92,0.31
2179.5,101.314,100905.87,0.31
2179.52,101.319,100910.82,0.31
2179.53,101.324,100915.78,0.31
2179.54,101.329,100920.73,0.31
2179.56,101.334,100925.68,0.31
2179.57,101.339,100930.63,0.31
2179.58,101.344,100935.58,0.31
2179.6,101.349,100940.53,0.31
2179.61,101.354,100945.48,0.31
2179.62,101.359,100950.42,0.31
2179.64,101.364,100955.37,0.31
2179.65,101.369,100960.32,0.31
2179.66,101.374,100965.26,0.31
2179.68,101.379,100970.21,0.31
2179.69,101.384,100975.15,0.31
2179.7,101.389,100980.1,0.31
2179.72,101.394,100985.04,0.31
2179.73,101.399,100989.99,0.31
2179.74,101.404,100994.93,0.31
2179.76,101.409,100999.87,0.31
2179.77,101.414,101004.82,0.31
2179.78,101.419,101009.76,0.31
2179.8,101.424,101014.71,0.31
2179.81,101.429,101019.65,0.31
2179.82,101.434,101024.59,0.31
2179.83,101.439,101029.54,0.31
2179.85,101.444,101034.3,0.31
2179.86,101.449,101038.92,0.31
2179.87,101.454,101043.87,0.31
2179.89,101.459,101048.81,0.31
2179.9,101.464,101053.75,0.31
2179.91,101.469,101058.69,0.31
2179.93,101.474,101063.63,0.31
2179.94,101.479,101068.57,0.31
2179.95,101.484,101073.52,0.31
2179.97,101.489,101078.46,0.31
2179.98,101.494,101083.41,0.31
2179.99,101.499,101088.35,0.31
2180.01,101.504,101093.3,0.31
2180.02,101.509,101098.25,0.31
2180.03,101.514,101103.2,0.31
2180.05,101.519,101108.14,0.31
2180.06,101.524,101113.1,0.31
2180.07,101.529,101118.05,0.31
2180.08,101.534,101123,0.31
2180.1,101.539,101127.96,0.31
2180.11,101.544,101132.91,0.31
2180.12,101.549,101137.87,0.31
2180.14,101.554,101142.82,0.31
2180.15,101.559,101147.78,0.31
2180.16,101.564,101152.74,0.31
2180.18,101.569,101157.7,0.31
2180.19,101.574,101162.66,0.31
2180.2,101.579,101167.62,0.31
2180.22,101.584,101172.58,0.31
2180.23,101.589,101177.55,0.31
2180.24,101.594,101182.52,0.31
2180.26,101.599,101187.49,0.31
2180.27,101.604,101192.46,0.31
2180.28,101.609,101197.44,0.31
2180.3,101.614,101202.42,0.31
2180.31,101.619,101207.4,0.31
2180.32,101.624,101212.38,0.31
2180.34,101.629,101217.37,0.31
2180.35,101.634,101222.36,0.31
2180.36,101.639,101227.35,0.31
2180.38,101.644,101232.48,0.31
2180.39,101.649,101237.81,0.31
2180.4,101.654,101242.85,0.31
2180.42,101.659,101247.85,0.31
2180.43,101.664,101252.86,0.31
2180.44,101.669,101257.87,0.3
2180.46,101.674,101262.89,0.3
2180.47,101.679,101267.9,0.3
2180.48,101.684,101272.92,0.3
2180.5,101.689,101277.95,0.3
2180.51,101.694,101282.97,0.3
2180.52,101.699,101288,0.3
2180.54,101.704,101293.03,0.3
2180.55,101.709,101298.06,0.3
2180.56,101.714,101303.1,0.3
2180.58,101.719,101308.15,0.3
2180.59,101.724,101313.32,0.3
2180.6,101.729,101318.59,0.3
2180.61,101.734,101323.78,0.3
2180.63,101.739,101328.83,0.3
2180.64,101.744,101333.88,0.3
2180.65,101.749,101338.93,0.3
2180.67,101.754,101343.98,0.3
2180.68,101.759,101349.04,0.3
2180.69,101.764,101354.2,0.3
2180.71,101.769,101359.6,0.3
2180.72,101.774,101364.72,0.3
2180.73,101.779,101369.78,0.3
2180.75,101.784,101374.85,0.3
2180.76,101.789,101379.91,0.3
2180.77,101.794,101384.98,0.3
2180.79,101.799,101390.05,0.3
2180.8,101.804,101395.34,0.3
2180.82,101.809,101400.66,0.3
2180.83,101.814,101405.83,0.3
2180.84,101.819,101410.91,0.3
2180.86,101.824,101415.99,0.3
2180.87,101.829,101421.07,0.3
2180.88,101.834,101426.36,0.3
2180.9,101.839,101431.68,0.3
2180.91,101.844,101436.83,0.3
2180.92,101.849,101441.91,0.3
2180.94,101.854,101447,0.3
2180.95,101.859,101452.1,0.3
2180.96,101.864,101457.43,0.3
2180.98,101.869,101462.75,0.3
2180.99,101.874,101467.89,0.3
2181.01,101.879,101472.98,0.3
2181.02,101.884,101478.08,0.3
2181.03,101.889,101483.22,0.3
2181.05,101.894,101488.54,0.3
2181.06,101.899,101493.87,0.3
2181.07,101.904,101498.99,0.3
2181.09,101.909,101504.09,0.3
2181.1,101.914,101509.2,0.3
2181.11,101.919,101514.3,0.3
2181.13,101.924,101519.57,0.3
2181.14,101.929,101525.01,0.3
2181.15,101.934,101530.11,0.3
2181.17,101.939,101535.22,0.3
2181.18,101.944,101540.33,0.3
2181.19,101.949,101545.43,0.3
2181.21,101.954,101550.68,0.3
2181.22,101.959,101556.01,0.3
2181.24,101.964,101561.27,0.3
2181.25,101.969,101566.38,0.3
2181.26,101.974,101571.49,0.3
2181.28,101.979,101576.6,0.3
2181.29,101.984,101581.71,0.3
2181.3,101.989,101586.82,0.3
2181.32,101.994,101592.08,0.3
2181.33,101.999,101597.53,0.3
2181.34,102.004,101602.63,0.3
2181.36,102.009,101607.74,0.3
2181.37,102.014,101612.84,0.3
2181.39,102.019,101617.95,0.3
2181.4,102.024,101623.19,0.3
2181.41,102.029,101628.51,0.3
2181.43,102.034,101633.74,0.3
2181.44,102.039,101638.83,0.3
2181.45,102.044,101643.91,0.3
2181.47,102.049,101649,0.3
2181.48,102.054,101654.08,0.3
2181.49,102.059,101659.16,0.3
2181.51,102.064,101664.43,0.3
2181.52,102.069,101669.81,0.3
2181.54,102.074,101674.88,0.3
2181.55,102.079,101679.95,0.3
2181.56,102.084,101685.02,0.3
2181.58,102.089,101690.09,0.3
2181.59,102.094,101695.16,0.3
2181.6,102.099,101700.23,0.3
2181.62,102.104,101705.48,0.3
2181.63,102.109,101710.86,0.3
2181.65,102.114,101715.92,0.3
2181.66,102.119,101720.99,0.3
2181.67,102.124,101726.05,0.3
2181.69,102.129,101731.12,0.3
2181.7,102.134,101736.18,0.3
2181.71,102.139,101741.24,0.3
2181.73,102.144,101746.47,0.3
2181.74,102.149,101751.86,0.3
2181.75,102.154,101756.93,0.3
2181.77,102.159,101761.99,0.3
2181.78,102.164,101767.07,0.3
2181.8,102.169,101772.15,0.3
2181.81,102.174,101777.22,0.3
2181.82,102.179,101782.28,0.3
2181.84,102.184,101787.33,0.3
2181.85,102.189,101792.39,0.3
2181.86,102.194,101797.68,0.3
2181.88,102.199,101802.97,0.3
2181.89,102.204,101808.07,0.3
2181.91,102.209,101813.13,0.3
2181.92,102.214,101818.19,0.3
2181.93,102.219,101823.25,0.3
2181.95,102.224,101828.32,0.3
2181.96,102.229,101833.38,0.3
2181.97,102.234,101838.45,0.3
2181.99,102.239,101843.51,0.3
2182,102.244,101848.76,0.3
2182.01,102.249,101854.05,0.3
2182.03,102.254,101859.22,0.3
2182.04,102.259,101864.29,0.3
2182.06,102.264,101869.36,0.3
2182.07,102.269,101874.43,0.3
2182.08,102.274,101879.51,0.3
2182.1,102.279,101884.58,0.3
2182.11,102.284,101889.66,0.3
2182.12,102.289,101894.74,0.3
2182.14,102.294,101900,0.3
2182.15,102.299,101905.39,0.3
2182.17,102.304,101910.47,0.3
2182.18,102.309,101915.55,0.3
2182.19,102.314,101920.64,0.3
2182.21,102.319,101925.72,0.3
2182.22,102.324,101930.81,0.3
2182.23,102.329,101935.9,0.3
2182.25,102.334,101940.99,0.3
2182.26,102.339,101946.08,0.3
2182.27,102.344,101951.4,0.3
2182.29,102.349,101956.73,0.3
2182.3,102.354,101961.86,0.3
2182.32,102.359,101966.95,0.3
2182.33,102.364,101972.05,0.3
2182.34,102.369,101977.15,0.3
2182.36,102.374,101982.25,0.3
2182.37,102.379,101987.35,0.3
2182.38,102.384,101992.45,0.3
2182.4,102.389,101997.56,0.3
2182.41,102.394,102002.66,0.3
2182.43,102.399,102007.76,0.3
2182.44,102.404,102013.01,0.3
2182.45,102.409,102018.34,0.3
2182.47,102.414,102023.57,0.3
2182.48,102.419,102028.67,0.3
2182.49,102.424,102033.77,0.3
2182.51,102.429,102038.87,0.3
2182.52,102.434,102043.96,0.3
2182.54,102.439,102049.06,0.3
2182.55,102.444,102054.16,0.3
2182.56,102.449,102059.26,0.3
2182.58,102.454,102064.53,0.3
2182.59,102.459,102069.96,0.3
2182.61,102.464,102075.06,0.3
2182.62,102.469,102080.16,0.3
2182.63,102.474,102085.26,0.3
2182.65,102.479,102090.36,0.3
2182.66,102.484,102095.46,0.3
2182.67,102.489,102100.56,0.3
2182.69,102.494,102105.67,0.3
2182.7,102.499,102110.79,0.3
2182.72,102.504,102116.13,0.3
2182.73,102.509,102121.47,0.3
2182.74,102.514,102126.6,0.3
2182.76,102.519,102131.71,0.3
2182.77,102.524,102136.82,0.3
2182.78,102.529,102141.94,0.3
2182.8,102.534,102147.05,0.3
2182.81,102.539,102152.16,0.3
2182.83,102.544,102157.27,0.3
2182.84,102.549,102162.38,0.3
2182.85,102.554,102167.71,0.3
2182.87,102.559,102173.05,0.3
2182.88,102.564,102178.21,0.3
2182.9,102.569,102183.31,0.3
2182.91,102.574,102188.42,0.3
2182.92,102.579,102193.52,0.3
2182.94,102.584,102198.63,0.3
2182.95,102.589,102203.73,0.3
2182.96,102.594,102208.85,0.3
2182.98,102.599,102213.97,0.3
2182.99,102.604,102219.07,0.3
2183,102.609,102224.16,0.3
2183.02,102.614,102229.45,0.3
2183.03,102.619,102234.82,0.3
2183.05,102.624,102239.91,0.3
2183.06,102.629,102244.98,0.3
2183.07,102.634,102250.06,0.3
2183.09,102.639,102255.13,0.3
2183.1,102.644,102260.2,0.3
2183.11,102.649,102265.26,0.3
2183.13,102.654,102270.32,0.3
2183.14,102.659,102275.38,0.3
2183.15,102.664,102280.44,0.3
2183.17,102.669,102285.5,0.3
2183.18,102.674,102290.74,0.3
2183.2,102.679,102296.02,0.3
2183.21,102.684,102301.15,0.3
2183.22,102.689,102306.19,0.3
2183.24,102.694,102311.23,0.3
2183.25,102.699,102316.27,0.3
2183.26,102.704,102321.3,0.3
2183.28,102.709,102326.33,0.3
2183.29,102.714,102331.36,0.3
2183.3,102.719,102336.38,0.3
2183.32,102.724,102341.41,0.3
2183.33,102.729,102346.42,0.3
2183.35,102.734,102351.44,0.3
2183.36,102.739,102356.45,0.3
2183.37,102.744,102361.66,0.3
2183.39,102.749,102366.89,0.3
2183.4,102.754,102371.96,0.3
2183.41,102.759,102376.96,0.3
2183.43,102.764,102381.95,0.3
2183.44,102.769,102386.94,0.3
2183.45,102.774,102391.93,0.31
2183.47,102.779,102396.92,0.31
2183.48,102.784,102401.9,0.31
2183.5,102.789,102406.88,0.31
2183.51,102.794,102411.86,0.31
2183.52,102.799,102416.83,0.31
2183.54,102.804,102421.81,0.31
2183.55,102.809,102426.78,0.31
2183.57,102.814,102431.75,0.31
2183.58,102.819,102436.72,0.31
2183.59,102.824,102441.89,0.31
2183.61,102.829,102447.09,0.31
2183.62,102.834,102452.11,0.31
2183.64,102.839,102457.07,0.31
2183.65,102.844,102462.02,0.31
2183.66,102.849,102466.97,0.31
2183.68,102.854,102471.93,0.31
2183.69,102.859,102476.88,0.31
2183.71,102.864,102481.83,0.31
2183.72,102.869,102486.78,0.31
2183.73,102.874,102491.72,0.31
2183.75,102.879,102496.67,0.31
2183.76,102.884,102501.61,0.31
2183.78,102.889,102506.55,0.31
2183.79,102.894,102511.51,0.31
2183.8,102.899,102516.48,0.31
2183.82,102.904,102521.43,0.31
2183.83,102.909,102526.37,0.31
2183.85,102.914,102531.32,0.31
2183.86,102.919,102536.26,0.31
2183.87,102.924,102541.2,0.31
2183.89,102.929,102546.14,0.31
2183.9,102.934,102551.08,0.31
2183.92,102.939,102556.03,0.31
2183.93,102.944,102560.97,0.31
2183.94,102.949,102565.91,0.31
2183.96,102.954,102570.85,0.31
2183.97,102.959,102575.79,0.31
2183.99,102.964,102580.73,0.31
2184,102.969,102585.67,0.31
2184.01,102.974,102590.61,0.31
2184.03,102.979,102595.55,0.31
2184.04,102.984,102600.49,0.31
2184.06,102.989,102605.43,0.31
2184.07,102.994,102610.37,0.31
2184.08,102.999,102615.36,0.31
2184.1,103.004,102620.54,0.31
2184.11,103.009,102625.7,0.31
2184.13,103.014,102630.65,0.31
2184.14,103.019,102635.6,0.31
2184.15,103.024,102640.56,0.31
2184.17,103.029,102645.52,0.31
2184.18,103.034,102650.48,0.31
2184.19,103.039,102655.44,0.31
2184.21,103.044,102660.41,0.31
2184.22,103.049,102665.39,0.31
2184.24,103.054,102670.36,0.31
2184.25,103.059,102675.35,0.31
2184.26,103.064,102680.33,0.31
2184.28,103.069,102685.32,0.31
2184.29,103.074,102690.31,0.31
2184.31,103.079,102695.3,0.31
2184.32,103.084,102700.3,0.31
2184.33,103.089,102705.3,0.31
2184.35,103.094,102710.31,0.31
2184.36,103.099,102715.32,0.31
2184.38,103.104,102720.34,0.31
2184.39,103.109,102725.36,0.31
2184.4,103.114,102730.38,0.31
2184.42,103.119,102735.4,0.31
2184.43,103.124,102740.43,0.31
2184.44,103.129,102745.47,0.31
2184.46,103.134,102750.5,0.31
2184.47,103.139,102755.54,0.31
2184.49,103.144,102760.59,0.31
2184.5,103.149,102765.64,0.31
2184.51,103.154,102770.7,0.31
2184.53,103.159,102775.76,0.31
2184.54,103.164,102780.83,0.31
2184.56,103.169,102785.9,0.31
2184.57,103.174,102790.97,0.31
2184.58,103.179,102796.05,0.31
2184.6,103.184,102801.13,0.31
2184.61,103.189,102806.24,0.31
2184.63,103.194,102811.55,0.31
2184.64,103.199,102816.88,0.31
2184.65,103.204,102821.99,0.31
2184.67,103.209,102827.08,0.31
2184.68,103.214,102832.17,0.31
2184.69,103.219,102837.26,0.31
2184.71,103.224,102842.35,0.31
2184.72,103.229,102847.45,0.31
2184.74,103.234,102852.54,0.31
2184.75,103.239,102857.63,0.31
2184.76,103.244,102862.72,0.31
2184.78,103.249,102867.8,0.31
2184.79,103.254,102872.89,0.31
2184.81,103.259,102877.98,0.31
2184.82,103.264,102883.06,0.31
2184.83,103.269,102888.14,0.31
2184.85,103.274,102893.23,0.31
2184.86,103.279,102898.33,0.31
2184.88,103.284,102903.65,0.31
2184.89,103.289,102908.96,0.31
2184.9,103.294,102914.06,0.31
2184.92,103.299,102919.14,0.31
2184.93,103.304,102924.22,0.31
2184.94,103.309,102929.3,0.31
2184.96,103.314,102934.37,0.31
2184.97,103.319,102939.44,0.31
2184.99,103.324,102944.51,0.31
2185,103.329,102949.57,0.31
2185.01,103.334,102954.63,0.31
2185.03,103.339,102959.69,0.31
2185.04,103.344,102964.74,0.31
2185.06,103.349,102969.79,0.31
2185.07,103.354,102974.83,0.31
2185.08,103.359,102979.87,0.31
2185.1,103.364,102985.09,0.31
2185.11,103.369,102990.45,0.31
2185.13,103.374,102995.48,0.31
2185.14,103.379,103000.51,0.31
2185.15,103.384,103005.54,0.31
2185.17,103.389,103010.56,0.31
2185.18,103.394,103015.58,0.31
2185.19,103.399,103020.59,0.31
2185.21,103.404,103025.61,0.31
2185.22,103.409,103030.62,0.31
2185.24,103.414,103035.62,0.31
2185.25,103.419,103040.62,0.31
2185.26,103.424,103045.62,0.31
2185.28,103.429,103050.61,0.31
2185.29,103.434,103055.6,0.31
2185.3,103.439,103060.59,0.31
2185.32,103.444,103065.57,0.31
2185.33,103.449,103070.55,0.31
2185.35,103.454,103075.53,0.31
2185.36,103.459,103080.5,0.31
2185.37,103.464,103085.46,0.31
2185.39,103.469,103090.42,0.31
2185.4,103.474,103095.38,0.31
2185.41,103.479,103100.35,0.31
2185.43,103.484,103105.3,0.31
2185.44,103.489,103110.24,0.31
2185.46,103.494,103115.19,0.31
2185.47,103.499,103120.13,0.31
2185.48,103.504,103125.06,0.31
2185.5,103.509,103130,0.31
2185.51,103.514,103134.93,0.31
2185.52,103.519,103139.87,0.31
2185.54,103.524,103144.8,0.31
2185.55,103.529,103149.72,0.31
2185.57,103.534,103154.64,0.31
2185.58,103.539,103159.56,0.31
2185.59,103.544,103164.26,0.31
2185.61,103.549,103168.94,0.31
2185.62,103.554,103173.8,0.31
2185.63,103.559,103178.71,0.31
2185.65,103.564,103183.61,0.31
2185.66,103.569,103188.52,0.31
2185.68,103.574,103193.41,0.31
2185.69,103.579,103198.32,0.31
2185.7,103.584,103203.22,0.31
2185.72,103.589,103208.11,0.31
2185.73,103.594,103213,0.31
