# DESCRIPTION:
# Reference: S.O. Rasmussen, P.M. Abbott, T. Blunier, A.J. Bourne, E. Brook, S.L. Buchardt, C. Buizert, J. Chappellaz, H.B. Clausen, E. Cook, D. Dahl-Jensen, S.M. Davies, M. Guillevic, S. Kipfstuhl, T. Laepple, I.K. Seierstad, J.P. Severinghaus, J.P. Steffensen, C. Stowasser, A. Svensson, P. Vallelonga, B.M. Vinther, F. Wilhelms, and M. Winstrup (2013): A first chronology for the North Greenland Eemian Ice Drilling (NEEM) ice core. Clim. Past, 9, 2713–2730, https://doi.org/10.5194/cp-9-2713-2013.
# Data from: https://www.iceandclimate.nbi.ku.dk/data/. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

NEEM depth [m],Age of ice [ka b2k],Age of gas [ka b2k],d15N [‰]
530.75,2.609,2424.91,0.29
531.58,2.614,2430.1,0.28
532.4,2.619,2435.24,0.28
533.13,2.624,2440.2,0.28
534.05,2.629,2445.22,0.28
534.78,2.634,2450.41,0.28
535.7,2.639,2455.62,0.28
536.62,2.644,2460.96,0.27
537.35,2.649,2466.47,0.28
538.27,2.654,2471.77,0.28
539.18,2.659,2476.9,0.28
539.96,2.664,2482.13,0.27
540.79,2.669,2487.19,0.27
541.57,2.674,2492.18,0.27
542.44,2.679,2497.27,0.27
543.22,2.684,2502.44,0.26
544.09,2.689,2507.61,0.25
544.87,2.694,2512.74,0.25
545.78,2.699,2517.83,0.25
546.7,2.704,2522.96,0.27
547.43,2.709,2528.18,0.28
548.35,2.714,2533.24,0.28
549.45,2.719,2538.31,0.27
550.14,2.724,2543.39,0.27
550.92,2.729,2548.36,0.27
551.83,2.734,2553.39,0.27
552.75,2.739,2558.61,0.27
553.67,2.744,2563.85,0.28
554.58,2.749,2569.15,0.29
555.36,2.754,2574.37,0.29
556.33,2.759,2579.63,0.29
557.15,2.764,2584.71,0.28
558.07,2.769,2589.76,0.29
558.8,2.774,2594.7,0.28
559.63,2.779,2599.57,0.28
560.45,2.784,2604.48,0.27
561.28,2.789,2609.63,0.27
562.1,2.794,2614.9,0.27
563.2,2.799,2620.11,0.28
564.03,2.804,2625.19,0.29
564.85,2.809,2630.18,0.29
565.58,2.814,2634.98,0.29
566.36,2.819,2639.62,0.28
567.19,2.824,2644.23,0.28
567.88,2.829,2648.92,0.28
568.7,2.834,2653.61,0.28
569.43,2.839,2658.4,0.28
570.21,2.844,2663.17,0.27
571.04,2.849,2667.93,0.28
571.82,2.854,2672.69,0.27
572.55,2.859,2677.54,0.27
573.24,2.864,2682.5,0.26
574.02,2.869,2687.61,0.26
575.03,2.874,2692.82,0.26
575.85,2.879,2698.13,0.28
576.77,2.884,2703.41,0.29
577.68,2.889,2708.58,0.29
578.46,2.894,2713.69,0.28
579.33,2.899,2718.79,0.28
580.11,2.904,2723.83,0.27
580.98,2.909,2728.92,0.27
581.9,2.914,2733.97,0.27
582.73,2.919,2738.91,0.27
583.55,2.924,2743.92,0.27
584.28,2.929,2748.92,0.28
585.2,2.934,2753.83,0.28
586.03,2.939,2759.01,0.28
586.85,2.944,2764.2,0.27
587.77,2.949,2769.4,0.27
588.5,2.954,2774.68,0.27
589.42,2.959,2780.04,0.27
590.29,2.964,2785.35,0.26
591.07,2.969,2790.56,0.27
591.98,2.974,2795.66,0.28
592.9,2.979,2800.7,0.28
593.63,2.984,2805.77,0.29
594.41,2.989,2810.83,0.28
595.24,2.994,2815.88,0.27
596.02,2.999,2820.96,0.27
596.89,3.004,2826.05,0.27
597.67,3.009,2831.15,0.26
598.58,3.014,2836.21,0.26
599.36,3.019,2841.32,0.27
600.23,3.024,2846.43,0.28
601.01,3.029,2851.55,0.29
601.88,3.034,2856.86,0.29
602.8,3.039,2862.08,0.3
603.72,3.044,2867.08,0.29
604.59,3.049,2871.95,0.28
605.28,3.054,2876.8,0.28
605.96,3.059,2881.6,0.27
606.83,3.064,2886.37,0.27
607.75,3.069,2891.2,0.27
608.48,3.074,2896.03,0.28
609.26,3.079,2900.73,0.28
609.95,3.084,2905.3,0.28
610.68,3.089,2909.95,0.28
611.46,3.094,2914.64,0.28
612.33,3.099,2919.51,0.28
613.11,3.104,2924.52,0.28
613.98,3.109,2929.59,0.28
614.9,3.114,2934.54,0.27
615.63,3.119,2939.34,0.27
616.41,3.124,2944.03,0.26
617.1,3.129,2948.55,0.27
617.93,3.134,2952.93,0.28
618.61,3.139,2957.34,0.29
619.3,3.144,2961.71,0.29
620.13,3.149,2966.07,0.29
620.81,3.154,2970.45,0.29
621.64,3.159,2974.94,0.3
622.33,3.164,2979.56,0.29
623.15,3.169,2984.27,0.28
623.98,3.174,2989.07,0.28
624.66,3.179,2993.98,0.28
625.49,3.184,2998.92,0.28
626.18,3.189,3003.84,0.28
627,3.194,3008.88,0.28
627.73,3.199,3013.88,0.28
628.51,3.204,3019.04,0.29
629.2,3.209,3024.44,0.29
630.12,3.214,3029.89,0.28
631.03,3.219,3035.37,0.27
631.81,3.224,3040.76,0.26
632.64,3.229,3046.16,0.27
633.42,3.234,3051.39,0.27
634.04,3.239,3056.52,0.26
634.84,3.244,3061.68,0.25
635.62,3.249,3066.94,0.25
636.49,3.254,3072.21,0.26
637.27,3.259,3077.5,0.27
638.14,3.264,3082.86,0.28
638.83,3.269,3088.2,0.27
639.65,3.274,3093.62,0.27
640.48,3.279,3099,0.26
641.3,3.284,3104.28,0.26
642.13,3.289,3109.57,0.26
642.95,3.294,3114.77,0.27
643.68,3.299,3119.55,0.27
644.38,3.304,3124.45,0.27
645.01,3.309,3129.33,0.27
645.84,3.314,3134.07,0.27
646.53,3.319,3139.06,0.28
647.21,3.324,3144.36,0.28
648.08,3.329,3149.75,0.28
648.86,3.334,3155.05,0.27
649.73,3.339,3160.48,0.26
650.51,3.344,3165.83,0.26
651.2,3.349,3170.9,0.27
652.12,3.354,3175.7,0.27
652.74,3.359,3180.4,0.27
653.4,3.364,3185.19,0.27
654.09,3.369,3189.94,0.27
654.87,3.374,3194.78,0.27
655.74,3.379,3199.84,0.28
656.52,3.384,3205.08,0.27
657.25,3.389,3210.39,0.27
658.17,3.394,3215.75,0.26
659.08,3.399,3221.17,0.26
659.86,3.404,3226.44,0.26
660.69,3.409,3231.81,0.27
661.47,3.414,3237.06,0.27
662.34,3.419,3242.15,0.27
663.12,3.424,3247.15,0.27
663.85,3.429,3252.18,0.27
664.58,3.434,3257.07,0.27
665.36,3.439,3261.84,0.27
666.23,3.444,3266.69,0.28
666.93,3.449,3271.65,0.28
