# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871936. Accessed 11 Nov 2022.
# Comment: Cibicidoides sp. δ18O and Cibicidoides sp. δ13C include C. kullenbergi and C. wuellerstorfi, which are listed as separate variables in the original dataset.

Depth cr mean [rmcd],Age [ka BP],Cibicidoides sp. δ18O [‰ PDB],Cibicidoides sp. δ13C [‰ PDB]
6.95,104.4,3.35,0.49
6.97,104.74,3.41,0.68
6.99,105.07,3.54,0.2
7.01,105.39,3.66,0.43
7.03,105.69,3.54,0.43
7.05,105.99,3.73,0.22
7.07,106.29,3.79,0.23
7.09,106.59,3.57,-0.34
7.11,106.88,3.57,0.48
7.13,107.18,3.56,0.68
7.15,107.48,3.59,0.61
7.17,107.78,3.53,0.3
7.19,108.07,3.61,0.54
7.21,108.37,3.56,0.64
7.23,108.67,3.5,0.53
7.25,108.97,3.55,0.23
7.27,109.27,3.75,0.54
7.29,109.56,3.64,0.36
7.31,109.86,3.76,0.6
7.325,110.08,3.73,-0.95
7.345,110.38,3.85,0.28
7.365,110.63,3.54,0.57
7.385,110.86,3.78,0.25
7.405,111.1,3.73,0.64
7.425,111.33,3.79,0.44
7.445,111.57,3.72,0.5
7.465,111.8,3.8,0.17
7.485,112.04,3.53,0.58
7.505,112.28,3.67,0.31
7.525,112.51,3.7,0.7
7.545,112.75,3.61,0.68
7.565,112.98,3.69,0.7
7.585,113.22,3.59,0.7
7.605,113.45,3.61,0.74
7.645,113.92,3.49,0.44
7.665,114.16,3.54,0.56
7.685,114.4,3.42,0.34
7.725,114.87,3.48,0.74
7.745,115.1,3.38,0.47
7.765,115.34,3.21,0.47
7.785,115.57,3.25,0.74
7.805,115.81,3.4,0.52
7.825,116.04,3.17,0.73
7.845,116.28,3.05,0.71
7.865,116.52,2.92,0.79
7.885,116.75,3.22,0.42
7.905,116.99,3.14,0.5
7.925,117.22,2.98,0.56
7.945,117.46,2.99,0.48
7.965,117.69,3.22,0.75
7.985,117.93,3.05,0.2
8.005,118.17,3.04,0.66
8.025,118.4,2.9,0.47
8.045,118.64,2.81,0.72
8.065,118.87,2.77,0.76
8.085,119.11,2.68,0.74
8.105,119.34,2.89,0.83
8.125,119.58,2.84,0.55
8.145,119.81,2.67,0.49
8.165,120.05,3.06,0.75
8.185,120.29,2.84,0.56
8.205,120.52,2.7,0.88
8.225,120.76,2.82,0.57
8.245,120.99,2.78,0.93
8.265,121.23,2.66,0.8
8.285,121.46,2.67,0.82
8.305,121.7,2.58,1.01
8.325,121.93,2.63,0.83
8.345,122.17,2.69,0.94
8.365,122.41,2.56,0.82
8.385,122.64,2.69,0.92
8.405,122.88,2.57,0.64
8.415,122.99,2.67,0.79
8.425,123.11,2.63,0.93
8.435,123.23,2.6,0.87
8.445,123.35,2.53,0.86
8.455,123.47,2.66,0.94
8.465,123.58,2.63,0.85
8.475,123.7,2.63,0.83
8.485,123.82,2.87,0.73
8.495,123.94,2.54,0.78
8.505,124.06,2.69,0.94
8.515,124.17,2.63,0.68
8.525,124.29,2.58,0.98
8.545,124.53,2.53,0.96
8.555,124.64,2.61,0.85
8.565,124.76,2.65,0.8
8.575,124.88,2.64,0.77
8.585,125,2.54,0.48
8.595,125.12,2.57,0.66
8.605,125.23,2.57,0.26
8.615,125.35,2.59,0.8
8.635,125.59,2.56,0.08
8.645,125.7,2.62,-0.3
8.665,125.94,2.52,0.82
8.675,126.06,2.64,0.85
8.685,126.18,2.59,0.67
8.695,126.29,2.63,0.87
8.705,126.41,2.55,0.27
8.725,126.65,2.58,0.8
8.735,126.76,2.53,0.68
8.755,127,2.54,0.53
8.765,127.21,2.68,0.74
8.775,127.43,3.11,0.57
8.785,127.64,2.61,0.91
8.795,127.86,2.62,-0.12
8.815,128.29,2.73,0.18
8.825,128.5,3.57,0.06
8.835,128.71,3.53,0.24
8.845,128.93,3.27,0.01
8.855,129.14,3.42,0.19
8.865,129.36,3.55,0.08
8.875,129.57,3.52,0.07
8.885,129.79,3.49,0.02
8.895,130,3.74,-0.01
8.905,130.21,3.85,0.05
8.915,130.43,3.89,0.05
8.925,130.64,3.88,0.13
8.935,130.86,3.73,0.09
8.945,131.07,3.76,0.16
8.955,131.29,3.71,0.18
8.965,131.5,3.69,0.1
8.975,131.71,3.91,0.09
8.985,131.93,3.78,0.2
8.995,132.14,4.08,0.16
9.005,132.36,3.98,0.15
9.015,132.57,3.79,0.12
9.025,132.79,4,-0.14
9.035,133,3.92,0.16
9.045,133.21,4.2,0.39
9.055,133.43,4.53,0.37
9.065,133.64,4.2,-0.04
9.075,133.86,3.9,0.56
9.085,134.07,3.96,-0.01
9.095,134.29,3.75,0.6
9.105,134.5,3.71,0.32
9.115,134.71,4.56,0.5
9.125,134.93,4.2,-0.07
9.135,135.14,4.59,0.41
9.145,135.36,4.46,-0.22
9.155,135.57,4.08,0.33
9.16,135.68,4.54,0.1
9.175,136,4.6,0.27
9.185,136.23,4.44,0.08
9.195,136.47,4.61,0.4
9.205,136.7,4.42,0
9.215,136.93,4.6,0.25
9.225,137.17,4.47,0.06
9.235,137.4,4.55,0.12
9.245,137.63,4.53,0.08
9.255,137.86,4.6,0.21
9.265,138.1,4.57,0.25
9.275,138.33,4.63,-0.01
9.285,138.56,4.6,0.17
9.295,138.8,4.59,0.18
9.305,139.03,4.47,0.17
9.325,139.5,4.58,0.12
9.335,139.73,4.56,0.18
9.345,139.96,4.61,0.25
9.355,140.19,4.54,0.17
9.365,140.43,4.42,0.03
9.375,140.66,4.47,0.11
9.385,140.89,4.37,-0.24
9.395,141.13,4.4,0.12
9.405,141.36,4.33,0.04
9.415,141.59,4.38,0.02
9.425,141.83,4.31,0.12
9.435,142.06,4.43,-0.11
9.445,142.29,4.33,0.28
9.455,142.53,4.16,0.22
9.465,142.76,4.4,0.08
9.475,142.99,4.4,0.05
9.485,143.22,4.17,0.18
9.495,143.46,4.35,0
9.505,143.69,4.21,-0.06
9.515,143.92,4.36,0.22
9.525,144.16,4.27,-0.01
9.545,144.62,4.22,0.26
9.555,144.86,4.21,0.31
9.565,145.09,4.26,-0.08
9.575,145.32,4.18,0.04
9.585,145.56,4.2,-0.18
9.595,145.79,4.34,0.12
9.605,146.02,4.24,-0.08
9.615,146.25,4.3,0.03
9.625,146.49,4.19,-0.14
9.635,146.72,4.37,-0.01
9.645,146.95,4.1,-0.07
9.665,147.42,4.16,-0.22
9.685,147.89,4.03,-0.17
9.695,148.12,4.18,-0.09
9.705,148.35,4.17,-0.2
9.715,148.58,3.85,0.7
9.735,149.05,4.28,0.03
9.735,149.05,4.06,-0.22
9.745,149.28,4.19,-0.15
9.755,149.52,4.18,-0.37
9.765,149.75,4.23,-0.28
9.775,149.98,4.16,-0.18
9.785,150.22,4.18,-0.28
9.795,150.45,3.92,-0.09
9.805,150.68,4.22,-0.17
9.815,150.92,4.23,-0.28
9.825,151.15,4.16,-0.08
9.835,151.38,4,-0.2
9.845,151.61,4.21,1.15
9.855,151.85,4.04,-0.16
9.865,152.08,4.15,0.14
9.875,152.31,4.23,-0.37
9.885,152.55,4.21,-0.07
9.905,153.01,3.92,-0.04
9.915,153.25,4.25,-0.21
9.925,153.48,4.2,-0.21
9.935,153.71,4.07,-0.38
9.945,153.94,4.3,-0.02
9.955,154.18,4.1,0.1
9.965,154.41,3.99,-0.06
9.985,154.88,4.24,0.54
9.995,155.11,4.03,0.09
10.005,155.34,4.11,0.43
10.015,155.58,4.35,0.27
10.025,155.81,4.28,0.1
10.035,156.04,3.65,0.11
10.045,156.28,4.28,0.04
10.055,156.51,4.32,0.51
10.065,156.74,4,-0.18
10.075,156.97,4.34,0.37
10.085,157.21,4.13,0.22
10.095,157.44,4.16,-0.07
10.105,157.67,4.12,0.28
10.115,157.91,4.16,0.05
10.125,158.14,4.15,0.26
10.135,158.37,4.25,0.13
10.145,158.61,4.21,0.58
10.155,158.84,4.37,0.5
10.165,159.07,4.31,0.22
10.175,159.31,4.12,0.23
10.185,159.54,3.77,-0.52
10.195,159.77,4.05,0.13
10.205,160,4.3,0.44
10.215,160.24,4.06,-0.33
10.225,160.47,4.06,-0.14
10.235,160.7,4.11,0
10.245,160.94,4.03,-0.07
10.255,161.17,4.08,0.06
10.265,161.4,4.14,0.46
10.275,161.64,4.12,-0.15
10.285,161.87,4.1,0.15
10.295,162.1,4.06,-0.23
10.305,162.33,4.21,0.07
10.315,162.57,4.21,-0.05
10.33,162.92,4.21,0.1
10.35,163.38,3.93,-0.14
10.37,163.85,4.07,0.32
10.39,164.32,4.2,0.34
10.41,164.78,4.13,0.38
10.425,165.13,4.09,0.04
10.43,165.25,4.1,0.1
10.435,165.36,4.14,0.48
10.445,165.6,4.07,0.32
10.455,165.83,3.89,0.3
10.465,166.06,3.93,0.3
10.475,166.3,3.88,0.06
10.485,166.53,3.66,0.23
10.495,166.76,3.96,0.34
10.505,167,3.95,-0.08
10.515,167.23,3.92,0.1
10.525,167.46,3.84,0.25
10.535,167.69,3.77,0.28
10.545,167.93,3.71,0.12
10.555,168.16,3.89,0.27
10.565,168.39,3.67,0.31
10.575,168.63,3.88,0.19
10.585,168.86,3.96,-0.07
10.595,169.09,3.92,0.3
10.605,169.33,3.94,-0.18
10.615,169.56,3.87,0.11
10.625,169.79,3.93,0.06
10.635,170.03,3.85,0
10.645,170.26,3.72,0.15
10.655,170.49,4.05,-0.13
10.665,170.72,3.88,0.36
10.675,170.96,4.03,0
10.685,171.19,3.93,-0.09
10.695,171.42,3.97,0.05
10.705,171.66,4.05,0.28
10.725,172.12,4.14,0.07
10.735,172.36,4.01,0
10.745,172.59,4.13,-0.14
10.755,172.82,3.58,0.29
10.765,173.06,3.95,-0.12
10.775,173.29,3.93,0.56
10.785,173.52,4.11,0.23
10.795,173.75,4.06,-0.09
10.805,173.99,3.94,0.41
10.815,174.22,3.88,0.05
10.825,174.45,4.09,0.01
10.835,174.69,3.97,0.1
10.845,174.92,3.96,0.15
10.855,175.15,4,0.16
10.865,175.39,4.03,-0.07
10.875,175.62,3.93,0.12
10.885,175.85,4.17,0.46
10.895,176.08,4.07,0.18
10.905,176.32,4.09,0.26
10.915,176.55,4.13,0.12
10.925,176.78,3.98,0.26
10.935,177.02,4.19,0.07
10.945,177.25,3.99,0.25
10.965,177.72,3.87,0.13
10.975,177.95,3.74,0.16
10.985,178.18,3.97,0.22
10.995,178.42,4.03,0.07
11.005,178.65,3.82,-0.21
11.015,178.88,3.93,-0.1
11.025,179.11,3.72,0.07
11.035,179.35,3.84,-0.19
11.045,179.58,4.01,-0.11
11.055,179.81,4.12,-0.16
11.065,180.05,3.86,-0.09
11.075,180.28,4,0.27
11.085,180.51,3.95,-0.46
11.105,180.98,3.95,-0.15
11.115,181.21,3.96,-0.07
11.125,181.44,4.12,0.06
11.135,181.68,3.87,0.02
11.145,181.91,3.74,0.58
11.155,182.14,3.94,-0.19
11.175,182.61,4.15,0.34
11.185,182.84,4.16,0.19
11.195,183.08,4.12,-0.03
11.215,183.54,4.25,0.03
11.225,183.78,4.11,0.24
11.235,184.01,3.97,0.18
11.245,184.24,4.06,-0.09
11.255,184.47,4.09,0.1
11.265,184.71,3.99,0.1
11.275,184.94,3.96,0.2
11.285,185.17,4.18,0.09
11.295,185.41,4.16,0.11
11.305,185.64,4.07,0.11
11.315,185.87,3.84,0
11.325,186.11,4.11,-0.21
11.345,186.57,4.02,0.19
11.365,187.04,4.01,-0.57
11.375,187.27,3.95,0.15
11.385,187.5,3.99,-0.04
11.395,187.74,4.21,0.08
11.405,187.97,3.72,0.55
11.415,188.2,3.9,0.31
11.425,188.44,4.01,0.28
11.445,188.9,3.78,0.56
11.455,189.14,3.66,0.37
11.465,189.37,3.81,0.26
11.475,189.6,3.78,0.42
11.485,189.83,3.79,0.13
11.495,190.07,3.84,-0.05
11.505,190.3,3.82,0.16
11.515,190.53,3.63,0.41
11.525,190.77,3.93,0.24
11.535,191,3.61,0.3
11.545,191.11,3.36,0.44
11.555,191.23,3.47,0.17
11.565,191.34,3.5,0.65
11.575,191.45,3.39,0.62
11.585,191.57,3.57,0.17
11.595,191.68,3.71,0.45
11.605,191.8,3.54,0.29
11.615,191.91,3.46,0.76
11.625,192.02,3.49,0.14
11.635,192.14,3.4,0.26
11.645,192.25,3.28,0.27
11.655,192.36,3.43,0.17
11.665,192.48,3.43,0.53
11.675,192.59,3.32,0.4
11.685,192.7,3.44,0.54
11.695,192.82,3.43,0.73
11.705,192.93,3.42,0.41
11.715,193.05,3.36,0.44
11.725,193.16,3.2,0.31
11.735,193.27,3.49,0.17
11.745,193.39,3.24,-0.85
11.755,193.5,3.32,0.45
11.765,193.61,3.31,0.61
11.78,193.78,3.47,0.59
11.795,193.95,3.26,0.58
11.805,194.07,3.44,0.31
11.815,194.18,3.41,0.17
11.825,194.3,3.34,0.52
11.835,194.41,3.52,0.25
11.845,194.52,3.3,0.66
11.855,194.64,3.53,0.44
11.875,194.86,3.61,0.22
11.885,194.98,3.57,-0.55
11.895,195.09,3.49,0.18
11.905,195.2,3.61,0.56
11.915,195.32,3.54,0.57
11.925,195.43,3.41,0.61
11.935,195.55,3.5,0.55
11.945,195.66,3.26,0.38
11.955,195.77,3.41,0.51
11.965,195.89,3.39,0.63
11.975,196,3.23,0.13
11.985,196.11,3.44,0.65
11.995,196.23,3.47,0.63
12.005,196.34,3.25,0.35
12.015,196.45,3.19,0.49
12.025,196.57,3.11,0.65
12.035,196.68,3.18,0.48
12.045,196.8,3.26,0.16
12.055,196.91,3.13,0.72
12.065,197.02,3.35,0.62
12.075,197.14,3.06,0.62
12.085,197.25,2.86,0.56
12.095,197.36,3.04,0.63
12.105,197.48,2.98,0.68
12.115,197.59,3.13,0.64
12.125,197.7,3.1,0.58
12.135,197.82,3.14,0.78
12.145,197.93,2.89,0.91
12.155,198.05,2.98,0.69
12.165,198.16,3.04,0.77
12.175,198.27,3,0.2
12.185,198.39,2.95,0.76
12.195,198.5,3.01,0.84
12.205,198.61,3.02,0.62
12.215,198.73,3.06,0.37
12.225,198.84,3.11,0.48
12.235,198.95,3.07,0.57
12.245,199.07,2.83,0.64
12.255,199.18,3.19,0.49
12.265,199.3,2.81,0.66
12.275,199.41,2.9,0.76
12.285,199.52,3.07,0.39
12.295,199.64,2.83,0.75
12.305,199.75,2.95,0.37
12.325,199.98,2.91,0.61
12.335,200.09,2.81,0.58
12.345,200.2,2.76,0.78
12.355,200.32,2.97,0.77
12.365,200.43,2.86,0.93
12.375,200.55,2.81,0.77
12.385,200.66,2.92,0.78
12.395,200.77,3.04,0.77
12.405,200.89,2.73,0.71
12.415,201,2.96,0.63
12.425,201.15,3,0.42
12.435,201.31,3,0.65
12.455,201.62,3.12,0.79
12.465,201.77,3.21,0.4
12.475,201.92,3.05,0.52
12.485,202.08,3,0.2
12.495,202.23,3.1,0.64
12.505,202.38,3.04,0.52
12.515,202.54,3.24,0.73
12.525,202.69,3.2,0.7
12.535,202.85,3.14,0.6
12.545,203,3.07,0.56
12.555,203.15,3.14,0.71
12.565,203.31,3.19,0.71
12.575,203.46,3.09,0.51
12.585,203.62,3.12,0.43
12.61,204,3.44,0.69
12.615,204.08,3.16,0.64
12.63,204.31,3.41,0.16
12.635,204.38,3.42,0.54
12.65,204.62,3.31,0.6
12.655,204.69,3.45,0.64
12.67,204.92,3.37,0.67
12.675,205,3.31,0.78
12.69,205.23,3.22,0.61
12.71,205.54,3.19,0.41
12.73,205.85,3.35,0.29
12.75,206.15,3.25,0.44
12.77,206.46,3.11,0.92
12.79,206.77,3.2,0.89
12.81,207.08,3.19,0.88
