/* DESCRIPTION:
Reference:	De Pol-Holz, R., O. Ulloa, F. Lamy, L. Dezileau, P. Sabatier, and D. Hebbeln. 2007. Late Quaternary variability of sedimentary nitrogen isotopes in the eastern South Pacific Ocean. Paleoceanography, 22, PA2207, doi:10.1029/2006PA001308 
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/10494. Accessed 22 Nov 2022.
Comment:	Data was not modified in any way.
*/
Depth [cm]	Age [ka BP]	d15N [‰vsAir]	Ntot (wt %) 
444.5	30.42	7.2	0.156
445.5	30.48	7.2	0.149
446.5	30.54	7.1	0.134
447.5	30.6	7.2	0.151
448.5	30.65	7.4	0.148
449.5	30.71	7.4	0.158
450.5	30.77	8.2	0.171
451.5	30.83	8.5	0.182
452.5	30.88	8.2	0.191
453.5	30.94	8	0.167
454.5	31	7.6	0.156
455.5	31.06	7.4	0.156
456.5	31.12	7.6	0.164
457.5	31.17	7.5	0.143
458.5	31.23	6.7	
459.5	31.29	8	0.179
460.5	31.35	7.6	0.162
461.5	31.41	7.4	0.14
463	31.49	7.9	0.165
465	31.61	8	0.195
466	31.67	7.8	0.202
467	31.73	8.1	0.207
469	31.84	7.7	0.211
470	31.9	8.2	0.185
471	31.96	8.6	0.164
472	32.02	9.3	0.176
473	32.07	9	0.183
474	32.13	8.7	0.189
475	32.19	8.6	0.191
476	32.25	9	0.201
477	32.31	8.8	0.214
478	32.36	8.7	0.225
479	32.42	9.2	0.226
480	32.48	7.7	0.197
481	32.54	7.8	0.199
482	32.6	8.2	0.178
483	32.65	8.6	0.169
484	32.71	9	0.172
485	32.77	9.2	0.165
486	32.83	9.2	0.162
487	32.88	8.4	0.148
488	32.94	8.9	0.138
489.5	33.03	8.1	0.089
490.5	33.09	8.4	0.135
491.5	33.15	9.4	0.167
492.5	33.2	9.3	0.167
494.5	33.32	8.8	0.159
495.5	33.38	8.6	0.146
496.5	33.44	8.2	0.145
498	33.52	9.2	0.155
499	33.58	8.8	0.157
500	33.64	8.8	0.162
501	33.7	9.3	0.149
502	33.75	9.7	0.153
505	33.93	9.2	0.138
506	33.99	8.9	0.107
507	34.04	8.8	0.127
509	34.16	8.3	0.132
511	34.28	9.7	0.134
512	34.33	9.3	0.13
513	34.39	9.1	0.142
514	34.45	9.7	0.14
515	34.57	9.3	0.14
517	34.82	9.2	0.12
519	35.06	8.9	0.14
521	35.31	9.6	0.139
522	35.43	10.4	0.12
523	35.55	10.5	0.117
524	35.68	10.3	0.113
525	35.8	10.3	0.116
526	35.92	9.9	0.108
527	36.04	10.4	0.108
528	36.17	10.2	0.111
529	36.29	10.9	0.099
530	36.41	11.2	0.099
531	36.54	10.2	0.098
532	36.66	10.4	0.096
533	36.78	9.8	0.111
534	36.9	9.5	0.132
535	37.03	9.5	0.135
536	37.15	9.4	0.145
537	37.27	9.3	0.146
538	37.39	9	0.135
539	37.52	9.1	0.136
540	37.64	9	0.16
541	37.76	9.1	0.155
542	37.88	9.5	0.16
543	38.01	9.2	0.156
544	38.13	9.1	0.147
545	38.25	8.7	0.142
546	38.38	8.9	0.147
547	38.5	8.7	0.136
548	38.62	8.8	0.134
549	38.74	8.6	0.128
550	38.87	8.3	0.133
551	38.99	7.8	0.134
552	39.11	8.3	0.153
553	39.23	8.4	0.153
554	39.36	8.4	0.157
555	39.48	8.1	0.153
556	39.6	8.4	0.149
557	39.72	8	0.152
558	39.85	8.4	0.141
559	39.97	8.4	0.14
560	40.11	8.3	0.144
561	40.24	8.1	0.147
562	40.38	8.3	
563	40.51	8.6	0.132
564	40.65	8.1	0.115
565	40.78	8	0.12
566	40.92	8.6	0.123
567	41.05	8.3	0.139
568	41.19	8.4	0.133
569	41.32	8.5	0.138
571	41.59	8.3	0.14
572	41.73	8	0.161
573	41.86	8.2	0.163
574	42	8.5	0.166
575	42.13	8.3	0.156
577	42.4	8.4	0.161
578	42.54	8.4	0.158
579	42.67	8.4	0.159
581	42.94	7.7	0.136
582	43.08	8.3	0.139
583	43.21	8.5	0.129
584	43.35	7.9	0.128
585	43.49	7.3	0.121
586	43.62	7.9	0.114
587	43.76	7.5	0.113
588	43.89	7.7	0.102
589.5	44.09	7.7	0.161
590.5	44.23	8.1	0.161
591.5	44.36	8.2	0.161
592.5	44.5	8.5	0.169
593.5	44.63	8.7	0.165
594.5	44.77	8.9	0.162
595.5	44.9	8.7	0.161
596.5	45.04	8.5	0.152
597.5	45.18	8.6	0.162
599.5	45.45	8.5	0.154
600.5	45.58	8.4	0.15
601.5	45.72	8.4	0.148
602.5	45.85	8.5	0.152
603.5	45.99	8.2	0.154
604.5	46.12	8.8	0.171
605.5	46.26	8.6	0.171
606.5	46.39	8.5	0.176
607.5	46.53	8.6	0.132
608.5	46.66	8.3	0.153
609.5	46.8	8.3	0.162
610.5	46.93	8.2	0.168
611.5	47.07	8.2	0.17
612.5	47.2	8	0.166
613.5	47.34	8.4	0.163
614.5	47.47	8.1	0.163
615.5	47.61	8.3	0.167
616.5	47.74	8.2	0.165
617.5	47.88	8.3	0.17
618.5	48.01	8.5	0.179
619.5	48.15	8.4	0.171
620.5	48.28	8.6	0.155
621.5	48.42	8.3	0.154
622.5	48.55	8.4	0.153
623.5	48.69	8.4	0.16
624.5	48.83	8.6	0.155
625.5	48.96	8.6	0.15
626.5	49.1	8.2	0.153
627.5	49.23	8.1	0.152
628.5	49.37	8.6	0.156
629.5	49.5	8.6	0.154
630.5	49.64	8.8	0.169
631.5	49.77	8.9	0.172
632.5	49.91	9	0.154
633.5	50.04	9	0.15
634.5	50.18	8.7	0.147
635.5	50.31	8.8	0.138
636.5	50.45	8.9	0.143
637.5	50.58	8.8	0.143
638.5	50.72	8.6	0.146
639.5	50.85	9	0.149
640.5	50.99	8.9	0.146
641.5	51.12	9.6	0.159
642.5	51.26	8.7	0.161
643.5	51.39	9.1	0.158
644.5	51.53	9.4	0.155
645.5	51.66	9.2	0.155
646.5	51.8	9.4	0.159
647.5	51.93	9.2	0.171
648.5	52.07	9.2	0.171
649.5	52.21	9.6	0.167
650.5	52.34	9.6	0.172
651.5	52.48	9.5	0.18
652.5	52.61	9.2	0.176
653.5	52.75	9.5	0.175
654.5	52.88	8.6	0.161
655.5	53.02	8.6	0.163
656.5	53.15	8.6	0.149
657.5	53.29	8.5	0.152
658.5	53.42	9.5	0.149
659.5	53.56	9.6	0.143
660.5	53.69	9.2	0.152
661.5	53.83	9.7	0.148
662.5	53.96	9.5	0.144
663.5	54.1	9.4	0.141
664.5	54.23	9.4	0.145
665.5	54.37	9.3	0.144
666.5	54.5	9.2	0.146
667.5	54.64	9.4	0.155
668.5	54.77	9.7	0.15
669.5	54.91	9.1	0.134
670.5	55.04	10.3	0.141
671.5	55.18	10.2	0.15
672.5	55.31	9.9	0.156
673.5	55.45	10.2	0.152
675	55.61	10	0.121
676	55.71	9.8	0.162
677	55.82	9	0.178
678	55.93	9.8	0.165
679	56.03	9.7	0.169
680	56.14	9.8	0.173
681	56.24	9.3	0.169
682	56.35	9.4	0.186
683	56.46	9.4	0.187
684	56.56	9.6	0.184
685	56.67	9.7	0.191
686	56.77	9.7	0.191
687	56.88	8.2	0.18
688	56.99	9.3	0.186
689	57.09	9.3	0.191
690	57.2	9.3	0.187
691	57.3	8.8	0.163
692	57.41	8.4	0.167
693	57.52	8.8	0.178
695	57.73	9.1	0.191
696	57.83	7.5	0.195
697	57.94	7.6	0.199
698	58.05	7.2	0.2
699	58.15	8.7	0.195
700	58.26	8.7	0.189
701	58.36	8.4	0.179
702	58.47	7.8	0.162
703	58.58	7.9	0.163
704	58.68	7.7	0.157
705	58.79	7.9	0.168
706	58.89	7.8	0.16
707	59	8.1	0.153
708	59.13	7.7	0.126
709	59.26	7.5	0.102
710	59.39	8	0.143
711	59.52	8	0.144
712	59.65	7.9	0.139
713	59.78	8.5	0.146
714	59.91	8.6	0.154
715	60.04	8.1	0.147
716	60.17	8.3	0.158
718	60.43	8.3	0.141
719	60.57	8.3	0.139
720	60.7	8.5	0.132
721	60.83	8.8	0.144
722	60.96	8.9	0.144
723	61.09	8.8	0.141
724	61.22	8.8	0.136
725	61.35	8.7	0.137
726	61.48	8.6	0.136
727	61.61	9.1	0.132
728	61.74	8.8	0.136
729	61.87	8.5	0.138
730	62	8.3	0.151
731	62.13	8.4	0.154
732	62.26	8.2	0.16
733	62.39	8.3	0.167
734	62.52	8.4	0.161
735	62.65	8.5	0.157
736	62.78	8.4	0.152
737	62.91	8.5	0.156
738	63.04	8.6	0.156
739	63.17	8.6	0.148
740	63.3	8.7	0.153
741	63.43	8.4	0.158
742	63.57	8.6	0.16
743	63.7	8.3	0.164
744	63.83	8.4	0.165
745	63.96	8.3	0.163
749	64.48	8.2	0.181
750	64.61	8.1	0.196
751	64.74	8.5	0.175
752	64.87	8.5	0.18
753	65	8.8	0.173
757	65.52	8.8	0.188
758	65.65	8.3	0.181
759	65.78	8.2	0.179
760	65.91	8.4	0.173
761	66.04	8.4	0.194
762	66.17	8.2	0.193
763	66.3	9.1	0.215
764	66.43	8.8	0.219
765	66.57	8.9	0.197
766	66.7	8.8	0.194
767	66.83	8.7	0.2
768	66.96	8.8	0.217
769	67.09	8.4	0.213
770	67.22	8.8	0.23
771	67.35	8.9	0.237
772	67.48	7.8	0.235
774	67.74	7.8	0.245
775	67.87	7.3	0.241
776	68	7.7	0.217
777	68.13	8.6	0.218
778	68.26	8.7	0.224
779	68.39	7.5	0.221
780	68.52	7.6	0.218
781	68.65	7.5	0.198
783	68.91	8.7	0.195
784	69.04	8.8	0.189
785	69.17	7.4	0.192
786	69.3	9	0.198
787	69.43	8.8	0.194
788	69.57	7.9	0.158
789	69.7	9	0.198
790	69.83	9.2	0.198
791	69.96	8.5	0.2
792	70.09	9.1	0.203
