# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),%lithics,%forams,%volcanics
1467,77.668,17.177,81.758,6.5246
1469.5,77.87,3.0552,96.71,0.70505
1472,78.072,2.9619,96.897,0.14104
1474.5,78.274,1.2019,98.558,0
1477,78.476,1.7375,98.263,0
1479.5,78.678,1.1057,98.649,0
1482,78.88,1.3216,98.238,0
1484.5,79.082,0.65274,98.825,0
1487,79.283,1.3415,98.293,0
1489.5,79.485,1.0657,98.757,0
1492,79.687,1.0949,98.723,0
1494.5,79.889,0.63291,99.156,0
1497,80.091,0.4329,99.134,0
1499.5,80.293,0.15873,98.889,0
1502,80.402,0.4662,99.534,0
1504.5,80.511,0.51414,99.1,0
1507,80.62,0.21692,99.349,0
1509.5,80.729,0.41322,98.967,0
1512,80.838,0.45732,99.543,0
1514.5,80.947,0.5137,98.63,0
1517,81.056,0.22075,97.572,0
1519.5,81.165,0.16779,99.161,0
1522,81.274,0,99.511,0
1524.5,81.383,0.48193,99.277,0
1527,81.492,1.3917,98.608,0
1529.5,81.601,0.18182,98.909,0
1532,81.71,0,99.541,0
1534.5,81.819,0.31746,99.048,0
1537,81.928,0.5425,98.734,0
1539.5,82.037,0.62893,99.161,0
1542,82.146,1.473,98.036,0.32733
1544.5,82.256,0.42373,99.576,0
1547,82.365,0,99.283,0
1549.5,82.474,0,98.533,0
1552,82.583,0,96.911,0
1554.5,82.692,0.36166,98.915,0
1557,82.801,0,99.716,0
1559.5,82.91,0.86022,98.495,0
1562,83.019,1.1038,98.013,0
1567,83.237,0.25349,96.198,0.12674
1569.5,83.346,0.19011,97.338,0
1572,83.455,0.53191,97.739,0.26596
1574.5,83.564,1.0684,98.504,0
1577,83.673,0,95.622,0
1579.5,83.782,3.3183,95.777,0.90498
1582,83.891,8.7751,89.58,2.5594
1584.5,84,16.425,82.931,5.153
1587,84.255,17.266,80.096,6.4748
1589.5,84.51,24.068,75.621,10.248
1592,84.765,25.515,73.693,13.471
1594.5,85.02,25.373,73.348,11.727
1601,85.684,6.0092,93.837,2.6194
1603.5,85.939,1.3619,98.638,0
1606,86.194,2.2071,97.793,0.67912
1608.5,86.449,0.1773,98.936,0
1611,86.704,0.27663,99.032,0.13831
1613.5,86.959,0.24213,99.274,0
1616,87.214,0.32051,98.718,0
1618.5,87.469,0.18904,97.543,0
1621,87.724,0,99.027,0
1623.5,87.98,1.1609,98.176,0
1626,88.235,3.4843,95.993,0
1628.5,88.49,2.627,97.373,0
1631,88.745,2.4904,97.126,0
1633.5,89,3.4765,95.706,0
1636,89.353,4.7619,94.885,0
1638.5,89.706,2.9979,96.788,0
1641,90.059,4.3668,95.197,0.43668
1643.5,90.412,1.75,98,0
1646,90.765,6.1927,93.578,0
1648.5,91.118,2.7723,96.04,0.19802
1651,91.471,3.5714,95.893,0.71429
1653.5,91.824,2.5641,97.115,0
1656,92.176,3.1746,96.599,0
1658.5,92.529,4.0971,95.448,0.15175
1661,92.882,2.3256,96.195,0
1663.5,93.235,1.4644,98.326,0.20921
1666,93.588,1.1142,98.05,0
1668.5,93.941,0.80775,97.254,0
1671,94.294,0.611,98.574,0.20367
1673.5,94.647,0.14749,98.525,0
1676,95,0.35273,96.649,0
