/* DESCRIPTION:
Reference:	Hendy, I.L., J.P. Kennett, E.B. Roark, and B.L. Ingram.  2002. Apparent synchroneity of submillennial scale climate events between Greenland and Santa Barbara Basin, California from 30–10 ka. Quaternary Science Reviews, Vol. 21, Issue 10, pp. 1167-1184, May 2002. doi:10.1016/S0277-3791(01)00138-X.
	Hendy, I.L., and J.P. Kennett. 2003. Tropical forcing of North Pacific intermediate water distribution during Late Quaternary rapid climate change? Quaternary Science Reviews, Vol. 22, Issues 5-7, pp. 673-689. doi:10.1016/S0277-3791(02)00186-5.
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/5830. Accessed 11 Nov 2022.
	https://www.ncei.noaa.gov/access/paleo-search/study/5829. Accessed 11 Nov 2022.
Comment:	Several variables from the original datasets are not included here.
*/
Age [ka] vs. 2000AD	N. pachyderma d18O	N. pachyderma d13C	G. bulloides d18O	G. bulloides d13C	benthic d18O
23.553	2.463	0.104	2.746	-0.756	
23.59					3.771
23.606	1.915	0.252	2.603	-0.886	
23.642					3.835
23.652	2.103	0.201	2.616	-0.763	
23.699	2.171	0.055	2.436	-0.795	
23.733					3.607
23.751	2.748	0.059	2.608	-0.752	
23.804	2.413	0.238	2.657	-0.822	
23.837	2.542	0.022	2.703	-0.951	
23.838					3.603
23.851	2.493	-0.113	2.576	-0.882	
23.871					3.915
23.884					3.679
23.923	2.737	-0.129	2.7	-0.785	
23.956					3.848
23.969	2.507	-0.029	2.784	-0.657	
24.001					3.548
24.069	2.572	0	2.757	-0.726	
24.1					3.77
24.115	2.512	-0.108	2.7	-0.911	
24.145					3.761
24.161	2.764	-0.268	2.687	-0.902	
24.191					3.664
24.214	2.665	0.045	2.683	-0.715	
24.243					3.56
24.26	2.541	0.035	2.794	-0.642	
24.289					3.77
24.306	2.711	0.007	2.641	-0.859	
24.335					3.762
24.353	2.696	0.147	2.808	-0.697	
24.381					3.936
24.405	2.587	-0.045	2.749	-0.872	
24.433					3.611
24.452	2.604	-0.111	2.83	-0.766	
24.498	2.601	-0.064	2.692	-0.908	
24.525					4.007
24.597	2.406	-0.02	2.3455	-0.818	
24.623					4
24.643	2.448	-0.222	2.4115	-0.962	
24.683	2.5915	-0.12	2.842	-0.86	
24.729	2.553	-0.0505	2.6205	-0.879	
24.753					3.848
24.775	2.365	0.0205	2.368	-0.818	
24.799					3.913
24.828	2.489	-0.112	2.793	-0.659	
24.851					3.908
24.875	2.622	-0.0735	2.6675	-0.7915	
24.897					3.864
24.921	2.3955	-0.2255	2.524	-0.753	
24.967	2.5305	0.0435	2.529	-1.0085	
24.989					3.733
25.013	2.443	-0.059	2.608	-1.037	
25.035					3.724
25.06	2.601	-0.03	2.665	-0.757	
25.08					3.645
25.106	2.451	-0.069	2.699	-0.797	
25.126					3.565
25.145	2.521	0.094	2.62	-0.781	
25.165					3.28
25.225	2.343	0.015	2.803	-0.751	
25.244					3.545
25.251	2.551	0.083	2.73	-0.76	
25.27					3.766
25.329					3.571
25.401					3.889
25.44					3.686
25.538					3.768
25.669					3.875
25.701					3.69
25.734					3.943
25.766	2.634	-0.118	2.666	-0.949	
25.78					3.722
25.826	2.677	-0.18	2.506	-1.249	
25.872	2.608	-0.117	2.626	-1.035	
25.884					3.847
25.912	2.402	-0.42			
25.958	2.687	-0.139	2.595	-1.237	
25.969					3.961
26.011	2.694	-0.113	2.496	-1.156	
26.057	2.785	-0.123	2.566	-1.251	
26.068					3.843
26.103	2.51	-0.194	2.275	-1.327	
26.113					3.759
26.163	2.534	-0.203	2.498	-1.039	
26.172					3.838
26.216	2.443	-0.195	2.343	-1.357	
26.224					3.858
26.255	2.386	-0.013	2.392	-1.118	
26.264					3.754
26.303					3.362
26.315	2.257	-0.324	2.324	-1.023	
26.341	2.573	0.034			
26.349					3.684
26.381	2.43	-0.097	2.502	-0.99	
26.388					3.717
26.394			2.64	-0.788	
26.427	2.492	-0.065	2.665	-0.82	
26.473	2.518	-0.075	2.526	-0.867	
26.539	2.311	-0.263	2.244	-0.969	
26.592	2.46	-0.023	2.585	-0.976	
26.638	2.454	-0.212	2.559	-0.881	
26.691	2.628	-0.239	2.188	-1.004	
26.744	2.036	0.081	2.328	-0.841	
26.79	2.414	0.031			
26.837	2.384	-0.303	2.209	-0.885	
26.883	2.408	-0.159	2.329	-1.072	
26.929	2.276	0.028	2.464	-0.94	
26.975	2.044	-0.058	2.253	-1.022	
27.022	2.177	0.089	2.521	-0.857	
27.061					3.763
27.068	2.212	0.0645	2.546	-0.6035	
27.125					3.763
27.135	2.109	0.174	2.366	-0.773	
27.192					3.264
27.202	2.172	-0.184	2.311	-0.878	
27.268					3.445
27.278	2.347	-0.769	2.136	-0.701	
27.326					3.516
27.335	2.28	-0.211	2.034	-0.991	
27.392					3.717
27.402	2.367	-0.173	2.107	-0.857	
27.469					3.784
27.478	2.147	-0.249	2.087	-0.848	
27.564					3.669
27.641					3.454
27.654	1.715	0.33	1.804	-0.807	
27.761					3.666
27.774	2.135	-0.065	2.509	-0.554	
27.881	2.449	-0.062	2.597	-0.668	
28.055	2.352	-0.377	2.555	-0.914	
28.135	2.391	-0.157	2.466	-1.032	
28.226	2.444	-0.065	2.399	-0.684	
28.286	2.456	-0.051	2.538	-0.736	
28.336	2.538	-0.264			
28.415	2.239	-0.14	2.349	-0.725	
28.465	2.632	-0.344	2.453	-0.935	
28.545	2.396	-0.318	2.275	-0.944	
28.595	2.505	-0.265	2.57	-0.963	
28.675	2.491	-0.165	2.753	-0.851	
28.734	2.489	-0.246	2.614	-0.716	
28.794	2.406	0.027	2.503	-0.716	
28.844	2.391	-0.391	2.355	-1.037	
28.864	2.459	-0.052	2.776	-0.763	
28.914					3.651
28.924	2.283	0.09	2.348	-0.896	
28.983					3.93
28.993	2.245	0.075	2.456	-0.668	
29.023	2.349	0.162	2.436	-0.696	3.516
29.103					3.955
29.113	2.401	-0.04	2.366	-0.75	
29.163					3.284
29.173	1.532	0.018	1.742	-1.005	
29.232	1.834	0.345	1.519	-0.95	3.64
29.306	1.789	0.39	1.984	-0.83	3.546
29.379	1.877	0.536	2.027	-0.601	3.69
29.483	2.387	0.016	2.628	-0.793	3.5
29.566	2.574	-0.012	2.582	-0.697	3.692
29.629	2.405	-0.158	2.763	-0.672	3.52
29.702			2.459	-0.77	3.478
29.775	2.379	-0.075	2.584	-0.798	3.608
29.837	2.556	0.016	2.735	-0.703	3.655
