/* DESCRIPTION:
Reference:	Yang, S., & Ding, Z. (2014). A 249 kyr stack of eight loess grain size records from northern China documenting millennial‐scale climate variability. Geochemistry, Geophysics, Geosystems, 15(3), 798-814, https://doi.org/10.1002/2013GC005113
Data from:	https://doi.org/10.1002/2013GC005113. Accessed 22 Nov 2022.
Comment:	Data was not modified in any way.
*/
Age [ka]	Grain Size
210	0.65846
210.2	0.67129
210.4	0.67527
210.6	0.67631
210.8	0.67859
211	0.68098
211.2	0.68708
211.4	0.69028
211.6	0.69107
211.8	0.69752
212	0.71618
212.2	0.73719
212.4	0.75942
212.6	0.77838
212.8	0.79932
213	0.8248
213.2	0.85027
213.4	0.86714
213.6	0.87637
213.8	0.8856
214	0.89319
214.2	0.89634
214.4	0.89848
214.6	0.90062
214.8	0.90427
215	0.91193
215.2	0.92043
215.4	0.92897
215.6	0.94142
215.8	0.95484
216	0.96826
216.2	0.98168
216.4	0.85306
216.6	0.78268
216.8	0.68548
217	0.63533
217.2	0.62221
217.4	0.64009
217.6	0.65631
217.8	0.67552
218	0.6753
218.2	0.6768
218.4	0.6944
218.6	0.68885
218.8	0.68825
219	0.67403
219.2	0.68544
219.4	0.6812
219.6	0.66785
219.8	0.68585
220	0.67944
220.2	0.68642
220.4	0.70436
220.6	0.71917
220.8	0.76369
221	0.68724
221.2	0.6476
221.4	0.59069
221.6	0.55372
221.8	0.53014
222	0.50252
222.2	0.4393
222.4	0.40781
222.6	0.39815
222.8	0.34195
223	0.29328
223.2	0.25271
223.4	0.19156
223.6	0.1155
223.8	0.01621
224	-0.02011
224.2	-0.02353
224.4	-0.09199
224.6	-0.13606
224.8	-0.17296
225	-0.18387
225.2	-0.22822
225.4	-0.27456
225.6	-0.25726
225.8	-0.29757
226	-0.32955
226.2	-0.36756
226.4	-0.39902
226.6	-0.49225
226.8	-0.7079
227	-0.66211
227.2	-0.72274
227.4	-0.71572
227.6	-0.67895
227.8	-0.66996
228	-0.65899
228.2	-0.60404
228.4	-0.60201
228.6	-0.62056
228.8	-0.64504
229	-0.63207
229.2	-0.62329
229.4	-0.66586
229.6	-0.68748
229.8	-0.68928
230	-0.62453
230.2	-0.59708
230.4	-0.59462
230.6	-0.57296
230.8	-0.53563
231	-0.55885
231.2	-0.57201
231.4	-0.49404
231.6	-0.48585
231.8	-0.45465
232	-0.42254
232.2	-0.46436
232.4	-0.46604
232.6	-0.47272
232.8	-0.47763
