/* DESCRIPTION:
Reference:	Hodell, DA et al. (2008): Onset of 'Hudson Strait' Heinrich Events in the eastern North Atlantic at the end of the middle Pleistocene transition (~640 ka)? Paleoceanography, 23(4), PA4218, https://doi.org/10.1029/2008PA001591
Data from:	https://doi.org/10.1594/PANGAEA.831737. Accessed 11 Nov 2022.
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	Ca/Sr	Si/Sr
4.26	58.64	66.921	2.4726
4.27	58.78	60.739	5.2255
4.28	58.92	64.808	2.696
4.29	59.06	68.195	3.6928
4.3	59.2	49.826	9.5226
4.31	59.34	52.449	10.162
4.33	59.62	57.341	7.0026
4.34	59.76	58.216	7.6589
4.35	59.9	46.595	14.019
4.36	60.04	40.532	15.059
4.37	60.18	40.77	11.475
4.38	60.32	38.302	11.929
4.39	60.46	45.133	12.025
4.4	60.6	49.482	13.077
4.41	60.74	53.357	5.9464
4.42	60.88	79.84	5.8107
4.43	61.02	55.056	12.918
4.44	61.16	43.758	13.438
4.45	61.3	58.23	13.88
4.46	61.44	62.571	10.311
4.47	61.58	72.125	11.504
4.48	61.72	64.232	10.018
4.49	61.86	60.185	9.1593
4.5	62	57.677	9.0194
4.51	62.135	71.137	10.192
4.52	62.27	73.086	8.6997
4.53	62.405	74.751	7.3522
4.54	62.541	69.342	8.9763
4.55	62.676	67.15	13.517
4.56	62.811	42.169	7.9892
4.57	62.946	58.558	4.7013
4.58	63.081	84.815	8.8426
4.59	63.216	50.174	10.979
4.6	63.351	59.797	19.266
4.61	63.486	41.298	15.389
4.62	63.622	56.439	16.749
4.63	63.757	44.187	16.722
4.64	63.892	40.117	12.421
4.65	64.027	36.967	11.576
4.66	64.162	46.119	17.318
4.67	64.297	55.039	15.044
4.68	64.432	57.521	10.466
4.69	64.568	56.791	7.8156
4.7	64.703	57.964	6.7485
4.71	64.838	86.78	6.7411
4.72	64.973	62.088	4.0793
4.73	65.108	58.93	3.863
4.74	65.243	76.823	4.5789
4.75	65.378	65.527	3.5937
4.76	65.514	64.804	3.3121
4.77	65.649	73.793	2.5327
4.78	65.784	52.445	1.9545
4.79	65.919	72.22	1.8849
4.8	66.054	63.543	2.1927
4.81	66.189	67.655	1.9036
4.82	66.324	69.496	2.0891
4.83	66.459	70.191	2.5394
4.84	66.595	72.875	2.3212
4.85	66.73	72.29	1.9493
4.86	66.865	66.891	2.3485
4.87	67	74.726	2.6903
4.88	67.135	78.892	2.6434
4.89	67.27	74.347	2.8518
4.9	67.405	73.569	2.6966
4.91	67.541	69.649	2.693
4.92	67.676	65.142	2.5669
4.93	67.811	61.742	2.6485
4.94	67.946	74.518	2.5229
4.95	68.081	69.722	2.0996
4.96	68.216	73.639	1.9894
4.97	68.351	73.71	2.304
4.98	68.486	63.858	1.8997
4.99	68.622	72.659	2.6424
5	68.757	80.884	1.2653
5.01	68.892	63.47	1.5899
5.02	69.027	70.327	1.6863
5.03	69.162	65.522	0.70945
5.04	69.297	63.214	0.95356
5.05	69.432	67.695	0.80844
5.06	69.568	72.201	0.72159
5.07	69.703	75.298	0.77703
5.08	69.838	68.753	0.77385
5.09	69.973	74.243	0.84932
5.1	70.108	71.957	0.92708
5.11	70.243	71.363	0.96099
5.12	70.378	67.957	1.1352
5.13	70.514	69.367	1.0474
5.14	70.649	70.968	1.2252
5.15	70.784	73.822	1.2504
5.16	70.919	75.326	1.3513
5.17	71.054	72.806	2.0138
5.18	71.189	76.611	2.3608
5.19	71.324	72.303	2.1433
5.2	71.459	69.808	2.2192
5.21	71.595	73.049	2.5776
5.22	71.73	77.431	1.754
5.23	71.865	70.894	1.3482
5.24	72	69.544	1.3083
5.25	72.214	77.046	1.7434
5.26	72.429	76.049	0.71629
5.27	72.643	78.34	0.68514
5.28	72.857	70.356	0.4258
5.29	73.071	65.148	0.37047
5.3	73.286	67.872	0.50826
5.31	73.5	72.943	0.5176
5.32	73.714	66.725	0.4699
5.33	73.929	76.332	0.76087
5.34	74.143	72.031	0.46199
5.35	74.357	64.72	0.39365
5.36	74.571	69.098	0.5174
5.37	74.786	71.765	0.4499
5.38	75	68.22	0.33023
5.39	75.214	73.842	0.46586
5.4	75.429	72.309	0.49008
5.41	75.643	70.958	0.3471
5.42	75.857	70.764	0.27443
5.43	76.071	69.108	0.38641
5.44	76.286	66.233	0.48634
5.45	76.5	72.152	0.36195
5.46	76.714	68.543	0.40019
5.47	76.929	70.808	0.42019
5.48	77.143	75.033	0.48016
5.49	77.357	72.978	0.35458
5.5	77.571	70.32	0.40758
5.51	77.786	76.252	0.47694
5.52	78	68.526	0.34119
5.53	78.214	72.309	0.87702
5.54	78.429	72.193	0.43127
5.55	78.643	71.463	0.42928
5.56	78.857	70.041	0.44521
5.57	79.071	68.526	0.50483
5.58	79.286	81.318	0.47417
5.59	79.5	71.624	0.58866
5.6	79.714	73.989	0.63147
5.61	79.929	76.7	0.66265
5.62	80.143	73.701	0.69381
5.63	80.357	74.526	0.77292
5.64	80.571	75.592	0.84906
5.65	80.786	74.158	0.95074
5.66	81	76.049	0.86898
5.67	81.214	73.335	0.85908
5.68	81.429	74.857	0.92571
5.69	81.643	72.509	0.80107
5.7	81.857	71.073	0.76413
5.71	82.071	77.814	1.1635
5.72	82.286	76	1.0189
5.73	82.5	83.172	1.1406
5.74	82.714	75.469	0.96835
5.75	82.929	78.966	1.3355
5.76	83.143	86.861	1.3737
5.77	83.357	84.999	1.3818
5.78	83.571	87.967	1.7281
5.79	83.786	76.7	1.1261
5.8	84	79.644	1.5262
5.81	84.214	80.912	2.1785
5.83	84.643	83.842	2.1332
5.84	84.857	92.827	2.3551
5.85	85.071	88.877	2.4471
5.86	85.286	96.531	4.0227
5.87	85.5	85.028	2.9895
5.88	85.714	81.704	2.2236
5.89	85.929	94.192	4.6161
5.9	86.143	81.056	1.849
5.91	86.357	81.113	1.972
5.92	86.571	82.559	1.8179
5.93	86.786	75.838	0.7486
5.94	87	78.517	0.7092
5.95	87.214	70.56	1.1222
5.96	87.429	77.362	0.6518
5.97	87.643	79.502	0.74456
5.98	87.857	79.171	0.58475
5.99	88.071	80.902	0.71219
6	88.286	76.054	0.49645
6.01	88.5	76.993	0.51417
6.02	88.714	70.765	0.55794
6.03	88.929	73.382	0.70704
6.04	89.143	73.544	0.70021
6.05	89.357	74.574	0.67513
6.06	89.571	72.659	0.64641
6.07	89.786	65.129	0.58333
6.08	90	74.279	0.6328
6.09	90.214	76.369	0.5132
6.1	90.429	72.85	0.68929
6.11	90.643	72.255	0.5341
6.12	90.857	74.792	0.57082
6.13	91.071	70.106	0.63487
6.14	91.286	77.254	0.71977
6.15	91.5	66.238	0.53141
6.16	91.714	74.357	0.6987
6.17	91.929	75.564	0.91176
6.18	92.143	75.6	0.65914
6.19	92.357	79.867	0.57901
6.2	92.571	72.185	0.54283
6.21	92.786	77.676	0.69463
6.22	93	68.454	0.66667
6.23	93.131	69.252	0.72573
6.24	93.262	70.424	0.55011
6.25	93.393	75.321	0.65704
6.26	93.524	74.263	0.76392
6.27	93.655	68.318	0.63306
6.28	93.786	69.723	0.62118
6.29	93.917	69.969	0.64398
6.3	94.048	65.896	0.55724
6.31	94.179	70.796	0.55927
6.32	94.31	66.461	0.54848
6.33	94.44	67.141	0.47826
6.34	94.571	69.183	0.59039
6.35	94.702	70.615	0.75478
6.36	94.833	66.867	0.64105
6.37	94.964	75.836	0.66038
6.38	95.095	72.697	0.70802
6.39	95.226	71.164	0.55475
6.4	95.357	68.978	0.57508
6.41	95.488	70.907	0.69278
6.42	95.619	71.136	0.62779
6.43	95.75	70.6	0.49736
6.44	95.881	74.876	0.66667
6.45	96.012	73.994	0.64834
6.46	96.143	73.414	0.5861
6.47	96.274	73.277	0.52401
6.48	96.405	76.704	0.49055
6.49	96.536	79.154	0.60831
6.5	96.667	72.455	0.48938
6.51	96.798	74.999	0.62211
6.52	96.929	69.938	0.58215
6.53	97.06	70.973	0.65268
6.54	97.19	72.186	0.56494
6.55	97.321	74.106	0.58226
6.56	97.452	69.162	0.56574
6.57	97.583	69.731	0.5481
6.58	97.714	69.567	0.54645
6.59	97.845	72.482	0.55031
6.6	97.976	70.534	0.44049
6.61	98.107	68.538	0.60591
6.62	98.238	71.439	0.40687
6.63	98.369	70.56	0.4561
6.64	98.5	72.057	0.42011
6.65	98.631	68.907	0.39643
6.66	98.762	73.755	0.42239
6.67	98.893	69.532	0.48094
6.68	99.024	71.334	0.45491
6.69	99.155	73.809	0.47659
6.7	99.286	67.645	0.4222
6.71	99.417	73.499	0.35246
6.72	99.548	70.504	0.51866
6.73	99.679	72.814	0.51867
6.74	99.81	75.935	0.5764
6.75	99.94	72.162	0.5
6.76	100.07	68.772	0.5108
6.77	100.2	68.554	0.46257
6.78	100.33	69.058	0.52385
6.79	100.46	76.913	0.56
6.8	100.6	68.462	0.46472
6.81	100.73	71.405	0.62292
6.82	100.86	71.899	0.52716
6.83	100.99	72.65	0.53656
6.84	101.12	70.189	0.50049
6.85	101.25	70.763	0.49289
6.86	101.38	67.57	0.47155
6.87	101.51	72.825	0.5519
6.88	101.64	73.148	0.50363
6.89	101.77	73.488	0.59979
6.9	101.9	73.423	0.57442
6.91	102.04	68.105	0.64787
6.92	102.17	77.771	0.7817
6.93	102.3	69.122	0.76806
6.94	102.43	70.701	0.5099
6.95	102.56	67.694	0.64107
6.96	102.69	67.304	0.62426
6.97	102.82	74.497	0.84328
6.98	102.95	71.613	0.84029
6.99	103.08	72.378	0.90977
7	103.21	72.27	1.0032
7.01	103.35	77.871	1.0736
7.02	103.48	72.391	0.81837
7.03	103.61	75.013	0.68313
7.04	103.74	72.688	0.80991
7.05	103.87	73.72	1.0849
7.06	104	73.791	0.66297
7.07	104.14	76.24	0.84852
7.08	104.27	73.583	0.83007
7.09	104.41	73.581	0.84639
7.1	104.54	71.106	0.72008
7.11	104.68	72.278	0.69311
7.12	104.82	69.822	0.8072
7.13	104.95	75.506	0.77524
7.14	105.09	72.308	0.88209
7.15	105.22	78.032	1.1043
7.16	105.36	76.392	1.1678
7.17	105.5	75.834	1.0358
7.18	105.63	79.184	1.276
7.19	105.77	44.465	0.86889
7.2	105.91	72.976	1.595
7.21	106.04	86.147	1.8649
7.22	106.18	78.876	1.9719
7.23	106.31	81.078	1.7957
7.24	106.45	75.382	1.8487
7.25	106.59	69.353	1.3581
7.26	106.72	76.276	1.2848
7.27	106.86	75.155	1.1096
7.28	106.99	80.211	1.5271
7.29	107.13	79.456	2.6156
7.3	107.27	84.93	2.8941
7.31	107.4	84.101	3.1218
7.32	107.54	84.71	1.2703
7.33	107.67	83.71	2.1324
7.34	107.81	71.912	1.6011
7.35	107.95	74.759	1.4659
7.36	108.08	86.338	0.89791
7.37	108.22	71.351	0.55444
7.38	108.36	75.065	0.57202
7.39	108.49	71.711	0.6479
7.4	108.63	76.924	0.57173
7.41	108.76	70.052	0.57088
7.42	108.9	69.46	0.49067
7.43	109.04	73.325	0.51567
7.44	109.17	76.346	0.46209
7.45	109.31	74.618	0.53307
7.46	109.44	67.353	0.4295
7.47	109.58	70.411	0.42941
7.48	109.72	78.616	0.8125
7.49	109.85	67.684	0.49669
7.5	109.99	68.149	0.36555
7.51	110.12	69.724	0.38521
7.52	110.26	73.576	0.52192
7.53	110.4	69.87	0.39962
7.54	110.53	73.8	0.6947
7.55	110.67	73.178	0.47551
7.56	110.8	74.236	0.62394
7.57	110.94	74.881	0.65254
7.58	111.08	68.537	0.56754
7.59	111.21	72.583	0.64041
7.6	111.35	71.769	0.42512
7.61	111.49	68.068	0.50564
7.62	111.62	73.212	0.62664
7.63	111.76	73.114	0.57534
7.64	111.89	71.429	0.61342
7.65	112.03	68.995	0.62157
7.66	112.17	70.061	0.63627
7.67	112.3	78.873	0.52217
7.68	112.44	71.456	0.72414
7.69	112.57	67.647	0.70233
7.7	112.71	69.819	0.62786
7.71	112.85	72.698	0.69668
7.72	112.98	72.223	0.6015
7.73	113.12	70.784	0.70304
7.74	113.25	69.473	0.596
7.75	113.39	76.37	0.60559
7.76	113.53	68.286	0.53015
7.77	113.66	69.443	0.51713
7.78	113.8	69.683	0.53142
7.79	113.93	68.795	0.41581
7.8	114.07	70.338	0.41219
7.81	114.21	66.663	0.4002
7.82	114.34	67.517	0.43006
7.83	114.48	74.206	0.46358
7.84	114.62	67.828	0.33568
7.85	114.75	63.074	0.2729
7.86	114.89	70.444	0.54158
7.87	115.02	66.278	0.48298
7.88	115.16	70.166	0.46857
7.89	115.3	70.958	0.49609
7.9	115.43	68.904	0.41182
7.91	115.57	68.265	0.45576
7.92	115.7	69.93	0.45077
7.93	115.84	66.096	0.43568
7.94	115.98	65.808	0.5205
