/* DESCRIPTION:
Reference:	Pichevin, L et al. (2007): Evidence of ventilation changes in the Arabian Sea during the late Quaternary: Implication for denitrification and nitrous oxide emission. Global Biogeochemical Cycles, 21, GB4008, https://doi.org/10.1029/2006GB002852
Data from:	https://doi.org/10.1594/PANGAEA.727154
Comment:	Data was not modified in any way.
*/
Depth [m]	Age [ka BP]	Total N [%]	δ15N [‰ air]	TOC [%]
23.105	45.157	0.11	4.5	0.62
23.205	45.38	0.1	4.43	0.51
23.305	45.604	0.1	4.6	0.59
23.405	45.828	0.1	4.61	0.5
23.505	46.051	0.11	5.42	0.65
23.605	46.274	0.12	4.85	0.73
23.705	46.498	0.14	5.38	1.05
23.805	46.721	0.16	6.64	1.13
23.905	46.943	0.16	6.13	1.24
24.015	47.187	0.191	6.75	1.67
24.105	47.386	0.202	7.04	1.77
24.205	47.607	0.162	7.02	1.14
24.305	47.827	0.174	7.37	1.28
24.405	48.047	0.213	7.96	1.85
24.505	48.265	0.201	7.61	1.71
24.605	48.482	0.17	7.21	1.21
24.705	48.698	0.109	4.98	0.69
24.805	48.913	0.099	4.68	0.6
24.905	49.127	0.1	4.47	0.61
25.005	49.339	0.092	3.84	0.55
25.105	49.549	0.094	3.81	0.57
