/* DESCRIPTION:
Reference:	Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
Data from:	https://doi.org/10.1594/PANGAEA.737142. Accessed 11 Nov 2022.
Comment:	Summer SST is SST for months 7-9.
	Several variables from the original dataset are not included here.
*/
Depth [m]	Age [ka BP]	PO4 [%] (Modern analog technique (MAT)...)	summer SST [°C] (Modern analog technique (MAT)...)
14.42	104.507	12.6	18.7
14.45	104.967	12.9	18.5
14.48	105.427	12	17.7
14.51	105.886	10.8	16.9
14.54	106.346	10	16.4
14.57	106.806	13.5	18.6
14.6	107.265	12.4	18.8
14.63	107.725	8.8	17.1
14.66	108.352	8.5	15.5
14.69	108.979	8.8	15.6
14.72	109.606	9	15.7
14.75	110.233	10.3	18.2
14.78	110.86	8.8	15.6
14.81	111.487	8.8	15.6
14.84	112.113	10.4	16.6
14.87	112.74	9.9	14.9
14.9	113.367	11.2	17.8
14.93	113.994	11.2	17
14.96	114.621	12.6	17.9
14.99	115.248	11.8	16.6
15.02	116.237	14.4	19.6
15.05	117.226	12.8	18
15.08	118.215	13.2	18.7
15.11	119.204	11.4	17.9
15.14	120.193	12.3	18.1
15.17	121.182	13.5	18.3
15.2	122.171	13.5	18.3
15.23	123.16	13	18.7
15.26	124.148	14.2	18.9
15.29	125.137	12.1	17.9
15.32	126.126	12.3	17.7
15.35	127.115	12.5	17.8
15.38	128.104	13.7	18.7
15.41	129.093	9.7	17.7
15.44	130.082	4.2	8.1
15.47	131.071	4	8
15.5	131.613	5.2	13.1
15.53	132.156	6.9	14.4
15.56	132.698	6.4	9.9
15.59	133.24	5.8	9.5
15.62	133.782	7.6	16.7
15.65	134.325	6.9	15.9
15.68	134.867	5.9	9.3
15.71	135.35	8.8	15.1
15.74	135.833	9.8	14.7
15.77	136.315	10.5	15.4
15.8	136.798	10.3	15.1
15.83	137.217	10.4	15.4
15.86	137.636	10.7	16.2
15.89	138.055	10.6	15.4
15.92	138.474	10.5	15.5
15.95	138.893	10.2	15
15.98	139.312	10.1	15
16.01	139.731	9.8	14.7
16.04	140.15	9.5	14.5
16.07	140.569	9.6	13.7
16.1	140.988	10.5	15.4
16.13	141.253	10.3	15.2
16.16	141.518	11	16
16.19	141.783	10.5	15.3
16.22	142.048	9.9	14.6
16.25	142.313	10.4	15.6
16.28	142.579	11.4	16.7
16.31	142.844	10.7	15.8
16.34	143.109	9.7	14.4
16.37	143.374	10.2	15.1
16.4	143.639	8.8	13
16.43	143.904	9.9	14.8
16.46	144.176	9.7	14.9
16.49	144.447	9.2	13.8
16.52	144.719	8.3	11.9
16.55	144.991	8.9	15.6
16.58	145.262	8.4	12.2
16.61	145.534	10.3	14.9
16.64	145.806	9	13.6
16.67	146.078	9.7	14.4
16.7	146.349	10.2	14.9
16.73	146.621	9.3	14.5
16.76	146.893	10.6	16.3
16.79	147.164	6.9	10.6
16.82	147.436	10.1	14.9
16.85	147.708	7.6	13.6
16.88	147.979	6.9	10.6
16.91	148.251	9.9	17.4
16.94	148.523	12.5	18
16.97	148.794	10.5	15.3
17	149.066	10.3	16.2
17.03	149.338	11.1	16.5
17.06	149.609	8.4	17
17.09	149.881	9.9	16.2
17.12	150.153	7.5	16.6
17.15	150.425	6	9.3
17.18	150.696	13.7	19.1
17.21	150.968	6.4	10.5
17.24	151.24	6.7	10.8
17.27	151.511	10.6	15.6
17.3	151.783	10.6	15.8
17.33	152.318	10.1	15.4
17.36	152.853	10.3	15.5
17.39	153.388	8.6	16.5
17.42	153.923	10	14.7
17.45	154.458	10.3	15.7
17.48	154.993	7.3	14
17.51	155.529	11.1	17.9
17.54	156.064	11	17.2
17.57	156.599	9.4	14.5
17.6	157.134	7.3	11
17.63	157.669	6.2	9.8
17.66	158.204	5.2	9.6
17.69	158.739	8.2	14.3
17.72	158.9	5.1	9.1
17.75	159.061	5	9.2
17.78	159.221	5.6	9.9
17.81	159.382	5.1	9.5
17.84	159.543	6	10.2
17.87	159.704	8	14.8
17.9	159.864	9.5	15.3
17.93	160.025	8.3	13.6
17.96	160.186	6.5	10
17.99	160.347	6.8	10.4
18.02	160.508	4.6	8.8
18.05	160.668	4.2	8.5
18.08	160.829	5.2	9.6
18.11	160.99	3.9	8.5
18.14	161.151	4.4	8.8
18.17	161.311	6.5	10.4
18.2	161.472	6.1	10.4
18.23	161.633	6.3	10.4
18.26	161.854	6	10.3
18.29	162.076	10	17.5
18.32	162.297	11.5	18
18.35	162.518	7.2	13.9
18.38	162.74	6.4	10.8
18.41	162.961	5.3	9.7
18.44	163.182	4.1	8.6
18.47	163.404	11.6	17.6
18.5	163.625	9.7	14.9
18.53	163.846	6.8	10.6
18.56	164.068	7	10.6
18.59	164.289	4.7	9.2
18.62	164.51	7.2	10.9
18.65	164.732	10.7	15.5
18.68	164.953	10.6	15.4
18.71	165.174	8.4	12.8
18.74	165.396	8.1	12.2
18.77	165.617	6.9	10.6
18.8	165.838	5.9	9.7
18.83	166.06	9.6	16.7
18.86	166.281	8	13.3
18.89	166.502	11.5	18
18.92	166.724	5.3	9.7
18.95	166.945	13.4	18.4
18.98	167.166	13	18
19.01	167.388	12.4	17.9
19.04	167.609	11.2	17
19.07	167.83	8.9	15.6
19.13	168.273	6.2	10
19.16	168.652	6.2	9.9
19.19	169.031	6.6	10.4
19.22	169.41	6.8	11.3
19.25	169.788	6.5	10.8
19.28	170.167	6.2	10.4
19.31	170.546	10.9	17.4
19.34	170.925	9.7	15
19.37	171.304	10.5	15.8
19.4	171.683	9.8	15.5
19.43	172.062	9.5	14.7
19.46	172.441	10	16
19.48	172.542	6.8	11.1
19.52	172.746	6.3	9.9
19.55	172.899	7.5	14.1
19.58	173.052	6.7	11.2
19.61	173.205	10.3	15.5
19.64	173.358	9.7	14.6
19.67	173.511	10.2	15.3
19.7	173.664	10	15.3
19.73	173.817	10.4	15.2
19.76	173.97	11	15.9
19.79	174.122	10.8	15.9
19.82	174.275	11.9	17.9
19.85	174.428	9.7	14.9
19.88	174.581	10.1	15.5
19.91	174.734	11	16.6
19.94	174.887	10.9	16
19.97	175.04	9.4	14.6
20	175.193	10.6	15.8
20.03	175.346	8.2	15.6
20.06	175.499	10.6	15.4
20.09	175.651	10.6	15.7
20.12	175.804	12.2	17.7
20.15	175.957	10.1	15.5
20.18	176.11	10.7	15.8
20.21	176.263	11.6	17.6
20.24	176.732	11.2	16.6
20.27	177.2	12.8	19
20.3	177.669	5.7	9.8
20.33	178.138	5.6	13.4
20.36	178.607	8.6	15
20.39	179.075	6.5	10.2
20.42	179.544	9.1	15.3
20.45	180.013	9.8	16
20.48	180.481	10.6	16.3
20.51	180.95	8.4	12.8
