# DESCRIPTION:
# Reference: Martrat, B et al. (2007): Four climate cycles of recurring deep and surface water destabilizations on the Iberian Margin. Science, 317(5837), 502-507, https://doi.org/10.1126/science.1139994.
# Data from: https://doi.org/10.1594/PANGAEA.771890.
# Comment: Alkenone, C37:4 from the original dataset is not included here.

Depth [m],Age [ka BP],SST (1-12) [°C]
35.5258,217.92,20.1
35.5738,218.1,19.68
35.6218,218.29,19.44
35.6699,218.48,18.35
35.7179,218.67,16.53
35.7659,218.86,14.76
35.8236,219.08,14.95
35.862,219.24,15.73
35.91,219.42,17.13
35.958,219.61,16.47
36.0061,219.8,16.83
36.0541,219.99,15.62
36.1021,220.18,15.17
36.1502,220.37,15.1
36.1982,220.56,14.9
36.2462,220.74,15.01
36.3134,221.01,15.35
36.3423,221.12,14.94
36.3903,221.31,14.18
36.4383,221.5,14.52
36.4863,221.69,14.23
36.5344,221.87,13.77
36.5824,222.06,14.77
36.6304,222.25,13.76
36.6785,222.44,13.91
36.7265,222.63,12.59
36.8418,223.08,11.86
36.8706,223.19,11.35
36.9186,223.38,12.59
36.9666,223.57,14.37
37.0147,223.76,15.57
37.0627,223.95,14.97
37.1107,224.14,15.6
37.1587,224.32,15.57
37.2068,224.51,18.02
37.2548,224.7,15.6
37.3028,224.89,12.16
37.3989,226.28,14.15
37.4469,226.98,16.33
37.4949,227.67,17.85
37.543,228.37,16.97
37.591,229.06,15.1
37.639,229.76,15.34
37.6871,230.45,17.56
37.7351,231.15,17.71
37.7831,231.84,18.32
37.8311,232.54,18.39
37.8792,233.24,18.29
37.9272,233.93,18.31
37.9752,234.63,18.4
38.0233,235.32,18.88
38.0713,236.02,19.06
38.1193,236.71,19.39
38.1673,237.41,19.69
38.2154,238.1,19.99
38.273,238.94,20.21
38.3114,239.49,20.56
38.3595,240.19,21.4
38.4075,240.34,21.2
38.4555,240.49,21.37
38.5035,240.65,20.87
38.5804,240.89,20.69
38.6188,241.01,20.36
38.6476,241.1,21.51
38.6957,241.26,21.43
38.7437,241.41,21.3
38.7917,241.56,21.27
38.8397,241.71,20.68
38.8878,241.87,18.31
38.9358,242.02,20.47
38.9838,242.17,19.28
39.0319,242.32,19.06
39.0895,242.51,15.04
39.1279,242.63,14.7
39.1759,242.78,14.51
39.224,242.93,14.22
39.272,243.08,13.75
39.32,243.24,13.19
39.368,243.39,13.18
39.4161,243.54,12.63
39.4641,243.69,12.48
39.5121,243.85,12.26
39.5602,244,12.11
39.6178,244.18,11.96
39.6562,244.3,11.81
