# DESCRIPTION:
# Reference: Wagner, Bernd; Vogel, Hendrik; Francke, Alexander; Friedrich, Tobias; Donders, Timme H; Lacey, Jack H; Leng, Melanie J; Regattieri, Eleonora; Sadori, Laura; Wilke, Thomas; Zanchetta, Giovanni; Albrecht, Christian; Bertini, Adele; Combourieu-Nebout, Nathalie; Cvetkoska, Aleksandra; Giaccio, Biagio; Grazhdani, Andon; Hauffe, Torsten; Holtvoeth, Jens; Joannin, Sébastien; Jovanovska, Elena; Just, Janna; Kouli, Katerina; Kousis, Ilias; Koutsodendris, Andreas; Krastel, Sebastian; Lagos, Markus; Leicher, Niklas; Levkov, Zlatko; Lindhorst, Katja; Masi, Alessia; Melles, Martin; Mercuri, Anna Maria; Nomade, Sébastien; Nowaczyk, Norbert R; Panagiotopoulos, Konstantinos; Peyron, Odile; Reed, Jane M; Sagnotti, Leonardo; Sinopoli, Gaia; Stelbrink, Björn; Sulpizio, Roberto; Timmermann, Axel; Tofilovska, Slavica; Torri, Paola; Wagner-Cremer, Friederike; Wonik, Thomas; Zhang, Xiaosen (2019): Mediterranean winter rainfall in phase with African monsoons during the past 1.36 million years. Nature, https://doi.org/10.1038/s41586-019-1529-0
# Data from: https://doi.org/10.1594/PANGAEA.896847. Accessed 28 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],TIC [%],TOC [%],Qz peak area,δ13C cal [‰ PDB],δ18O cal [‰ PDB],Quercus deci [%],AP-Pinus [%]
46.99,122.29075,4.51,2.57,0.13891,-0.15,-4,,
47.15,122.93015,5.89,2.32,0.12077,-0.43,-4.12,38.4342,82.8351
47.31,123.58165,5.81,2.06,0.12896,-0.68,-4.97,,
47.47,124.2302,6.98,2.31,0.1227,-0.97,-5.41,,
47.62,124.8438,6.55,1.99,0.12613,-0.74,-5.46,,
47.79,125.5389,7.88,1.55,0.08832,-0.4,-5.12,55.5008,92.775
47.95,126.19555,7.89,1.63,0.08333,-0.28,-4.94,,
48.11,126.85895,8.31,1.82,0.0752,0.09,-5.14,,
48.27,127.49935,3.32,3.18,0.13407,0.56,-5.14,,
48.43,128.06325,0.03,3.05,0.20455,,,49.3903,63.5569
48.58,128.5892,2.5,1.48,0.24155,2.03,-3.38,,
48.75,129.18805,2.67,1.4,0.26335,2.26,-3.78,,
48.91,129.7491,2.22,1.21,0.25895,2.01,-3.66,,
49.07,130.31445,1.85,1.24,0.26818,1.6,-3.55,25.0923,30.6273
49.23,130.87765,1.4,1.25,0.27534,1.51,-2.79,,
49.39,131.44265,1.29,1.11,0.29781,1.61,-2.26,,
49.55,132.00725,0.84,1.12,0.27404,,,,
49.71,132.48695,0.49,1.15,0.29359,,,20.1389,31.25
49.87,132.97415,0.19,1.32,0.30421,,,,
50.03,133.4648,0.16,1.26,0.3048,,,,
50.19,133.9441,0.24,1.2,0.29861,,,,
50.35,134.42155,0.14,1.25,0.33748,,,18.4109,26.1628
50.5,134.8703,0.22,1.04,0.27991,,,,
50.67,135.37915,0.69,0.97,0.30934,,,,
50.83,135.84825,0.22,1.11,0.29732,,,,
50.99,136.29045,0.5,0.91,0.30289,,,15.5173,29
51.15,136.7294,0.67,0.96,0.30875,,,,
51.32,137.20285,0.18,1.06,0.31568,,,,
51.47,137.6156,0.5,0.83,0.34324,,,,
51.63,138.05365,0.23,0.98,0.36924,,,5.7971,17.734
51.79,138.48785,0.34,1.04,,,,,
51.95,138.91755,0.54,1,0.30198,,,,
52.11,139.34885,0.12,1.05,,,,,
52.27,139.8283,0.09,0.96,0.35807,,,19.8198,40.5405
52.43,140.18325,0.54,0.74,,,,,
52.59,140.6,0.3,0.95,0.30556,,,,
52.75,141.0299,0.1,0.98,,,,,
52.91,141.4523,0.21,0.91,0.33238,,,6.20155,21
53.05,141.81955,0.56,0.71,,,,,
53.23,142.2965,0.09,0.92,0.37262,,,,
53.39,142.70895,0.05,0.92,,,,,
53.57,143.17425,0.06,0.95,0.36548,,,7.95454,22.1154
53.71,143.53125,0.08,0.86,,,,,
53.87,143.947,0.07,0.84,0.36978,,,,
54.03,144.3748,0.56,0.65,,,,,
54.17,144.7371,0.68,0.69,0.36262,,,5.88236,15.6863
54.35,145.2081,0.27,0.71,,,,,
54.51,145.62215,0.12,0.77,0.42942,,,,
54.67,146.0422,0.1,0.76,,,,,
54.83,146.4431,0.05,0.86,0.34288,,,4.1958,20.9302
54.99,146.84635,0.11,0.83,,,,,
55.15,147.2443,0.15,0.83,0.33925,,,,
55.3,147.6271,0.07,0.82,,,,,
55.47,148.05,0.06,0.84,0.34002,,,4.95868,19.5122
55.63,148.4562,0.15,0.76,,,,,
55.79,148.85995,0.13,0.83,0.34569,,,,
55.93,149.21675,0.07,0.79,,,,,
56.11,149.6383,0.06,0.81,0.33258,,,3.84615,14.7208
56.27,149.96005,0.08,0.81,,,,,
56.43,150.29055,0.05,0.87,0.3436,,,,
56.59,150.62295,0.06,0.89,,,,,
56.75,150.95055,0.09,0.78,0.33121,,,2.24719,17.0854
56.91,151.27805,0.33,0.74,,,,,
57.07,151.6126,0.52,0.61,0.30665,,,,
57.23,151.93595,0.15,0.82,,,,,
57.39,152.27495,0.07,0.82,0.30984,,,10.7382,29.4372
57.55,152.62205,0.32,0.72,,,,,
57.71,152.979,0.2,0.74,0.36698,,,,
57.87,153.3319,0.08,0.86,,,,,
58.03,153.68925,0.27,0.75,0.31439,,,2.1978,13.3721
58.19,154.05215,0.11,0.8,,,,,
58.35,154.4122,0.12,0.79,0.31645,,,,
58.51,154.77425,0.53,0.5,,,,,
58.67,155.1083,0.67,0.57,0.3077,,,3.27868,12.381
58.83,155.31105,0.28,0.8,,,,,
58.99,155.5102,0.14,0.82,0.31671,,,,
59.15,155.70525,0.16,0.87,,,,,
59.31,155.9085,0.53,0.67,0.33112,,,3.75,14.554
59.47,156.1057,0.11,0.86,,,,,
59.63,156.3082,0.1,0.87,0.32653,,,,
59.79,156.507,0.14,0.85,,,,,
59.95,156.70415,0.17,0.75,0.32789,,,1.97044,13.6691
60.11,156.88215,0.68,0.6,,,,,
60.27,157.05425,0.3,0.8,0.29736,,,,
60.43,157.23255,0.12,0.95,,,,,
60.59,157.4118,0.09,0.92,0.32629,,,4.87804,9.47867
60.75,157.5916,0.54,0.71,,,,,
60.91,157.7673,0.3,0.88,0.29268,,,,
61.07,157.94645,0.1,0.79,,,,,
61.23,158.1221,0.21,0.78,0.29593,,,7.0707,18.9815
61.39,158.31055,0.56,0.65,,,,,
61.55,158.50695,0.09,0.81,0.32631,,,,
61.685,158.66765,0.05,0.91,,,,,
61.87,158.88815,0.06,0.86,0.34394,,,1.85185,11.2088
