# DESCRIPTION:
# Reference: Sun, Y., S.C. Clemens, Z. An, and Z. Yu. 2006. Astronomical timescale and palaeoclimatic implication of stacked 3.6-Myr monsoon records from the Chinese Loess Plateau. Quaternary Science Reviews, Vol. 25 pp. 33-48. https://doi.org/10.1016/j.quascirev.2005.07.005.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/5602. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [Ka BP],Stacked Mean Grain Size,Stacked magnetic susceptibility
1088,0.363,0.223
1089,0.387,0.248
1090,0.402,0.219
1091,0.338,0.211
1092,0.348,0.196
1093,0.209,0.173
1094,0.151,0.167
1095,0.224,0.129
1096,0.164,0.107
1097,0.225,0.14
1098,0.171,0.1
1099,0.203,0.091
1100,0.156,0.092
1101,0.134,0.102
1102,0.199,0.104
1103,0.249,0.108
1104,0.252,0.104
1105,0.253,0.096
1106,0.258,0.087
1107,0.31,0.075
1108,0.38,0.072
1109,0.418,0.071
1110,0.349,0.067
1111,0.294,0.063
1112,0.329,0.065
1113,0.337,0.067
1114,0.316,0.069
1115,0.293,0.071
1116,0.25,0.074
1117,0.239,0.076
1118,0.268,0.078
1119,0.297,0.082
1120,0.247,0.086
1121,0.221,0.089
1122,0.246,0.087
1123,0.27,0.085
1124,0.295,0.075
1125,0.275,0.082
1126,0.302,0.089
1127,0.246,0.082
1128,0.135,0.071
1129,0.103,0.059
1130,0.167,0.051
1131,0.181,0.045
1132,0.259,0.043
1133,0.262,0.043
1134,0.246,0.052
1135,0.259,0.072
1136,0.319,0.095
1137,0.36,0.126
1138,0.337,0.171
1139,0.423,0.2
1140,0.532,0.229
1141,0.601,0.251
1142,0.542,0.273
1143,0.539,0.274
1144,0.532,0.279
1145,0.545,0.28
1146,0.535,0.281
1147,0.498,0.277
1148,0.462,0.272
1149,0.452,0.272
1150,0.468,0.281
1151,0.484,0.289
1152,0.483,0.294
1153,0.493,0.306
1154,0.503,0.318
1155,0.536,0.346
1156,0.54,0.375
1157,0.543,0.404
1158,0.533,0.426
1159,0.523,0.444
1160,0.52,0.46
1161,0.545,0.471
1162,0.57,0.484
1163,0.577,0.501
1164,0.58,0.517
1165,0.588,0.531
1166,0.592,0.543
1167,0.585,0.538
1168,0.575,0.529
1169,0.559,0.521
1170,0.495,0.513
1171,0.456,0.504
1172,0.512,0.496
1173,0.536,0.482
1174,0.566,0.496
1175,0.564,0.51
1176,0.58,0.514
1177,0.592,0.52
1178,0.565,0.535
1179,0.549,0.54
1180,0.544,0.538
1181,0.529,0.53
1182,0.504,0.52
1183,0.482,0.509
1184,0.501,0.483
1185,0.525,0.456
1186,0.568,0.459
1187,0.611,0.462
1188,0.556,0.452
1189,0.502,0.44
1190,0.451,0.42
1191,0.427,0.392
1192,0.442,0.356
1193,0.454,0.322
1194,0.455,0.293
1195,0.464,0.295
1196,0.448,0.3
1197,0.45,0.3
1198,0.488,0.316
1199,0.559,0.349
1200,0.564,0.317
1201,0.549,0.264
1202,0.539,0.248
1203,0.534,0.255
1204,0.516,0.261
1205,0.482,0.263
1206,0.44,0.239
1207,0.398,0.221
1208,0.347,0.184
1209,0.33,0.208
1210,0.222,0.145
1211,0.244,0.138
1212,0.32,0.138
1213,0.299,0.14
1214,0.247,0.135
1215,0.323,0.165
1216,0.261,0.218
1217,0.385,0.187
1218,0.318,0.198
1219,0.386,0.234
1220,0.396,0.313
1221,0.383,0.311
1222,0.415,0.323
1223,0.401,0.323
1224,0.369,0.391
1225,0.36,0.442
1226,0.397,0.478
1227,0.394,0.472
1228,0.353,0.443
1229,0.335,0.409
1230,0.338,0.37
1231,0.312,0.353
1232,0.286,0.337
1233,0.275,0.321
1234,0.28,0.309
1235,0.286,0.297
1236,0.291,0.285
1237,0.251,0.276
1238,0.215,0.267
1239,0.19,0.256
1240,0.162,0.249
1241,0.133,0.242
1242,0.104,0.236
1243,0.12,0.231
1244,0.026,0.259
1245,-0.006,0.215
1246,-0.191,0.145
1247,-0.485,0.077
1248,-0.488,0.048
1249,-0.5,0.046
1250,-0.57,0.036
1251,-0.551,0.027
1252,-0.318,0.023
1253,-0.332,0.021
1254,-0.067,0.024
1255,-0.203,0.024
1256,-0.022,0.017
1257,0.131,0.041
1258,0.241,0.048
1259,0.303,0.061
1260,0.378,0.099
1261,0.479,0.094
1262,0.474,0.086
1263,0.405,0.107
1264,0.427,0.164
1265,0.301,0.171
