/* DESCRIPTION:
Reference:	Harada, N., N. Ahagon, T. Sakamoto, M. Uchida, M. Ikehara, and Y. Shibata. 2006. Rapid fluctuation of alkenone temperature in the southwestern Okhotsk Sea during the past 120 ky. Global and Planetary Change, 53, 29-46, https://doi.org/10.1016/j.gloplacha.2006.01.010
Data from:	https://www.ncei.noaa.gov/access/paleo-search/study/9096. Accessed 11 Nov 2022.
Comment:	Alkenone saturation index from the original dataset is not included here.
*/
Depth [m]	Age [kyr BP]	  Uk'37 SST [C]
37.815	80.04	10.7
37.888	80.23	10.8
37.963	80.41	11.1
37.963	80.41	10.8
38.114	80.79	11
38.188	80.97	11.1
38.263	81.16	11.1
38.335	81.34	11.1
38.408	81.52	11.5
38.548	81.87	11.2
38.695	82.24	11.7
38.769	82.42	11.4
38.843	82.61	11.2
38.916	82.79	10.9
38.99	82.97	10.9
39.063	83.16	10.9
39.137	83.34	10.7
39.211	83.53	10.7
39.286	83.71	10.3
39.358	83.89	9.2
39.431	84.07	9.6
39.504	84.25	9.5
39.578	84.44	9.8
39.651	84.62	9.4
39.724	84.8	9.4
39.797	84.99	9.3
39.871	85.17	9
39.946	85.36	8.6
40.054	85.63	10.7
40.123	85.8	9.2
40.277	86.18	9.1
40.429	86.56	10.6
40.579	86.94	10
40.654	87.12	11.4
40.728	87.31	10.3
40.802	87.49	11.3
40.875	87.67	11.2
40.95	87.86	10.8
41.02	88.06	9.6
41.168	88.64	9.7
41.243	88.93	9.4
41.317	89.22	10.2
41.334	89.29	10.4
41.343	89.32	9.4
41.486	89.89	9.6
41.56	90.18	9.3
41.634	90.47	9.6
41.708	90.76	9.8
41.782	91.02	10.7
41.856	91.24	11.2
41.93	91.45	9.9
42.005	91.67	9.4
42.079	91.88	10
42.153	92.09	9.7
42.226	92.31	9.1
42.3	92.52	9
42.374	92.73	9.3
42.447	92.95	9.4
42.522	93.16	9.5
42.597	93.38	9.8
42.666	93.58	9.2
42.685	93.63	9
42.833	94.06	9.4
42.906	94.27	9.8
42.979	94.48	10.1
43.054	94.7	10.6
43.128	94.92	10
43.203	95.13	10.6
43.277	95.35	10.7
43.352	95.56	10.8
43.427	95.78	10.6
43.501	95.99	10.6
43.576	96.21	10.7
43.649	96.42	10.9
43.723	96.64	10.4
43.797	96.83	9.4
43.87	97.04	11.1
43.944	97.24	11.5
44.018	97.45	11.4
44.116	97.73	11.3
44.162	97.86	8.8
44.185	97.92	10.7
44.339	98.35	11.4
44.415	98.57	11.1
44.49	98.78	11
44.565	98.99	12.2
44.638	99.2	10.9
44.713	99.41	13.7
44.787	99.62	11.9
44.862	99.83	11.3
44.936	100.03	10.3
45.011	100.25	11.9
45.086	100.46	14.6
45.16	100.66	11.9
45.234	100.87	11.2
45.383	101.29	11.7
45.457	101.5	12.6
45.532	101.71	11.5
45.606	101.92	11.2
45.682	102.13	11.6
45.744	102.31	11.7
45.893	102.73	12
45.968	102.94	12.6
46.043	103.15	13
46.118	103.33	11.6
46.192	103.46	12.5
46.266	103.59	12.3
46.341	103.72	13.1
46.412	103.84	13
46.488	103.97	13.1
46.562	104.1	13.1
46.636	104.23	13.6
46.709	104.35	13.7
46.784	104.48	13.3
46.859	104.61	11.9
46.859	104.61	11.8
46.933	104.74	14.1
47.007	104.87	13.5
47.082	105	15.2
47.157	105.13	15.1
47.224	105.24	13.7
47.24	105.27	13.8
47.39	105.53	14.1
47.463	105.66	14
47.54	105.79	13.7
47.614	105.92	13.2
47.688	106.04	14
47.762	106.17	14.3
47.836	106.3	13.6
47.91	106.43	13.3
47.984	106.55	12.8
48.059	106.68	13.7
48.133	106.81	13.8
48.207	106.94	11.9
48.283	107.07	12.4
48.357	107.2	12.1
48.431	107.33	12.3
48.504	107.45	12.6
48.578	107.58	11.3
48.651	107.71	12.3
48.741	107.86	9
48.816	107.99	12.1
48.89	108.12	12.7
48.965	108.25	13.1
49.039	108.38	14.8
49.113	108.5	15.1
49.188	108.63	14.8
49.263	108.76	15.6
49.336	108.89	15.4
49.411	109.02	15.2
49.485	109.15	13.7
49.56	109.27	14.6
49.634	109.4	14.7
49.708	109.53	14.3
49.783	109.66	14.4
49.856	109.79	13.9
49.932	109.92	14.6
50.005	110.04	14.3
50.079	110.17	14.4
50.154	110.3	14.1
50.288	110.53	13.6
50.311	110.57	13.4
50.387	110.7	11.6
50.461	110.84	12.7
50.61	111.16	14.5
50.684	111.32	14.4
50.761	111.49	13.9
50.832	111.64	15
50.907	111.8	16.1
50.983	111.96	14.6
51.057	112.12	15.1
51.129	112.28	14.8
51.207	112.44	15.1
51.281	112.6	12.7
51.357	112.77	14.2
51.428	112.92	14.2
51.501	113.07	13.8
51.575	113.23	12.7
51.649	113.39	11.8
51.724	113.55	10.7
51.796	113.71	8.6
51.944	114.03	10.1
52.018	114.18	11.2
52.093	114.34	10.4
52.167	114.5	9.9
52.242	114.66	10.6
52.317	114.83	9.4
52.393	114.99	9.7
52.468	115.15	9.1
52.542	115.31	9
52.617	115.97	10
