# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
17.1,10.473,1.78,-7.58,NaN,NaN
17.2,10.483,1.61,-7.51,0.00108,0.00031
17.3,10.493,1.56,-7.59,NaN,NaN
17.4,10.504,1.46,-7.61,0.00108,0.00032
17.5,10.514,1.37,-7.75,NaN,NaN
17.6,10.524,1.72,-7.46,0.00103,0.00021
17.7,10.535,1.58,-7.75,NaN,NaN
17.8,10.545,1.66,-7.7,0.00107,0.00034
17.9,10.555,1.5,-7.71,NaN,NaN
18,10.566,1.56,-7.8,0.00104,0.00035
18.1,10.576,1.73,-7.49,NaN,NaN
18.2,10.586,1.52,-7.62,0.00113,0.00026
18.3,10.597,1.55,-7.63,NaN,NaN
18.4,10.607,1.62,-7.58,0.00115,0.00028
18.5,10.617,1.48,-7.64,NaN,NaN
18.6,10.628,1.44,-7.63,0.00111,0.00036
18.7,10.638,1.51,-7.53,NaN,NaN
18.8,10.648,1.64,-7.49,0.00109,0.00035
18.9,10.659,1.52,-7.5,NaN,NaN
19,10.669,1.45,-7.61,0.00102,0.00029
19.1,10.679,1.43,-7.53,NaN,NaN
19.2,10.69,1.38,-7.5,0.00109,0.00034
19.3,10.7,1.45,-7.4,NaN,NaN
19.4,10.71,NaN,NaN,0.00109,0.00035
19.5,10.721,1.44,-7.45,NaN,NaN
19.6,10.731,1.28,-7.59,0.0011,0.00038
