# DESCRIPTION:
# Reference: Hai Cheng, Christoph Spötl, Sebastian F.M. Breitenbach, Ashish Sinha, Jasper A. Wassenburg, Klaus Peter Jochum, Denis Scholz, Xianglei Li, Liang Yi, Youbing Peng, Yanbin Lv, Pingzhong Zhang, Antonina Votintseva, Vadim Loginov, Youfeng Ning, Gayatri Kathayat and R. Lawrence Edwards. 2016. Climate variations of Central Asia on orbital to millennial timescales. Scientific Reports, 5, 36975. doi: 10.1038/srep36975.
# Data from: https://www.ncdc.noaa.gov/paleo/study/21350. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Empty data points were removed.

Depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB],Sr/Ca,S/Ca [per mil VPDB]
150.1,56.394,3.03,-6.2,0.00153,0.00062
150.2,56.414,3.26,-6.18,NaN,NaN
150.3,56.434,3.19,-6.25,0.00144,0.00074
150.4,56.453,3.19,-6.24,NaN,NaN
150.5,56.473,3.17,-6.3,0.00158,0.0009
150.6,56.493,3.24,-6.3,NaN,NaN
150.7,56.512,3.4,-6.21,0.00156,0.0008
150.8,56.532,3.14,-6.59,NaN,NaN
150.9,56.552,3,-6.58,0.00148,0.00084
151,56.572,3.06,-6.64,NaN,NaN
151.1,56.591,2.93,-6.75,0.00144,0.00086
151.2,56.611,3.14,-6.79,NaN,NaN
151.3,56.631,3.31,-6.73,0.00151,0.00084
151.4,56.651,3.37,-6.82,NaN,NaN
151.5,56.67,3.45,-6.74,0.00175,0.00094
151.6,56.69,3.13,-6.79,NaN,NaN
151.7,56.71,2.98,-6.82,0.00163,0.00092
151.8,56.73,3.09,-6.82,NaN,NaN
151.9,56.749,2.7,-6.94,0.00164,0.00097
152,56.769,2.91,-6.87,NaN,NaN
152.1,56.789,2.83,-6.95,0.00164,0.00084
152.2,56.809,2.95,-6.84,NaN,NaN
152.3,56.828,3.28,-6.73,0.00169,0.00092
152.4,56.848,3.63,-6.66,NaN,NaN
152.5,56.868,4.12,-6.42,0.00165,0.00088
152.6,56.888,4.09,-6.38,NaN,NaN
152.7,56.907,3.31,-6.62,0.00153,0.00081
152.8,56.927,2.9,-6.74,NaN,NaN
152.9,56.947,2.83,-6.78,0.0015,0.00095
153,56.967,2.6,-6.83,NaN,NaN
153.1,56.986,2.67,-6.8,0.00159,0.00088
153.2,57.006,2.62,-6.9,NaN,NaN
153.3,57.026,2.51,-7.04,0.00162,0.00075
153.4,57.046,2.56,-6.9,NaN,NaN
153.5,57.065,2.52,-6.95,0.00145,0.00076
153.6,57.085,2.47,-7,NaN,NaN
153.7,57.105,2.5,-6.93,0.00157,0.0007
153.8,57.124,2.46,-7.08,NaN,NaN
153.9,57.144,2.39,-7.01,0.00153,0.00064
154,57.164,2.27,-7.21,NaN,NaN
154.1,57.184,2.19,-7.21,0.00154,0.0007
154.2,57.203,2.28,-7.24,NaN,NaN
154.3,57.223,2.52,-6.99,0.00156,0.00072
154.4,57.243,2.06,-7.08,NaN,NaN
154.5,57.263,1.95,-7.1,0.00153,0.00076
154.6,57.282,1.95,-7.08,NaN,NaN
154.7,57.302,2.23,-7.02,0.00153,0.0007
154.8,57.322,2.61,-6.85,NaN,NaN
154.9,57.342,2.66,-6.88,0.00152,0.00065
155,57.361,2.91,-6.86,NaN,NaN
155.1,57.381,2.95,-6.74,0.00152,0.00064
155.2,57.401,2.9,-6.97,NaN,NaN
155.3,57.421,3,-6.94,0.00159,0.00067
155.4,57.44,2.91,-7.09,NaN,NaN
155.5,57.46,3.12,-6.87,0.00146,0.0006
155.6,57.48,2.92,-6.88,NaN,NaN
155.7,57.5,2.6,-6.95,0.00137,0.0006
155.8,57.519,2.59,-6.81,NaN,NaN
155.9,57.539,2.68,-6.81,0.00145,0.0006
156,57.559,2.4,-6.67,NaN,NaN
156.1,57.579,2.49,-6.92,0.00137,0.00065
156.2,57.598,2.67,-6.7,NaN,NaN
156.3,57.618,2.89,-6.63,0.0015,0.00065
156.4,57.638,3.35,-6.45,NaN,NaN
156.5,57.658,3.33,-6.36,0.00149,0.00062
156.6,57.677,3.01,-6.53,NaN,NaN
156.7,57.697,3.27,-6.64,0.00142,0.00065
156.8,57.717,3,-6.74,NaN,NaN
156.9,57.736,3.22,-6.63,0.00142,0.00068
157,57.756,3.94,-6.4,NaN,NaN
157.1,57.776,3.26,-6.39,0.00133,0.00043
157.2,57.796,3.05,-6.3,NaN,NaN
157.3,57.815,2.55,-6.53,0.00133,0.00056
157.4,57.835,2.59,-6.29,NaN,NaN
157.5,57.855,2.37,-6.67,0.00133,0.00053
157.6,57.875,2.46,-6.67,NaN,NaN
157.7,57.894,2.52,-6.74,0.00133,0.00054
157.8,57.914,2.56,-6.84,NaN,NaN
157.9,57.934,2.58,-6.78,0.00138,0.00046
158,57.954,2.84,-6.69,NaN,NaN
158.1,57.973,2.86,-6.64,0.00133,0.0005
158.2,57.993,2.51,-6.7,NaN,NaN
158.3,58.013,2.19,-6.83,0.00134,0.00062
158.4,58.033,1.74,-6.93,NaN,NaN
158.5,58.052,1.81,-6.94,0.00126,0.00055
158.6,58.072,2.14,-6.83,NaN,NaN
158.7,58.092,1.97,-6.85,0.00136,0.00049
158.8,58.112,1.93,-6.87,NaN,NaN
158.9,58.131,1.74,-6.92,0.00142,0.00055
159,58.151,1.86,-6.86,NaN,NaN
159.1,58.171,1.89,-6.91,0.00132,0.00055
159.2,58.191,1.78,-7.01,NaN,NaN
159.3,58.21,1.94,-6.84,0.00133,0.0006
159.4,58.23,2.15,-6.86,NaN,NaN
159.5,58.25,2.02,-6.7,0.00135,0.00058
159.6,58.27,2.2,-6.79,NaN,NaN
159.7,58.289,2.08,-6.63,0.00128,0.00049
159.8,58.309,2.44,-6.6,NaN,NaN
159.9,58.329,2.39,-6.67,0.0014,0.00055
160,58.348,2.54,-6.69,NaN,NaN
160.1,58.368,2.79,-6.47,0.00124,0.00056
160.2,58.388,2.6,-6.53,NaN,NaN
160.3,58.408,2.11,-6.52,0.00123,0.00054
160.4,58.427,2.39,-6.51,NaN,NaN
160.5,58.447,2.33,-6.88,0.00128,0.00049
160.6,58.467,2.36,-6.88,NaN,NaN
160.7,58.487,2.63,-6.84,0.00126,0.00053
160.8,58.506,2.6,-6.87,NaN,NaN
160.9,58.526,2.62,-6.87,0.00124,0.00044
161,58.546,2.8,-6.85,NaN,NaN
161.1,58.566,2.8,-7.01,0.00134,0.00055
161.2,58.585,2.68,-6.91,NaN,NaN
161.3,58.605,2.74,-7.01,0.0013,0.00053
161.4,58.625,2.64,-7.13,NaN,NaN
161.5,58.645,2.66,-7.08,0.0014,0.0005
161.6,58.664,2.52,-7.23,NaN,NaN
161.7,58.684,2.56,-7.14,0.00144,0.00057
161.8,58.704,2.54,-7.12,NaN,NaN
161.9,58.724,2.6,-7.1,0.00146,0.00062
162,58.743,2.8,-6.95,NaN,NaN
162.1,58.763,2.74,-7.06,0.00142,0.00049
162.2,58.783,3.45,-6.58,NaN,NaN
162.3,58.803,2.56,-7.25,0.00145,0.00061
162.4,58.822,2.47,-7.23,NaN,NaN
162.5,58.842,2.34,-7.19,0.00142,0.00058
162.6,58.862,1.81,-7.2,NaN,NaN
162.7,58.882,2.11,-7.29,0.00141,0.00056
162.8,58.901,2.17,-7.16,NaN,NaN
162.9,58.921,2.13,-7.25,0.00141,0.00059
163,58.941,2.45,-6.8,NaN,NaN
163.1,58.941,2.36,-6.82,0.00146,0.00055
163.2,58.942,2.48,-6.81,NaN,NaN
163.3,58.942,2.34,-6.7,0.00138,0.00057
163.4,58.943,2.23,-6.78,NaN,NaN
163.5,58.943,2.07,-6.93,0.00136,0.00051
163.6,58.944,2.39,-6.8,NaN,NaN
163.7,58.944,2.31,-6.92,0.00141,0.00049
163.8,58.945,2.21,-6.81,NaN,NaN
163.9,58.946,2.28,-6.74,0.0014,0.00045
164,58.946,2.21,-6.68,NaN,NaN
164.1,58.947,2.27,-6.68,0.00135,0.00056
164.2,58.947,2.34,-6.67,NaN,NaN
164.3,58.948,2.47,-6.52,0.00133,0.00058
164.4,58.948,2.82,-6.53,NaN,NaN
164.5,58.949,2.62,-6.67,0.00142,0.00053
164.6,58.949,2.41,-6.67,NaN,NaN
164.7,58.95,2.4,-6.74,0.00147,0.00061
164.8,58.95,2.55,-6.82,NaN,NaN
164.9,58.951,2.49,-6.84,0.00141,0.0006
165,58.951,2.47,-6.66,NaN,NaN
165.1,58.952,2.36,-6.69,0.00139,0.00053
165.2,58.952,2.31,-6.66,NaN,NaN
165.3,58.953,2.16,-6.71,0.0015,0.00067
165.4,58.954,2.45,-6.89,NaN,NaN
165.5,58.954,2.82,-6.77,0.00133,0.00058
165.6,58.955,2.88,-6.73,NaN,NaN
165.7,58.955,3.16,-6.79,0.00146,0.00063
165.8,58.956,5.63,-5.79,NaN,NaN
165.9,58.956,6.8,-5.47,0.00146,0.00059
166,58.957,5.89,-5.68,NaN,NaN
166.1,58.957,4.71,-5.86,0.00148,0.00059
166.2,58.958,4.22,-5.97,NaN,NaN
166.3,58.958,4.16,-5.92,0.00153,0.00065
166.4,58.959,4.3,-6.07,NaN,NaN
166.5,58.959,4.13,-6.11,0.00148,0.00064
166.6,58.96,3.84,-6.34,NaN,NaN
166.7,58.961,3.43,-6.52,0.00157,0.00074
166.8,58.961,3.22,-6.62,NaN,NaN
166.9,58.962,3.24,-6.78,0.00155,0.00062
167,58.962,3.13,-6.83,NaN,NaN
167.1,58.963,3.03,-6.75,0.0016,0.00076
167.2,58.963,2.62,-6.88,NaN,NaN
167.3,58.964,2.63,-6.82,0.00156,0.00076
167.4,58.964,2.7,-6.77,NaN,NaN
167.5,58.965,2.74,-6.79,0.00153,0.00077
167.6,58.964,2.87,-6.78,NaN,NaN
167.7,58.965,2.9,-6.56,0.00152,0.00078
167.8,58.964,2.88,-6.51,NaN,NaN
167.9,58.965,2.74,-6.62,0.0015,0.00076
168,58.964,3.65,-5.34,NaN,NaN
168.1,58.965,4.35,-5.27,0.00159,0.00067
168.2,58.964,4.55,-5.4,NaN,NaN
168.3,58.965,4.76,-5.98,0.0016,0.00077
168.4,58.964,4.84,-6.72,NaN,NaN
168.5,58.965,5.01,-6.83,0.00156,0.0008
168.6,58.964,5.26,-6.26,NaN,NaN
168.7,58.965,5.59,-5.62,0.00165,0.00057
168.8,58.964,5.45,-5.61,NaN,NaN
168.9,58.965,5.59,-5.21,0.00151,0.00082
169,58.964,5.63,-4.31,NaN,NaN
169.1,101.663,5.59,-4.36,0.00155,0.00084
169.2,101.671,5.69,-5.56,NaN,NaN
169.3,101.679,5.57,-5.79,0.00145,0.00089
169.4,101.686,5.45,-6.88,NaN,NaN
169.5,101.694,5.42,-6.86,0.00144,0.00075
169.6,101.701,4.71,-7.09,NaN,NaN
169.7,101.709,3.62,-7.64,0.00137,0.00068
169.8,101.717,3.56,-7.74,NaN,NaN
169.9,101.724,3.08,-7.84,0.00137,0.00074
170,101.732,3.15,-7.85,NaN,NaN
170.1,101.739,3.24,-7.86,0.00128,0.00063
170.2,101.747,3.11,-8.05,NaN,NaN
170.3,101.755,2.94,-8.35,0.00096,0.00054
170.4,101.762,3.04,-8.15,NaN,NaN
170.5,101.77,3.19,-8.02,0.00095,0.00059
170.6,101.778,3.16,-7.98,NaN,NaN
170.7,101.785,3.17,-8.11,0.00093,0.00083
170.8,101.793,3.15,-8.01,NaN,NaN
170.9,101.8,3.12,-8.13,0.00109,0.00055
171,101.808,2.92,-8.18,NaN,NaN
171.1,101.816,2.98,-8.09,0.001,0.00048
171.2,101.823,2.8,-8.24,NaN,NaN
171.3,101.831,2.81,-8.32,0.00099,0.00048
171.4,101.838,2.91,-8.19,NaN,NaN
171.5,101.846,2.9,-8.16,0.00098,0.0004
171.6,101.854,2.93,-7.95,NaN,NaN
171.7,101.861,2.95,-7.87,0.00097,0.00039
171.8,101.869,3.02,-7.97,NaN,NaN
171.9,101.877,2.97,-7.93,0.00108,0.0004
172,101.884,2.89,-8.08,NaN,NaN
172.1,101.892,2.82,-8.17,0.00118,0.00042
172.2,101.899,2.69,-8.23,NaN,NaN
172.3,101.907,2.43,-8.56,0.00111,0.0004
172.4,101.915,2.89,-8.02,NaN,NaN
172.5,101.922,2.66,-8.23,0.00116,0.00041
172.6,101.93,2.61,-8.17,NaN,NaN
172.7,101.937,2.56,-8.33,0.00119,0.0004
172.8,101.945,2.36,-8.52,NaN,NaN
172.9,101.953,2.59,-8.03,0.00116,0.00042
173,101.96,2.74,-8.3,NaN,NaN
173.1,101.968,2.84,-8.23,0.00117,0.00034
173.2,101.975,2.83,-8.3,NaN,NaN
173.3,101.983,2.86,-8.44,0.00114,0.00036
173.4,101.991,2.86,-8.25,NaN,NaN
173.5,101.998,2.62,-8.37,0.00117,0.00032
173.6,102.006,2.53,-8.29,NaN,NaN
173.7,102.014,2.38,-8.3,0.00115,0.00032
173.8,102.021,2.31,-8.38,NaN,NaN
173.9,102.029,2.57,-8.28,0.00116,0.00037
174,102.036,2.69,-8.16,NaN,NaN
174.1,102.044,2.85,-8.31,0.00111,0.00034
174.2,102.052,2.93,-8.3,NaN,NaN
174.3,102.059,3.04,-8.24,0.00115,0.00039
174.4,102.067,3.21,-7.99,NaN,NaN
174.5,102.074,3.15,-8.04,0.00103,0.0003
174.6,102.082,3,-8.13,NaN,NaN
174.7,102.09,2.97,-8.37,0.00108,0.0003
174.8,102.097,2.61,-8.62,NaN,NaN
174.9,102.105,2.94,-8.55,0.00113,0.00032
175,102.112,2.89,-8.5,NaN,NaN
175.1,102.12,2.87,-8.48,0.00111,0.00036
175.2,102.128,2.75,-8.67,NaN,NaN
175.3,102.135,2.94,-8.71,0.00107,0.00038
175.4,102.143,2.85,-8.74,NaN,NaN
175.5,102.151,2.86,-8.53,0.00115,0.00035
175.6,102.158,2.95,-8.55,NaN,NaN
175.7,102.166,2.93,-8.55,0.00117,0.00036
175.8,102.173,2.96,-8.55,NaN,NaN
175.9,102.181,2.99,-8.3,0.00121,0.00039
176,102.189,3.06,-8.2,NaN,NaN
176.1,102.196,2.8,-8.37,0.00125,0.00039
176.2,102.204,3.05,-8.34,NaN,NaN
176.3,102.211,2.83,-8.44,0.00118,0.00041
176.4,102.219,3.04,-8.26,NaN,NaN
176.5,102.227,3.04,-8.27,0.0012,0.00041
176.6,102.234,3.43,-8.33,NaN,NaN
176.7,102.242,3.44,-8.28,0.00121,0.00032
176.8,102.249,3.19,-8.46,NaN,NaN
176.9,102.257,3.42,-8.24,0.00109,0.00034
177,102.265,3.62,-7.79,NaN,NaN
177.1,102.272,3.48,-8.31,0.00114,0.00034
177.2,102.28,3.52,-8.21,NaN,NaN
177.3,102.288,3.6,-8.15,0.00108,0.00032
177.4,102.295,3.58,-8.18,NaN,NaN
177.5,102.303,3.72,-8.04,0.00119,0.00029
177.6,102.31,3.74,-8.15,NaN,NaN
177.7,102.318,3.59,-8.27,0.00115,0.00041
177.8,102.326,3.69,-8.03,NaN,NaN
177.9,102.333,3.5,-8.16,0.00116,0.00036
178,102.341,3.5,-8.01,NaN,NaN
178.1,102.348,3.52,-8.02,0.00116,0.00028
178.2,102.356,3.41,-8.21,NaN,NaN
178.3,102.364,3.3,-8.14,0.00115,0.00028
178.4,102.371,3.4,-7.83,NaN,NaN
178.5,102.379,3.43,-8.11,0.0012,0.00027
178.6,102.387,3.43,-8.21,NaN,NaN
178.7,102.394,3.34,-8.17,0.00122,0.00034
178.8,102.402,3.39,-7.64,NaN,NaN
178.9,102.409,3.37,-8.15,0.00122,0.00034
179,102.417,3.31,-7.89,NaN,NaN
179.1,102.425,3.26,-8.13,0.00122,0.00032
179.2,102.432,3.33,-8.15,NaN,NaN
179.3,102.44,3.28,-7.31,0.00123,0.00032
179.4,102.447,3.36,-8.19,NaN,NaN
179.5,102.455,3.39,-8.11,0.00123,0.00041
179.6,102.463,3.4,-8.12,NaN,NaN
179.7,102.47,3.43,-7.45,0.00109,0.00038
179.8,102.478,2.96,-6.89,NaN,NaN
179.9,102.485,3.15,-8.24,0.00111,0.00031
180,102.493,3.18,-8.28,NaN,NaN
180.1,102.501,3.21,-8.24,0.00121,0.00027
180.2,102.508,3.13,-8.22,NaN,NaN
180.3,102.516,3.16,-8.31,0.00118,0.00034
180.4,102.524,3.05,-8.37,NaN,NaN
180.5,102.531,3.04,-8.32,0.0012,0.00036
180.6,102.539,3.1,-8.24,NaN,NaN
180.7,102.546,3.1,-8.36,0.00114,0.00029
180.8,102.554,3.04,-8.25,NaN,NaN
180.9,102.562,3.1,-8.32,0.00126,0.00035
181,102.569,3.16,-8.36,NaN,NaN
181.1,102.577,2.95,-8.33,0.00122,0.00028
181.2,102.584,3.1,-8.43,NaN,NaN
181.3,102.592,3.17,-8.36,0.00115,0.00026
181.4,102.6,3.22,-8.35,NaN,NaN
181.5,102.607,3.21,-8.46,0.00111,0.00032
181.6,102.615,3.15,-8.42,NaN,NaN
181.7,102.622,2.85,-8.59,0.00109,0.00034
181.8,102.63,2.78,-8.5,NaN,NaN
181.9,102.638,2.83,-8.36,0.00104,0.00034
182,102.645,2.73,-8.58,NaN,NaN
182.1,102.653,2.87,-8.6,0.00115,0.00034
182.2,102.661,2.93,-8.65,NaN,NaN
182.3,102.668,2.98,-8.59,0.00107,0.00034
182.4,102.676,2.93,-8.65,NaN,NaN
182.5,102.683,2.89,-8.57,0.00114,0.00036
182.6,102.691,2.78,-8.82,NaN,NaN
182.7,102.699,2.74,-8.82,0.00116,0.00032
182.8,102.706,2.85,-8.65,NaN,NaN
182.9,102.714,2.89,-8.73,0.00106,0.00031
183,102.721,2.97,-8.69,NaN,NaN
183.1,102.729,2.91,-8.75,0.0011,0.00036
183.2,102.737,2.88,-8.9,NaN,NaN
183.3,102.744,2.8,-8.86,0.00111,0.00039
183.4,102.752,2.86,-8.87,NaN,NaN
183.5,102.76,2.84,-8.96,0.00126,0.0005
183.6,102.767,2.7,-8.94,NaN,NaN
183.7,102.775,2.88,-8.75,0.00118,0.00045
183.8,102.782,2.91,-8.84,NaN,NaN
183.9,102.79,2.88,-8.73,0.00128,0.00042
184,102.798,2.96,-8.74,NaN,NaN
184.1,102.805,2.99,-8.73,0.00121,0.00038
184.2,102.813,2.97,-8.82,NaN,NaN
184.3,102.82,3,-8.77,0.00116,0.00033
184.4,102.828,2.95,-8.97,NaN,NaN
184.5,102.836,2.97,-8.98,0.00117,0.00036
184.6,102.843,2.96,-8.94,NaN,NaN
184.7,102.851,2.85,-9.06,0.00122,0.00038
184.8,102.858,2.72,-8.95,NaN,NaN
184.9,102.866,2.7,-9,0.00123,0.00044
185,102.874,2.8,-8.96,NaN,NaN
185.1,102.881,2.75,-9,0.00121,0.00032
185.2,102.889,2.68,-9.1,NaN,NaN
185.3,102.897,2.73,-9.02,0.00124,0.00041
185.4,102.904,2.77,-8.95,NaN,NaN
185.5,102.912,2.79,-8.96,0.00118,0.0004
185.6,102.919,2.93,-8.84,NaN,NaN
185.7,102.927,3.07,-8.82,0.00126,0.00044
185.8,102.935,3.13,-8.85,NaN,NaN
185.9,102.942,3.16,-8.97,0.00125,0.00045
186,102.95,3.3,-8.71,NaN,NaN
186.1,102.957,3.43,-8.69,0.00119,0.00042
186.2,102.965,3.38,-8.61,NaN,NaN
186.3,102.973,3.38,-8.69,0.00125,0.00045
186.4,102.98,3.36,-8.57,NaN,NaN
186.5,102.988,3.31,-8.75,0.00122,0.00044
186.6,102.995,3.31,-8.78,NaN,NaN
186.7,103.003,3.21,-8.82,0.00126,0.00044
186.8,103.011,3.4,-8.81,NaN,NaN
186.9,103.018,3.73,-8.57,0.00116,0.00042
187,103.026,3.98,-8.39,NaN,NaN
187.1,103.034,4.25,-8.21,0.00121,0.00043
187.2,103.041,4.29,-8.09,NaN,NaN
187.3,103.049,4.15,-8.1,0.00113,0.00043
187.4,103.056,3.52,-8.39,NaN,NaN
187.5,103.064,2.99,-8.62,0.0012,0.00044
187.6,103.072,2.81,-8.65,NaN,NaN
187.7,103.079,2.78,-8.55,0.00118,0.00036
187.8,103.087,2.61,-8.55,NaN,NaN
187.9,103.094,2.46,-8.47,0.00121,0.0004
188,103.102,2.46,-8.65,NaN,NaN
188.1,103.11,2.62,-8.63,0.00126,0.00047
188.2,103.117,2.55,-8.58,NaN,NaN
188.3,103.125,2.65,-8.73,0.00129,0.00048
188.4,103.132,2.75,-8.81,NaN,NaN
188.5,103.14,2.46,-9.09,0.00131,0.00046
188.6,103.148,2.48,-9.01,NaN,NaN
188.7,103.155,2.38,-9.18,0.00134,0.00042
188.8,103.163,2.6,-9.11,NaN,NaN
188.9,103.171,2.61,-9.1,0.00126,0.00045
189,103.178,2.6,-9.22,NaN,NaN
189.1,103.186,2.62,-9.26,0.00131,0.00037
189.2,103.193,2.73,-9.27,NaN,NaN
189.3,103.201,2.71,-9.26,0.0013,0.00041
189.4,103.209,2.68,-9.36,NaN,NaN
189.5,103.216,2.78,-9.28,0.00122,0.00042
189.6,103.224,2.9,-9.25,NaN,NaN
189.7,103.231,2.66,-9.38,0.00117,0.0004
189.8,103.239,2.81,-9.41,NaN,NaN
189.9,103.247,2.85,-9.42,0.00117,0.0004
190,103.254,2.79,-9.43,NaN,NaN
190.1,103.262,2.73,-9.36,0.00125,0.00046
190.2,103.27,2.86,-9.11,NaN,NaN
190.3,103.277,2.91,-9.21,0.00118,0.00043
190.4,103.285,3.04,-9.13,NaN,NaN
190.5,103.292,2.96,-9.2,0.00112,0.00049
190.6,103.3,3.02,-9.2,NaN,NaN
190.7,103.308,2.78,-9.18,0.00122,0.00039
190.8,103.315,2.77,-9.29,NaN,NaN
190.9,103.323,2.93,-9.12,0.00126,0.00046
191,103.33,2.97,-9.01,NaN,NaN
191.1,103.338,2.83,-9.27,0.00131,0.00039
191.2,103.346,2.87,-9.27,NaN,NaN
191.3,103.353,2.93,-9.12,0.00125,0.00041
191.4,103.361,3.1,-8.93,NaN,NaN
191.5,103.368,3.31,-8.72,0.00133,0.00037
191.6,103.376,3.38,-8.76,NaN,NaN
191.7,103.384,3.57,-8.69,0.00129,0.00039
191.8,103.391,3.87,-8.33,NaN,NaN
191.9,103.399,3.87,-8.35,0.00132,0.00048
192,103.407,4.04,-8.24,NaN,NaN
192.1,103.414,4.06,-8.1,0.00125,0.00036
192.2,103.422,4.27,-7.95,NaN,NaN
192.3,103.429,4.15,-7.88,0.0013,0.00046
192.4,103.437,4.14,-7.8,NaN,NaN
192.5,103.445,4.06,-7.9,0.00133,0.00042
192.6,103.452,4.08,-7.63,NaN,NaN
192.7,103.46,4.02,-7.75,0.00128,0.00045
192.8,103.467,4.05,-7.66,NaN,NaN
192.9,103.475,4.09,-7.66,0.00129,0.00049
193,103.483,4.23,-7.58,NaN,NaN
193.1,103.49,4.16,-7.6,0.00132,0.0004
193.2,103.498,4.11,-7.44,NaN,NaN
193.3,103.505,4.19,-7.3,0.00128,0.00042
193.4,103.513,4.08,-7.16,NaN,NaN
193.5,103.521,4.06,-7.15,0.00125,0.00044
193.6,103.528,3.99,-7.14,NaN,NaN
193.7,103.536,4.03,-7.02,0.0012,0.00035
193.8,103.544,4.06,-7.07,NaN,NaN
193.9,103.551,3.96,-7.03,0.00119,0.00038
194,103.559,3.88,-7.04,NaN,NaN
194.1,103.566,3.84,-7.04,0.00129,0.0004
194.2,103.574,3.73,-7.1,NaN,NaN
194.3,103.582,3.7,-7.05,0.00137,0.00043
194.4,103.589,3.54,-7.13,NaN,NaN
194.5,103.597,3.63,-7.13,0.00125,0.00042
194.6,103.604,3.64,-7.13,NaN,NaN
194.7,103.612,3.87,-6.98,0.00137,0.00047
194.8,103.62,3.62,-6.98,NaN,NaN
194.9,103.627,3.58,-6.85,0.00127,0.00039
195,103.635,3.65,-6.88,NaN,NaN
195.1,103.642,3.61,-6.72,0.00134,0.00044
195.2,103.65,3.58,-6.66,NaN,NaN
195.3,103.658,3.47,-6.71,0.00145,0.00047
195.4,103.665,3.44,-6.69,NaN,NaN
195.5,103.673,3.37,-6.64,0.00143,0.00054
195.6,103.681,3.34,-6.65,NaN,NaN
195.7,103.688,3.41,-6.6,0.00145,0.00045
195.8,103.696,3.39,-6.55,NaN,NaN
195.9,103.703,3.31,-6.64,0.00152,0.00048
196,103.711,3.27,-6.58,NaN,NaN
196.1,103.719,3.32,-6.59,0.00146,0.00051
196.2,103.726,3.42,-6.53,NaN,NaN
196.3,103.734,3.37,-6.58,0.00149,0.00048
196.4,103.741,3.31,-6.87,NaN,NaN
196.5,103.749,3.29,-6.83,0.0015,0.00048
196.6,103.757,3.32,-6.67,NaN,NaN
196.7,103.764,3.26,-6.62,0.0015,0.0005
196.8,103.772,3.17,-6.65,NaN,NaN
196.9,103.78,3.17,-6.68,0.00148,0.00051
197,103.787,3.11,-6.88,NaN,NaN
197.1,103.795,3.09,-6.73,0.00142,0.00049
197.2,103.802,2.85,-6.73,NaN,NaN
197.3,103.81,2.76,-6.95,0.00131,0.00047
197.4,103.818,2.84,-6.83,NaN,NaN
197.5,103.825,2.96,-6.71,0.00139,0.00051
197.6,103.833,2.96,-6.8,NaN,NaN
197.7,103.84,3.02,-6.83,0.00141,0.00051
197.8,103.848,2.98,-6.93,NaN,NaN
197.9,103.856,3.03,-6.87,0.00141,0.00063
198,103.863,2.92,-6.86,NaN,NaN
198.1,103.871,3.11,-6.82,0.00136,0.00051
198.2,103.878,3.13,-6.78,NaN,NaN
198.3,103.886,3.13,-6.6,0.00131,0.00046
198.4,103.894,3.02,-6.69,NaN,NaN
198.5,103.901,3.39,-6.28,0.00142,0.00052
198.6,103.909,3.53,-6.56,NaN,NaN
198.7,103.917,3.66,-6.48,0.00142,0.00053
198.8,103.924,3.51,-6.36,NaN,NaN
198.9,103.932,3.57,-6.48,0.0014,0.00058
199,103.939,3.54,-6.42,NaN,NaN
199.1,103.947,3.58,-6.52,0.00154,0.00056
199.2,103.955,3.4,-6.84,NaN,NaN
199.3,103.962,2.95,-7.12,0.00159,0.00063
199.4,103.97,2.61,-7.32,NaN,NaN
199.5,103.977,2.2,-7.52,0.00145,0.00057
199.6,103.985,2.06,-7.57,NaN,NaN
199.7,103.993,2.24,-7.58,0.00146,0.00058
199.8,104,2.41,-7.56,NaN,NaN
199.9,104.008,2.66,-7.57,0.00139,0.00053
200,104.015,2.92,-7.32,NaN,NaN
200.1,104.023,3.16,-7.18,0.00145,0.00057
200.2,104.031,3.43,-7.18,NaN,NaN
200.3,104.038,3.54,-7.08,0.00134,0.00056
200.4,104.046,3.68,-7.13,NaN,NaN
200.5,104.054,3.79,-7.17,0.00132,0.00061
200.6,104.061,3.82,-7.2,NaN,NaN
200.7,104.069,3.92,-7.17,0.0013,0.0005
200.8,104.076,3.89,-7.13,NaN,NaN
200.9,104.084,3.86,-7.19,0.00131,0.00061
201,104.092,3.72,-7.26,NaN,NaN
201.1,104.099,3.56,-7.49,0.00135,0.00055
201.2,104.107,3.43,-7.68,NaN,NaN
201.3,104.114,3.39,-7.62,0.00136,0.0005
201.4,104.122,3.29,-7.66,NaN,NaN
201.5,104.13,3.37,-7.65,0.00135,0.00048
201.6,104.137,3.34,-7.65,NaN,NaN
201.7,104.145,3.22,-7.66,0.00133,0.00054
201.8,104.153,2.97,-7.73,NaN,NaN
201.9,104.16,3.12,-7.7,0.00138,0.00066
202,104.168,3.21,-7.7,NaN,NaN
202.1,104.175,3.2,-7.67,0.0013,0.00064
202.2,104.183,3.33,-7.75,NaN,NaN
202.3,104.191,3.22,-7.79,0.00145,0.0007
202.4,104.198,3.19,-7.62,NaN,NaN
202.5,104.206,3.26,-7.54,0.00146,0.00071
202.6,104.213,3.15,-7.51,NaN,NaN
202.7,104.221,3.26,-7.42,0.00154,0.00071
202.8,104.229,3.2,-7.36,NaN,NaN
