# DESCRIPTION:
# Reference: Clemens, Steven; Yamamoto, Masanobu; Thirumalai, Kaustubh; Giosan, Liviu; Richey, Julie N.; Nilsson-Kerr, Katrina; Rosenthal, Yair; Anand, Pallavi; McGrath, Sarah M. 2021. Remote and Local Drivers of Pleistocene South Asian Summer Monsoon Precipitation: A Test for Future Predictions. Science Advances, 7(23), doi: 10.1126/sciadv.abg3848.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/33213.
# Comment: Data was not modified in any way.

Age [ka BP],C. kullenbergi d18O [‰ PDB],C. kullenbergi d13C [‰ PDB]
21.489,3.6485,-0.09425
21.726,3.6471,-0.11255
21.962,3.702,-0.15153
22.152,3.6523,-0.15775
22.341,3.6225,-0.14939
22.578,3.5264,-0.11285
22.815,3.4828,-0.11549
23.365,3.468,-0.06496
23.442,3.4686,-0.05972
23.594,3.4686,-0.05972
23.671,3.4686,-0.05972
23.747,3.4798,-0.01821
24.284,3.7155,0.01849
24.852,3.5489,-0.03375
25.137,3.5671,-0.03592
25.421,3.561,-0.01967
25.989,3.539,-0.15214
26.273,3.4797,-0.13085
26.557,3.4672,-0.12836
27.126,3.1442,0.03398
27.41,3.224,-0.04555
27.694,3.2186,-0.1016
28.262,3.2226,0.07143
28.546,3.2167,0.07565
28.83,3.1735,0.10164
29.399,3.221,0.18287
29.683,3.221,0.18287
30.485,3.4302,-0.07436
30.744,3.3795,-0.05835
31.003,3.3915,-0.02416
31.521,3.348,-0.04335
31.868,3.3702,-0.05742
32.215,3.3771,-0.0473
32.522,3.3895,-0.08026
32.789,3.3167,-0.00959
32.922,3.2649,0.01541
33.055,3.2649,0.01541
33.188,3.2501,0.01907
33.455,3.2704,0.0007
33.609,3.2121,-0.03658
33.762,3.2121,-0.03658
33.916,3.2037,-0.01091
34.377,3.4141,-0.11036
34.531,3.442,-0.14106
34.839,3.4351,-0.18414
35.493,3.1873,0.02271
35.667,3.1274,-0.01068
36.013,3.2436,-0.00882
36.36,3.3321,-0.01764
36.533,3.4413,-0.05796
36.706,3.4582,-0.1188
36.879,3.4282,-0.1457
37.053,3.313,-0.1297
37.399,3.1964,-0.08899
37.572,3.0866,0.00207
37.746,3.1431,0.01778
37.991,3.203,-0.02601
38.063,3.203,-0.02601
38.134,3.2038,-0.03957
38.206,3.1739,-0.01808
38.278,3.1739,-0.01808
38.421,3.1524,-0.04185
38.493,3.1108,-0.01253
38.829,3.0886,0.07235
39.094,3.1399,0.02196
39.358,3.1886,0.00979
39.886,3.2781,-0.10125
40.151,3.2781,-0.10125
40.55,3.3314,-0.21583
40.686,3.3651,-0.21986
40.821,3.3651,-0.21986
40.956,3.3536,-0.20201
41.619,3.4648,-0.13917
41.741,3.4648,-0.13917
42.107,3.5957,-0.29516
42.229,3.5191,-0.28579
42.351,3.4843,-0.22254
42.473,3.4244,-0.15934
42.595,3.3359,-0.11541
42.717,3.2627,-0.08743
42.839,3.2538,-0.03068
43.422,3.563,-0.23231
43.714,3.5287,-0.25071
43.86,3.5553,-0.2393
44.006,3.5176,-0.27922
44.152,3.5085,-0.28957
44.298,3.4913,-0.2912
44.589,3.4198,-0.33564
44.735,3.4461,-0.284
45.465,3.1232,-0.18903
45.611,3.1232,-0.18903
45.756,3.1232,-0.18903
46.672,3.3879,-0.14831
46.831,3.4388,-0.1962
47.149,3.4817,-0.21685
47.309,3.553,-0.22608
47.468,3.5577,-0.21917
47.786,3.4921,-0.1837
47.946,3.4592,-0.1992
49.538,3.1748,-0.31633
49.856,3.1748,-0.31633
50.334,3.3031,-0.4123
50.493,3.3031,-0.4123
50.653,3.3132,-0.40122
