# DESCRIPTION:
# Reference: Gina E. Moseley, R. Lawrence Edwards, Kathleen A. Wendt, Hai Cheng, Yuri Dublyansky, Yanbin Lu, Ronny Boch, Christoph Spötl. 2016. Reconciliation of the Devils Hole climate record with orbital forcing. Science, 351(6269), 165-168. doi: 10.1126/science.aad4132
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/19745. Accessed 22 Nov 2022.
# Comment: Years were converted to ka.
# Comment: Only Devils Hole #2 Core D Stable Isotope Data is included here.

Depth [mm],Age [ka BP],δ13C carb [‰ VPDB],δ18O carb [‰ VPDB]
127.4,64.54,,
127.3,64.672,-1.7,-16.78
127.2,64.805,-1.55,-16.52
127.1,64.938,-1.63,-16.6
127,65.07,-1.57,-16.67
126.9,65.203,-1.62,-16.75
126.8,65.335,-1.63,-16.83
126.7,65.468,-1.59,-16.57
126.6,65.6,-1.54,-16.7
126.5,65.733,-1.52,-16.57
126.4,65.865,-1.63,-16.71
126.3,65.998,-1.55,-16.67
126.2,66.131,-1.57,-16.72
126.1,66.263,-1.54,-16.67
126,66.396,-1.6,-16.75
125.9,66.528,-1.64,-16.74
125.8,66.661,-1.63,-16.73
125.7,66.793,-1.58,-16.66
125.6,66.926,-1.62,-16.52
125.5,67.054,-1.62,-16.63
125.4,67.182,-1.64,-16.67
125.3,67.311,-1.72,-16.56
125.2,67.439,-1.65,-16.55
125.1,67.567,-1.61,-16.58
125,67.696,-1.59,-16.49
124.9,67.824,-1.63,-16.61
124.8,67.952,-1.62,-16.68
124.7,68.081,-1.68,-16.35
124.6,68.209,-1.65,-16.53
124.5,68.4,-1.73,-16.64
124.4,68.546,-1.58,-16.4
124.2,68.838,-1.64,-16.57
124,69.13,-1.82,-16.49
123.8,69.422,-1.68,-16.48
123.6,69.714,-1.7,-16.46
123.4,70.003,-1.71,-16.46
123.2,70.293,-1.76,-16.48
123,70.582,-1.75,-16.43
122.8,70.872,-1.82,-16.44
122.6,71.161,-1.7,-16.43
122.4,71.451,-1.83,-16.42
122.2,71.74,,
122,72.03,,
121.8,72.319,-1.73,-16.25
121.6,72.609,,
121.4,72.905,-1.85,-16.27
121.2,73.202,-1.82,-16.33
121,73.426,-1.67,-16.34
120.8,73.65,-1.82,-16.39
120.6,73.874,-1.86,-16.45
120.4,74.094,-1.75,-16.28
120.2,74.313,-1.8,-16.28
120,74.533,-1.84,-16.29
119.8,74.753,-1.72,-16.21
119.6,74.973,-1.81,-16.26
119.4,75.193,-1.79,-16.22
119.2,75.413,-1.82,-16.25
119,75.633,-1.81,-16.25
118.8,75.853,-1.75,-16.21
118.6,76.073,-1.81,-16.24
118.4,76.296,-1.82,-16.18
118.2,76.518,-1.79,-16.31
118,76.741,-1.82,-16.26
117.8,76.963,-1.73,-16.19
117.6,77.185,-1.73,-16.29
117.4,77.497,-1.88,-16.3
117.2,77.809,-1.75,-16.15
117,78.121,-1.88,-16.18
116.8,78.433,-1.93,-16.21
116.6,78.745,-1.88,-16.2
116.4,79.053,-1.83,-15.99
116.2,79.362,-1.86,-16.07
116,79.671,-1.9,-16.09
115.8,79.98,-1.82,-16.06
115.6,80.288,-1.87,-16.14
115.4,80.597,-1.83,-16.09
115.2,80.905,-1.83,-16.13
115,81.213,-1.86,-16.14
114.8,81.521,-1.83,-16.12
114.6,81.83,-1.81,-16.08
114.4,82.143,-1.83,-15.99
114.2,82.456,-1.84,-15.94
114,82.769,-1.84,-16.03
113.8,83.083,-1.82,-15.98
113.6,83.271,-1.85,
113.4,83.465,-1.86,-16.08
113.2,83.658,-1.88,-16.13
113,83.852,-1.93,-16.15
112.8,84.045,-1.84,-16.06
112.6,84.239,-1.82,-16.13
112.4,84.43,-1.8,-16.07
112.2,84.621,-1.74,-16.22
112,84.813,-1.76,-16.26
111.8,85.004,-1.76,-16.16
111.6,85.195,-1.84,-16.32
111.4,85.387,-1.86,-16.28
111.2,85.579,-1.86,-16.25
111,85.771,-1.88,-16.42
110.8,85.963,-1.81,-16.46
110.6,86.155,-1.79,-16.33
110.4,86.347,-1.72,-16.3
110.2,86.538,-1.71,-16.4
110,86.729,-1.79,-16.4
109.8,86.921,-1.77,-16.47
109.6,87.112,-1.71,-16.39
109.4,87.305,-1.8,-16.47
109.2,87.499,-1.76,-16.51
109,87.692,-1.68,-16.4
108.8,87.886,-1.85,-16.45
108.6,88.079,-1.8,-16.49
108.4,88.39,-1.73,-16.34
108.2,88.701,-1.79,-16.52
108,89.012,-1.85,-16.5
107.8,89.323,-1.76,-16.4
107.6,89.634,-1.8,-16.4
107.5,89.787,-1.81,-16.22
107.4,89.94,-1.78,-16.33
107.3,90.094,,
107.2,90.247,-1.82,-16.26
107.1,90.4,-1.78,-16.34
107,90.553,-1.78,-16.24
106.9,90.707,-1.81,-16.16
106.8,90.86,-1.82,-16.28
106.7,91.013,-1.81,-16.22
106.6,91.166,-1.77,-16.15
106.5,91.32,-1.88,-16.31
106.4,91.474,-1.89,-16.25
106.3,91.628,-1.86,-16.29
106.2,91.782,-1.88,-16.16
106.1,91.936,-1.89,-16.11
106,92.09,-1.88,-16.15
105.9,92.243,-1.87,-16.17
105.8,92.397,-1.91,-16.2
105.7,92.551,-1.87,-16.16
105.6,92.705,-1.93,-16.2
105.5,92.852,-1.9,-16.23
105.4,92.999,-1.85,-16.15
105.3,93.146,-1.94,-16.21
105.2,93.293,-1.92,-16.28
105.1,93.44,-1.9,-16.23
105,93.588,-1.82,-16.17
104.9,93.735,-1.85,-16.13
104.8,93.882,-1.9,-16.08
104.7,94.029,-1.93,-16.15
104.6,94.176,-1.84,-16.14
104.5,94.415,-1.82,-16.17
104.4,94.58,-1.88,-16.19
104.3,94.745,-1.91,-16.21
104.2,94.91,-1.95,-16.09
104.1,95.075,-1.85,-16.12
104,95.241,-1.91,-16.03
103.9,95.406,-1.87,-16.07
103.8,95.571,-1.89,-16.22
103.7,95.736,-2,-16.18
103.6,95.901,-1.86,-16.13
103.5,96.065,-1.84,-16.12
103.4,96.228,-1.99,-16.21
103.3,96.392,-2.01,-16.18
103.2,96.556,-2.02,-16.1
103.1,96.719,-1.9,-16.15
103,96.883,-1.98,-16.02
102.9,97.046,-1.89,-16.07
102.8,97.21,-1.93,-16.07
102.7,97.373,-1.93,-16.05
102.6,97.537,-1.84,-16.03
102.5,97.701,-1.84,-16.03
102.4,97.864,-2,-16.08
102.3,98.027,-1.94,-16.04
102.2,98.191,-1.94,-16.04
102.1,98.354,-1.89,-15.97
102,98.518,-1.91,-16.07
101.9,98.681,-1.93,-15.96
101.8,98.845,-1.96,-16
101.7,99.008,-1.92,-15.93
101.6,99.172,-1.92,-16.02
101.5,99.338,-1.93,-15.98
101.4,99.504,-1.89,-16.01
101.3,99.67,-1.89,-15.89
101.2,99.836,-1.86,-15.92
101.1,100.003,-1.94,-15.94
101,100.169,-1.93,-16.12
100.9,100.193,-1.91,-15.97
100.8,100.217,-1.92,-15.94
100.7,100.241,-1.88,-15.79
100.6,100.265,-1.9,-15.94
100.5,100.289,-1.91,-16
100.4,100.313,-1.85,-15.82
100.3,100.337,-1.86,-15.81
100.2,100.36,-1.86,-15.88
100.1,100.384,-1.85,-15.95
100,100.408,-1.93,-15.91
99.9,100.431,-1.9,-16.03
99.8,100.455,-1.9,-15.87
99.7,100.479,-1.91,-15.86
99.6,100.503,-1.84,-15.83
99.5,100.526,-1.88,-15.86
99.4,100.549,-1.94,-15.91
99.3,100.572,-1.93,-15.89
99.2,100.595,-1.85,-15.84
99.1,100.618,-1.96,-15.9
99,100.641,-1.92,-15.89
98.9,100.664,-1.91,-15.92
98.8,100.687,-1.94,-15.94
98.7,100.71,-1.93,-15.93
98.6,100.733,-1.89,-15.83
98.5,100.77,-1.97,-16.01
98.4,100.991,-1.89,-15.9
98.3,101.211,-1.96,-15.96
98.2,101.432,-1.93,-15.87
98.1,101.652,-1.98,-15.94
98,101.873,-1.94,-15.8
97.9,102.093,-1.95,-15.93
97.8,102.314,-1.91,-15.84
97.7,102.534,-1.93,-15.89
97.6,102.755,-2.07,-16.02
97.5,102.976,-1.86,-15.87
97.4,103.198,-1.96,-15.86
97.3,103.419,-2.03,-15.9
97.2,103.641,-2,-16.02
97.1,103.862,-2.08,-16
97,104.084,-1.87,-15.86
96.9,104.164,-1.96,-15.93
96.8,104.244,-2.01,-15.8
96.7,104.324,-1.94,-15.9
96.6,104.405,-2.02,-15.95
96.5,104.485,-1.93,-15.88
96.4,104.566,-1.85,-15.87
96.3,104.646,-1.87,-15.95
96.2,104.727,-1.9,-15.88
96.1,104.807,-1.92,-15.84
96,104.888,-2,-15.92
95.9,104.968,-1.97,-15.95
