# DESCRIPTION:
# Reference: WAIS Divide Project Members (2015): Precise interpolar phasing of abrupt climate change during the last ice age. Nature, 520, 661–665, hhttps://doi.org/10.1038/nature14401.
# Data from: https://www.nature.com/articles/nature14401#Sec14. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.
# Comment: Depth and Age are averages of their 'Top' and 'Bottom' values.

Depth (average) [m],WD2014 Age (average) [ka BP],ss Na [ng/b]
1369.75,6.46151,15.394
1369.85,6.46218,20.182
1369.95,6.46289,17.366
1370.05,6.46358,18.647
1370.15,6.46428,16.338
1370.25,6.465,18.202
1370.35,6.46568,11.822
1370.45,6.46631,15.898
1370.55,6.46689,16.027
1370.65,6.46741,24.751
1370.75,6.46791,17.563
1370.85,6.46848,13.688
1370.95,6.46908,13.511
1371.05,6.46966,17.186
1371.15,6.47024,7.528
1371.25,6.47085,7.898
1371.35,6.47146,12.373
1371.45,6.47208,8.029
1371.55,6.47273,13.107
1371.65,6.47334,17.029
1371.75,6.4739,5.422
1371.85,6.47445,23.335
1371.95,6.47499,12.185
1372.05,6.47552,28.19
1372.15,6.4761,8.003
1372.25,6.47673,14.382
1372.35,6.47744,14.924
1372.45,6.47818,12.86
1372.55,6.47891,16.346
1372.65,6.47969,20.699
1372.75,6.48045,19.867
1372.85,6.48118,11.02
1372.95,6.48192,13.305
1373.05,6.48264,12.515
1373.15,6.4833,12.582
1373.25,6.48391,11.302
1373.35,6.48452,31.025
1373.45,6.48514,22.307
1373.55,6.48578,13.518
1373.65,6.48634,50.048
1373.75,6.48687,9.158
1373.85,6.48749,4.297
1373.95,6.48812,15.336
1374.05,6.48865,33.029
1374.15,6.48918,13.504
1374.25,6.48976,15.596
1374.35,6.49047,11.649
1374.45,6.49124,18.588
1374.55,6.49193,21.364
1374.65,6.49257,21.519
1374.75,6.49324,14.462
1374.85,6.49393,20.869
1374.95,6.49453,34.844
1375.05,6.49512,24.266
1375.15,6.49578,24.482
1375.25,6.49649,27.654
1375.35,6.49711,13.925
1375.45,6.49761,21.421
1375.55,6.49821,12.779
1375.65,6.49896,13.414
1375.75,6.49971,17.788
1375.85,6.50047,21.011
1375.95,6.50125,22.113
1376.05,6.50193,17.282
1376.15,6.50254,31.034
1376.25,6.50312,11.247
1376.35,6.50374,40.061
1376.45,6.50454,37.426
1376.55,6.5053,26.469
1376.65,6.50586,14.768
1376.75,6.50654,26.296
1376.85,6.50723,42.114
1376.95,6.50788,45.659
1377.05,6.50862,39.815
1377.15,6.50926,23.921
1377.25,6.50975,13.181
1377.35,6.51031,29.879
1377.45,6.51097,19.463
1377.55,6.51166,24.79
1377.65,6.51223,21.251
1377.75,6.51269,17.64
1377.85,6.51328,12.217
1377.95,6.51408,24.026
1378.05,6.51492,36.749
1378.15,6.51563,23.46
1378.25,6.51626,12.233
1378.35,6.51689,23.752
1378.45,6.51746,26.289
1378.55,6.51802,8.564
1378.65,6.51861,8.93
1378.75,6.51919,15.919
1378.85,6.51973,17.787
1378.95,6.52032,19.232
1379.05,6.52096,17.404
1379.15,6.52155,32.218
1379.25,6.52215,12.664
1379.35,6.5228,19.431
1379.45,6.52348,14.576
1379.55,6.52412,24.856
1379.65,6.52468,9.256
1379.75,6.52523,17.522
1379.85,6.52583,9.579
1379.95,6.52659,24.728
1380.05,6.52736,23.828
1380.15,6.52809,14.696
1380.25,6.52886,21.282
1380.35,6.5295,19.946
1380.45,6.53012,21.58
1380.55,6.53086,18.496
1380.65,6.53157,15.25
1380.75,6.53224,13.317
1380.85,6.53291,6.693
1380.95,6.53352,12.537
1381.05,6.53407,13.864
1381.15,6.53456,44.324
1381.25,6.53507,15.86
1381.35,6.53562,21.467
1381.45,6.53616,15.958
1381.55,6.53668,9.495
1381.65,6.53725,16.274
1381.75,6.53793,11.782
1381.85,6.53872,18.321
1381.95,6.53942,19.825
1382.05,6.53998,9.509
1382.15,6.54053,30.504
1382.25,6.54116,20.119
1382.35,6.54191,10.85
1382.45,6.54265,13.863
1382.55,6.54333,25.22
1382.65,6.54398,13.133
1382.75,6.54463,26.243
1382.85,6.54523,26.972
1382.95,6.54577,12.207
1383.05,6.54635,11.752
1383.15,6.54694,5.573
1383.25,6.54748,14.538
1383.35,6.54802,13.779
1383.45,6.54863,18.4
1383.55,6.54923,22.825
1383.65,6.54978,14.361
1383.75,6.55052,9.498
1383.85,6.55144,14.088
1383.95,6.55224,25.117
1384.05,6.55297,19.969
1384.15,6.5538,13.902
1384.25,6.55454,43.844
1384.35,6.55516,24.705
1384.45,6.55579,14.747
1384.55,6.55636,50.387
1384.65,6.55687,18.566
1384.75,6.55744,15.606
1384.85,6.55804,6.71
1384.95,6.55862,29.565
1385.05,6.55924,17.455
1385.15,6.55992,12.165
1385.25,6.56056,17.104
1385.35,6.56114,19.889
1385.45,6.56168,30.302
1385.55,6.56222,23.606
1385.65,6.56277,7.925
1385.75,6.56342,13.85
1385.85,6.56428,11.372
1385.95,6.56512,18.862
1386.05,6.56581,20.025
1386.15,6.56644,21.736
1386.25,6.56709,13.047
1386.35,6.5678,12.492
1386.45,6.56842,36.774
1386.55,6.56895,18.506
1386.65,6.56949,50.557
1386.75,6.57011,11.185
1386.85,6.57085,14.586
1386.95,6.57159,26.863
1387.05,6.57222,16.306
1387.15,6.57278,18.288
1387.25,6.57352,16.038
1387.35,6.57428,16.118
1387.45,6.57492,13.102
1387.55,6.57563,12.735
1387.65,6.57625,10.25
1387.75,6.57673,20.641
1387.85,6.57722,10.994
1387.95,6.57773,13.868
1388.05,6.57821,9.329
1388.15,6.57867,18.984
1388.25,6.57919,28.775
1388.35,6.57978,14.786
1388.45,6.58042,34.347
1388.55,6.58107,17.281
1388.65,6.58173,31.37
1388.75,6.58238,26.809
1388.85,6.58304,14.056
1388.95,6.58374,19.325
1389.05,6.58447,8.738
1389.15,6.58515,10.196
1389.25,6.58571,21.828
1389.35,6.58647,18.844
1389.45,6.58732,19.842
1389.55,6.58803,13.081
1389.65,6.58875,21.126
1389.75,6.5896,28.784
1389.85,6.59041,24.326
1389.95,6.59112,15.999
1390.05,6.59192,26.487
1390.15,6.59273,25.198
1390.25,6.59343,22.074
1390.35,6.59402,9.129
1390.45,6.59457,15.073
1390.55,6.59514,10.748
1390.65,6.59577,22.412
1390.75,6.59638,23.327
1390.85,6.59696,10.011
1390.95,6.59756,17.765
1391.05,6.59813,13.41
1391.15,6.59865,16.581
1391.25,6.5992,15.348
1391.35,6.59981,19.497
1391.45,6.6005,22.897
1391.55,6.60117,12.237
1391.65,6.60172,28.527
1391.75,6.6023,14.255
1391.85,6.60298,14.056
1391.95,6.6038,26.832
1392.05,6.60457,52.282
1392.15,6.60522,16.347
1392.25,6.60588,16.876
1392.35,6.60656,28.591
1392.45,6.60721,12.413
1392.55,6.60778,12.485
1392.65,6.60832,16.654
1392.75,6.60883,9.342
1392.85,6.6094,17.984
1392.95,6.61002,13.908
1393.05,6.61066,14.753
1393.15,6.61141,19.523
1393.25,6.61209,16.168
1393.35,6.61259,29.891
1393.45,6.61313,7.661
1393.55,6.61381,10.056
1393.65,6.61445,21.44
1393.75,6.61503,12.219
1393.85,6.61563,11.415
1393.95,6.6162,11.386
1394.05,6.61675,16.949
1394.15,6.6174,15.441
1394.25,6.61812,39.375
1394.35,6.6188,24.789
1394.45,6.61952,13.941
1394.55,6.62026,24.656
1394.65,6.62094,27.251
1394.75,6.62158,19.69
1394.85,6.62217,12.91
1394.95,6.62275,6.923
1395.05,6.62334,8.805
1395.15,6.62398,10.973
1395.25,6.62469,13.177
1395.35,6.62542,17.61
1395.45,6.62607,10.686
1395.55,6.62664,16.737
1395.65,6.6272,25.24
1395.75,6.62785,16.391
1395.85,6.62873,13.3
1395.95,6.62968,21.38
1396.05,6.63059,15.363
1396.15,6.63143,15.655
1396.25,6.63218,17.031
1396.35,6.6329,22.62
1396.45,6.63345,13.059
1396.55,6.63396,15.529
1396.65,6.63461,6.882
