/* DESCRIPTION:
Reference:	Barbante, Carlo; Barnola, Jean-Marc; Becagli, Silvia; Beer, Jürg; Bigler, Matthias; Boutron, Claude F; Blunier, Thomas; Castellano, Emiliano; Cattani, Olivier; Chappellaz, Jérôme A; Dahl-Jensen, Dorthe; Debret, Maxime; Delmonte, Barbara; Dick, Dorothee; Falourd, Sonia; Faria, Sérgio H; Federer, Urs; Fischer, Hubertus; Freitag, Johannes; Frenzel, Andreas; Fritzsche, Diedrich; Fundel, Felix; Gabrielli, Paolo; Gaspari, Vania; Gersonde, Rainer; Graf, Wolfgang; Grigoriev, Dimitri; Hamann, Ilka; Hansson, Margareta E; Hoffmann, Georg; Hutterli, Manuel A; Huybrechts, Philippe; Isaksson, Elisabeth; Johnsen, Sigfús Jóhann; Jouzel, Jean; Kaczmarska, Marzena; Karlin, Torbjörn; Kaufmann, Patrik R; Kipfstuhl, Sepp; Kohno, Mika; Lambert, Fabrice; Lambrecht, Anja; Lambrecht, Astrid; Landais, Amaelle; Lawer, Gunther; Leuenberger, Markus Christian; Littot, Geneviève C; Loulergue, Laetitia; Lüthi, Dieter; Maggi, Valter; Marino, Federica; Masson-Delmotte, Valerie; Meyer, Hanno; Miller, Heinz; Mulvaney, Robert; Narcisi, Biancamaria; Oerlemans, Johannes; Oerter, Hans; Parrenin, Frédéric; Petit, Jean-Robert; Raisbeck, Grant M; Raynaud, Dominique; Röthlisberger, Regine; Ruth, Urs; Rybak, Oleg; Severi, Mirko; Schmitt, Jochen; Schwander, Jakob; Siegenthaler, Urs; Siggaard-Andersen, Marie-Louise; Spahni, Renato; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Traversi, Rita; Udisti, Roberto; Valero Delgado, Fernando; van den Broeke, Michiel R; van de Wal, Roderik S W; Wagenbach, Dietmar; Wegner, Anna; Weiler, Karin; Wilhelms, Frank; Winther, Jan-Gunnar; Wolff, Eric W (2006): One-to-one coupling of glacial climate variability in Greenland and Antarctica. Nature, 444, 195-198, https://doi.org/10.1038/nature05301
Data from:	https://doi.org/10.1594/PANGAEA.754444. Accessed 22 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Age [ka BP]	δ18O H2O [‰ SMOW]	Altitude cor [m] (Altitude difference for EDML ...)
1.7575	-44.59	-20.3
1.7645	-45.41	-20.38
1.7715	-45.22	-20.47
1.7785	-44.83	-20.55
1.7855	-45.25	-20.63
1.793	-44.7	-20.71
1.8005	-42.51	-20.79
1.808	-44.26	-20.9
1.8165	-44.31	-21.01
1.825	-44.63	-21.12
1.833	-43.96	-21.22
1.8415	-43.98	-21.33
1.85	-45.41	-21.44
1.858	-44.22	-21.55
1.866	-45.48	-21.66
1.874	-46.11	-21.76
1.882	-45.03	-21.87
1.89	-46.07	-21.98
1.898	-45.25	-22.08
1.906	-43.91	-22.17
1.9135	-44.53	-22.26
1.921	-44.23	-22.35
1.9285	-43.95	-22.44
1.9355	-43.47	-22.53
1.943	-44.34	-22.61
1.9505	-44.47	-22.7
1.9575	-44.84	-22.79
1.9645	-44.5	-22.88
1.9715	-44.34	-22.97
1.9785	-45.51	-23.06
1.9855	-44.89	-23.14
1.9925	-44.72	-23.23
2	-43.38	-23.33
2.0075	-43.92	-23.43
2.0145	-45.54	-23.53
2.022	-44.33	-23.64
2.0295	-43.29	-23.74
2.037	-45.67	-23.85
2.0445	-43.65	-23.95
2.0515	-43.32	-24.05
2.0585	-45.6	-24.16
2.0655	-44.36	-24.26
2.0725	-44.1	-24.37
2.0795	-45.78	-24.47
2.0865	-45.77	-24.58
2.094	-45.31	-24.68
2.1015	-46.12	-24.77
2.1085	-46.96	-24.86
2.1155	-43.92	-24.94
2.1225	-44.96	-25.03
2.1295	-44.41	-25.12
2.137	-44.36	-25.2
2.1445	-45.66	-25.29
2.1515	-44.08	-25.37
2.159	-43.62	-25.46
2.167	-43.35	-25.54
2.175	-42.28	-25.63
2.1825	-43.75	-25.71
2.19	-45.82	-25.8
2.198	-45.52	-25.89
2.2055	-45.74	-25.97
2.2125	-45.61	-26.06
2.22	-45.71	-26.15
2.2275	-44.21	-26.24
2.2345	-44.28	-26.33
2.242	-44.21	-26.42
2.2495	-44.03	-26.51
2.2565	-44.72	-26.6
2.264	-43.03	-26.69
2.272	-44.01	-26.78
2.28	-45.44	-26.87
2.288	-46.1	-26.96
2.2955	-44.66	-27.05
2.303	-45.75	-27.15
2.3115	-45.19	-27.25
2.321	-45.08	-27.35
2.3305	-44.07	-27.45
2.34	-44.59	-27.55
2.3495	-43.89	-27.65
2.3585	-45.36	-27.75
2.367	-45.04	-27.85
2.3755	-43.93	-27.95
2.384	-44.05	-28.05
2.3925	-45.07	-28.16
2.401	-44.51	-28.26
2.4095	-44.9	-28.37
2.418	-44.05	-28.49
2.4265	-44.81	-28.61
2.435	-44.07	-28.72
2.4435	-44.83	-28.84
2.452	-45.55	-28.95
2.4605	-45.85	-29.07
2.469	-44.66	-29.19
2.477	-44.65	-29.3
2.485	-46.08	-29.42
2.493	-44.86	-29.53
2.501	-44.59	-29.65
2.509	-44.48	-29.75
2.517	-44.99	-29.84
2.525	-45.5	-29.94
2.5325	-44.51	-30.04
2.54	-44.39	-30.13
2.5475	-45.04	-30.23
2.555	-46.64	-30.33
2.563	-45.38	-30.43
2.571	-43.87	-30.52
2.579	-45.63	-30.62
2.5865	-45.89	-30.72
2.594	-45.35	-30.81
2.602	-45.53	-30.91
2.61	-43.54	-30.99
2.6175	-45.07	-31.05
2.6245	-43.99	-31.12
2.632	-44.99	-31.19
2.6395	-45.07	-31.25
2.6465	-43.49	-31.32
2.654	-44.14	-31.38
2.662	-44.73	-31.45
2.67	-45.44	-31.52
2.678	-45.59	-31.58
2.6855	-44.61	-31.65
2.693	-44.5	-31.72
2.701	-44.11	-31.78
2.709	-44.5	-31.84
2.7165	-43.55	-31.88
2.724	-44.84	-31.92
2.7315	-44.64	-31.96
2.739	-44.01	-32
2.7465	-44.62	-32.03
2.7535	-43.97	-32.07
2.7605	-45.82	-32.11
2.768	-44.93	-32.15
2.7755	-44	-32.19
2.7825	-44.84	-32.23
2.7895	-44.98	-32.26
2.7965	-43.52	-32.3
2.8035	-42.94	-32.34
2.8105	-44.07	-32.38
2.8175	-44.41	-32.41
2.8245	-44.61	-32.44
2.8315	-45.23	-32.47
2.8385	-43.62	-32.51
2.8455	-44.36	-32.54
2.8525	-43.17	-32.57
2.8595	-44.27	-32.6
2.867	-44.84	-32.63
2.8745	-44.26	-32.67
2.882	-44.11	-32.7
2.89	-43.3	-32.73
2.8975	-42.52	-32.76
2.905	-44.71	-32.79
2.9125	-45.29	-32.83
2.92	-44.48	-32.88
2.9275	-44.92	-32.94
2.935	-44.5	-32.99
2.9425	-44.44	-33.04
2.95	-44.33	-33.1
2.9575	-43.81	-33.15
2.965	-44.21	-33.21
2.973	-44.1	-33.26
2.981	-44.52	-33.31
2.989	-43.98	-33.37
2.997	-45.06	-33.42
3.005	-44.47	-33.48
3.013	-44.67	-33.53
3.0205	-44.05	-33.6
3.028	-45.23	-33.66
3.036	-43.85	-33.72
3.0435	-45.57	-33.79
3.051	-45.33	-33.85
3.0585	-45.87	-33.92
3.066	-45.11	-33.98
3.0735	-44.75	-34.04
3.081	-44.95	-34.11
3.0885	-43.5	-34.17
3.0955	-44.87	-34.23
3.103	-44.76	-34.3
3.1105	-45.61	-34.36
3.118	-45.49	-34.4
3.1255	-43.96	-34.44
3.133	-44.13	-34.48
3.1405	-45.05	-34.52
3.148	-45.44	-34.56
3.1555	-45.65	-34.6
3.163	-45.13	-34.64
3.171	-44.31	-34.68
3.1795	-43.59	-34.72
3.1885	-42.6	-34.76
3.197	-44.85	-34.8
3.2055	-44	-34.83
3.214	-44.8	-34.88
3.222	-45	-34.92
3.23	-44.41	-34.97
3.2385	-44.6	-35.02
3.247	-44.38	-35.06
3.255	-44.55	-35.11
3.2635	-45.67	-35.15
3.272	-44.2	-35.2
3.28	-45.59	-35.24
3.288	-44.31	-35.29
3.296	-44.56	-35.34
3.304	-44.83	-35.38
3.312	-44.66	-35.43
3.32	-44.31	-35.47
3.328	-43.9	-35.52
3.336	-43.79	-35.57
3.344	-44.15	-35.62
3.3525	-43.76	-35.66
3.361	-44.59	-35.71
3.369	-44.72	-35.76
3.377	-44.23	-35.8
3.385	-44.32	-35.85
3.3935	-43.61	-35.9
3.402	-43.92	-35.95
3.41	-44.46	-36.04
3.418	-43.23	-36.14
3.426	-43.38	-36.23
3.434	-43.58	-36.33
3.442	-44.31	-36.43
3.4505	-44.54	-36.52
3.459	-45.28	-36.62
3.467	-45.11	-36.71
