# DESCRIPTION:
# Reference: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
# Data from: https://doi.org/10.1594/PANGAEA.737413. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],G. bulloides δ18O [‰ PDB],G. bulloides δ13C [‰ PDB]
10.97,55.46,1.66,-0.93
11,55.671,1.64,-1.35
11.03,55.883,1.67,-0.84
11.06,56.094,1.59,-0.71
11.09,56.306,1.78,-1.28
11.12,56.517,2.18,-0.73
11.15,56.729,2.27,-0.7
11.18,56.94,2.43,-0.81
11.21,57.4,2.29,-0.66
11.24,57.86,2.63,-0.77
11.27,58.32,2.3,-0.98
11.3,58.544,2.49,-0.61
11.33,58.768,2.36,-1.06
11.36,58.992,2.59,-0.55
11.39,59.216,2.24,-1.06
11.42,59.44,2.47,-0.65
11.45,59.61,2.13,-1.15
11.48,59.78,2.15,-0.02
11.51,59.949,2.08,-1.39
11.54,60.119,2.49,-0.95
11.57,60.289,2.66,-1.13
11.6,60.458,2.55,-0.89
11.63,60.628,2.97,-0.88
11.66,60.78,2.87,-0.8
11.69,60.932,2.63,-0.72
11.72,61.084,2.31,-0.52
11.75,61.236,1.85,-0.44
11.78,61.388,2.11,-0.66
11.81,61.54,2.09,-0.69
11.84,61.692,1.8,-0.79
11.87,61.844,1.89,-0.56
11.9,61.996,1.59,-0.67
11.93,62.148,2.3,-0.62
11.96,62.3,2.45,-0.53
11.98,62.442,2.2,-0.83
12.02,62.725,2.16,-1
12.05,62.938,2.57,-0.51
12.08,63.15,2.15,-0.57
12.11,63.363,2.35,-0.39
12.14,63.575,2.25,-0.71
12.17,63.788,2.08,-0.66
12.2,64,2.06,-0.62
12.23,64.295,2.23,-0.44
12.26,64.591,2.01,-0.66
12.29,64.886,2.04,-0.45
12.32,65.182,1.96,-0.18
12.35,65.477,1.92,-0.22
12.38,65.773,1.91,-0.27
12.41,66.068,1.8,-0.24
12.44,66.364,1.79,-0.11
12.47,66.659,1.81,-0.1
12.5,66.955,1.52,-0.08
12.53,67.25,1.33,-0.31
12.56,68.1,1.43,-0.25
12.59,68.95,1.51,0
12.62,69.8,1.57,0.02
12.65,70.442,1.48,-0.25
12.71,71.725,1.36,-0.21
12.74,72.367,1.53,-0.13
12.77,73.008,1.44,-0.23
