# DESCRIPTION:
# Reference: Ezgi Ünal-İmer, James Shulmeister, Jian-Xin Zhao, I. Tonguç Uysal, Yue-Xing Feng, Ai Duc Nguyen, Galip Yüce. 2015. An 80 kyr-long continuous speleothem record from Dim Cave, SW Turkey with paleoclimatic implications for the Eastern Mediterranean. Scientific Reports, 5, 13560. doi: 10.1038/srep13560.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/33672. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

depth [mm],Age [ka BP],d13C [per mil VPDB],d18O [per mil VPDB]
236,71.198,-8.54,-4.31
237,71.308,-8.44,-4.39
238,71.419,-7.52,-4.05
239,71.529,-8.09,-4.34
240,71.64,-8.5,-4.43
241,71.751,-9.65,-4.91
242,71.861,-9.87,-4.65
243,71.972,-9,-5.13
244,72.185,-6.28,-3.9
244.5,72.292,-7,-4.19
245,72.399,-7.88,-4.36
245.5,72.506,-7.02,-4.35
246,72.612,-7.05,-4.12
246.5,72.719,-7.41,-4.21
247,72.826,-6.94,-4.03
247.5,72.933,-7.76,-4.07
248,73.04,-7.82,-4.11
248.5,73.146,-8.16,-4.7
249,73.253,-8.3,-4.89
249.5,73.36,-8.72,-4.81
250,73.679,-8.91,-5.1
250.5,73.797,-8.62,-5.16
251,74.127,-8.3,-4.72
251.5,74.457,-8.22,-4.36
252,74.788,-8.83,-4.26
252.5,75.118,-8.12,-3.93
253,75.448,-6.73,-3.87
253.5,75.779,-5.1,-3.65
254,76.109,-6.38,-3.55
255,76.769,-5.94,-3.46
255.5,77.1,-5.24,-3.53
256,77.43,-4.71,-3.65
256.5,77.941,-6.06,-3.95
257,78.453,-6.19,-3.89
257.5,78.964,-8.24,-4.87
258,79.475,-9.07,-5.04
258.5,79.583,-7.12,-4.75
259,79.692,-7.39,-4.84
259.5,79.8,-7.23,-4.9
260,79.908,-6.86,-5.53
260.5,80.016,-7.7,-6.05
261,80.124,-7.73,-5.49
261.5,80.232,-7.41,-5.67
262,80.34,-7.12,-5.5
262.5,80.448,-7.36,-5.52
263,80.556,-7.44,-5.43
263.5,80.664,-7.32,-5.39
264,80.772,-7.18,-5.21
264.5,80.88,-7.28,-5.2
265,80.988,-8.66,-5.62
265.5,81.096,-9.04,-5.67
266,81.204,-8.76,-5.83
266.5,81.312,-8.82,-5.77
267,81.42,-8.95,-5.79
267.5,81.528,-9.07,-5.85
268,81.636,-8.84,-5.96
269,81.852,-8.94,-6.02
269.5,81.961,-7.37,-5.22
270,82.069,-7.33,-5.27
270.5,82.177,-7.9,-5.63
271,82.285,-7.87,-5.58
271.5,82.393,-8.26,-5.62
272,82.501,-8.46,-5.44
272.5,82.609,-8.42,-5.57
273,82.717,-8.42,-5.45
273.5,82.825,-8.55,-5.59
274,82.933,-8.67,-5.99
274.5,83.041,-8.83,-6.06
275,83.149,-8.72,-5.88
275.5,83.257,-8.78,-5.61
276,83.365,-8.76,-5.48
276.5,83.473,-8.78,-5.5
277,83.581,-8.72,-5.72
278,83.797,-8.81,-5.62
278.5,83.905,-8.81,-5.82
279,84.013,-8.82,-5.73
280,84.23,-8.98,-6
280.5,84.338,-9.12,-6
281,84.446,-9.21,-6.1
281.5,84.554,-8.89,-6.16
282,84.662,-9.23,-6.08
283,84.878,-8.67,-5.64
284,85.094,-8.95,-6.08
285,85.222,-8.72,-5.8
286,85.351,-8.68,-5.89
287,85.479,-8.61,-5.47
288,85.607,-8.13,-5.76
289,85.736,-8.12,-5.7
290,85.864,-7.18,-5.28
291,85.992,-7.45,-5.3
292,86.121,-8.06,-5.34
293,86.249,-8.1,-5.38
294,86.377,-7.58,-5.23
295,86.506,-7.53,-5.19
296,86.634,-8.09,-5.5
297,86.762,-7.65,-5.21
298,86.891,-7.89,-5.26
299,87.019,-7.93,-5.27
300,87.147,-7.24,-5.04
301,87.276,-7.62,-5.12
302,87.404,-7.48,-4.93
303,87.532,-6.99,-4.81
304,87.661,-7.78,-5.09
305,87.789,-7.76,-5.05
306,87.917,-7.53,-4.81
307,88.046,-7.94,-5.15
308,88.174,-9.04,-5.35
309,88.302,-9.2,-5.49
310,88.431,-9.22,-5.35
311,88.559,-8.65,-5.44
312,88.687,-8.67,-5.37
313,88.816,-8.72,-5.28
314,88.944,-8.61,-5.29
315,89.073,-9.3,-5.72
316,89.201,-9.63,-5.7
317,89.329,-9.7,-6.04
318,89.458,-9.81,-6.02
319,89.586,-9.48,-5.63
320,89.714,-8.78,-5.5
3.5,12.02,-8.65,-5.07
11.5,12.058,-9.06,-5.41
18,12.091,-8.58,-5.33
24.5,12.124,-9.3,-5.57
30,12.152,-9.18,-4.96
37,12.188,-9.02,-5.55
41.5,12.211,-8.85,-5.58
48.5,12.246,-9.05,-5.58
54,12.274,-8.81,-5.39
61.5,12.313,-9.44,-5.67
69.5,12.353,-9.55,-5.72
78,12.397,-9.19,-5.5
94.5,12.481,-8.44,-5.16
100,12.509,-8.9,-5.44
108,12.55,-9.13,-5.51
115.5,12.588,-9.21,-5.49
123.5,12.629,-9.24,-5.43
131,12.667,-9.41,-5.43
137,12.698,-8.88,-5.4
145.5,12.741,-8.08,-5.27
153.5,12.782,-7.59,-5.11
160,12.815,-7.02,-5.19
165.5,12.843,-7.66,-5.19
176,12.897,-7.32,-5.02
183,12.932,-7.61,-5.07
192,12.978,-7.49,-5
198,13.009,-7.88,-5.37
203,13.007,-8.41,-5.36
211,13.078,-8.26,-5.29
219.5,13.154,-8.32,-5.37
227.5,13.225,-8.24,-5.5
236,13.3,-8.95,-5.64
243,13.363,-7.86,-5.58
251,13.434,-9.09,-5.76
260.5,13.518,-8.95,-5.73
266.5,13.572,-8.58,-5.52
274,13.639,-7.66,-5.28
282.5,13.714,-6.89,-5.34
290.5,13.785,-7.96,-5.57
295.5,13.83,-8.4,-6.11
303.5,13.901,-7.57,-5.68
312.5,13.981,-7.45,-5.73
320,14.048,-7.77,-5.76
325.5,14.097,-8.08,-5.66
333.5,14.168,-8.35,-5.88
342.5,14.248,-8.66,-5.79
347.5,14.293,-7.88,-5.71
358,14.386,-8.14,-5.66
367,14.466,-8.56,-5.88
377,14.555,-7.91,-5.9
10,9.738,-9.71,-6.1
13,9.763,-11.51,-6.23
16,9.788,-11.14,-6.76
19,9.813,-11.19,-6.47
22,9.837,-11.63,-6.8
25,9.862,-10.63,-6.4
28,9.887,-11.74,-6.81
31,9.912,-11.28,-6.53
34,9.937,-11.05,-6.39
37,9.961,-11.35,-6.26
40,9.986,-11.14,-6.62
43,10.011,-11.63,-6.58
46,10.036,-11.3,-6.54
49,10.061,-11.58,-6.22
52,10.085,-11.83,-6.67
55,10.11,-11.65,-6.45
58,10.135,-11.55,-5.96
61,10.16,-11.67,-6.55
64,10.185,-11.58,-6.08
67,10.209,-11.24,-6.18
70,10.234,-12.11,-6.53
73,10.312,-11.81,-5.99
76,10.333,-11.68,-6.15
79,10.354,-11.52,-6.21
82,10.375,-11.72,-6.15
85,10.396,-11.76,-5.75
88,10.417,-11.3,-5.82
91,10.438,-11.04,-6.17
94,10.459,-10.92,-5.92
97,10.48,-11.51,-5.97
100,10.501,-12.07,-6.43
103,10.522,-11.64,-6.04
106,10.543,-12.1,-6.39
109,10.564,-11.47,-6.21
112,10.585,-11.46,-5.95
115,10.606,-11.19,-6.13
118,10.627,-11.16,-5.62
121,10.648,-11.1,-5.99
124,10.669,-11.08,-5.81
127,10.69,-10.98,-5.86
130,10.711,-11.38,-5.67
133,10.732,-11.14,-5.96
136,10.753,-11.12,-5.71
139,10.774,-10.39,-5.88
142,10.795,-10.83,-5.88
145,10.816,-11.46,-5.89
148,10.837,-11.6,-5.92
151,10.858,-12.11,-5.91
154,10.879,-12.55,-5.84
157,10.9,-12.54,-6.1
160,10.921,-12.08,-5.76
163,10.942,-12.03,-6.19
166,10.963,-11.46,-5.78
169,10.984,-11.24,-5.55
175,11.031,-11.7,-5.73
178,11.06,-11.5,-5.76
181,11.089,-11.39,-6.02
184,11.117,-11.4,-5.92
187,11.146,-10.62,-5.9
190,11.174,-10.89,-5.83
193,11.203,-11.26,-6.15
196,11.23,-10.78,-5.84
199,11.256,-11.44,-6.05
202,11.283,-11.48,-6
205,11.309,-10.66,-5.84
208,11.336,-11.06,-5.99
211,11.362,-10.71,-5.91
214,11.389,-10.1,-5.74
217,11.415,-9.94,-5.85
220,11.441,-9.5,-5.37
223,11.514,-8.95,-4.89
226,11.587,-8.69,-5.04
229,11.66,-8.9,-5.12
232,11.733,-9.16,-5.31
235,11.806,-9.78,-5.61
238,11.879,-9.17,-5.4
241,11.952,-8.65,-5.11
244,12.025,-8.22,-5.36
247,12.098,-7.97,-5.24
250,12.171,-8.77,-5.34
253,12.244,-8.81,-5.55
256,12.316,-9.07,-5.62
259,12.389,-8.58,-5.2
264,12.511,-7.65,-5.19
270,12.657,-8.63,-5.59
276,12.803,-7.77,-5.24
282,12.948,-8.95,-5.78
288,13.094,-8.05,-5.58
