# DESCRIPTION:
# Reference: Voelker, AHL; de Abreu, L (2011): A Review of Abrupt Climate Change Events in the Northeastern Atlantic Ocean (Iberian Margin): Latitudinal, Longitudinal and Vertical Gradients. In: Rashid, H; Polyak, L; Mosley-Thompson, E (eds.), Abrupt Climate Change: Mechanisms, Patterns, and Impacts. Geophysical Monograph Series (AGU, Washington D.C.), 193, 15-37, https://doi.org/10.1029/2010GM001021
# Data from: https://doi.org/10.1594/PANGAEA.737135. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth [m],Age [ka BP],Foram benth δ18O [‰ PDB],C. wuellerstorfi δ13C [‰ PDB]
23.03,220.75,4.52,-0.17
23.06,221,4.49,-0.25
23.09,221.25,4.65,-0.17
23.12,221.5,4.66,-0.19
23.18,222,4.51,0.18
23.21,222.25,4.74,0.14
23.24,222.5,4.64,0.07
23.27,222.75,4.77,0.12
23.3,223,4.97,0.21
23.33,223.778,4.68,0.6
23.36,224.556,4.72,0.25
23.39,225.333,4.55,0.51
23.42,226.111,4.54,0.34
23.45,226.889,4.42,-0.13
23.51,228.444,4.31,0.26
23.54,229.222,4.28,0.07
23.57,230,4.68,0.48
23.63,230.909,4.39,-0.08
23.66,231.364,4.33,0.41
23.69,231.818,4.08,
23.72,232.273,4.32,0.29
23.75,232.727,4.29,0.7
23.78,233.182,4.26,0.26
23.81,233.636,4.07,0.45
23.84,234.091,3.86,0.53
23.87,234.545,3.52,0.84
23.9,235,3.46,0.74
23.93,235.455,3.59,0.82
23.96,235.909,3.81,0.76
23.98,236.212,3.69,0.69
24.03,236.97,3.6,0.78
24.05,237.273,3.49,0.78
24.08,237.727,3.44,
24.11,238.182,3.43,0.64
24.14,238.636,3.37,0.64
24.17,239.091,3.51,0.52
24.2,239.545,3.38,0.75
24.23,240,3.21,
24.26,240.308,3.29,0.25
24.29,240.615,3.69,
24.32,240.923,3.61,
24.35,241.231,3.64,
24.38,241.538,3.62,
24.41,241.846,4.35,
24.44,242.154,4.41,0.55
24.47,242.462,4.36,
24.5,242.769,3.32,
24.53,243.077,4.22,0.62
24.56,243.385,4.21,0.34
24.59,243.692,3.94,-0.01
24.65,244.308,3.96,0.06
24.68,244.615,3.96,
24.71,244.923,4.25,
24.74,245.231,3.89,-0.07
24.77,245.538,4.08,0.12
24.8,245.846,4.29,0.2
24.83,246.154,4.59,
24.86,246.462,4.32,0.15
24.89,246.769,4.63,
24.92,247.077,4.63,0.26
24.98,247.692,4.56,0.22
25.04,248.308,4.67,0.4
25.07,248.615,4.73,0.1
25.1,248.923,3.93,
25.13,249.231,4.72,0.26
25.16,249.538,4.75,0.38
25.19,249.846,4.1,
25.22,250.154,4.19,
25.25,250.462,4.17,
25.28,250.769,4.67,0.45
25.31,251.077,4.54,0.33
25.34,251.385,4.72,0.14
25.37,251.692,4.63,0.13
25.4,252,4.96,0.46
25.43,252.167,4.74,0.46
25.46,252.333,4.75,0.3
25.52,252.667,4.65,0.35
25.55,252.833,4.7,0.44
25.58,253,4.62,0.48
25.61,253.167,4.52,0.18
25.64,253.333,4.16,0.15
25.67,253.5,3.89,0.42
25.7,253.667,4.58,0.27
25.73,253.833,4.55,0.3
25.76,254,4.62,-0.04
25.79,254.167,4.66,0.16
25.82,254.333,4.64,0.28
25.85,254.5,4.64,0.1
25.88,254.667,4.5,-0.04
25.91,254.833,4.54,0.06
25.94,255,3.55,
25.97,255.667,4.52,-0.03
26,256.333,4.28,-0.11
26.03,257,4.97,0.4
26.06,257.256,4.79,0.34
26.09,257.512,4.76,0.26
26.12,257.767,4.83,0.26
26.15,258.023,4.89,0.3
26.18,258.279,4.84,0.26
26.21,258.535,4.7,0.13
26.24,258.791,4.58,0.04
26.27,259.047,4.69,0.22
26.33,259.558,4.73,-0.08
26.36,259.814,4.52,
26.45,260.581,4.71,
26.51,261.093,4.58,
26.54,261.349,4.58,
26.57,261.605,4.58,
26.6,261.86,4.68,
26.63,262.116,4.46,
26.72,262.884,4.71,
26.75,263.14,4.67,
26.87,264.163,3.96,
26.93,264.674,4.63,
27.08,265.953,4.68,
27.17,266.721,4.73,
27.2,266.977,4.98,
27.23,267.233,4.79,
27.29,267.744,5.13,-1.58
27.32,268,4.4,
27.44,268.878,4.85,-1.46
27.47,269.098,4.83,
27.53,269.537,4.75,-0.32
27.56,269.756,4.78,-0.36
27.59,269.976,4.96,-0.27
27.62,270.195,4.83,-0.28
27.65,270.415,4.85,-0.28
27.68,270.634,4.85,-0.08
27.71,270.854,4.93,-0.09
27.74,271.073,4.82,-0.03
27.77,271.293,5.05,-0.03
27.8,271.512,4.74,-0.12
27.86,271.951,4.82,0.08
27.89,272.171,4.79,-0.07
27.92,272.39,4.96,0.15
27.95,272.61,4.68,0.02
27.98,272.829,4.92,0.01
28.01,273.049,4.9,0.02
28.04,273.268,4.76,-0.24
28.13,273.927,4.68,
28.16,274.146,4.76,0.64
28.19,274.366,4.78,0.17
28.22,274.585,4.78,0.27
28.25,274.805,4.6,0.01
28.28,275.024,4.75,-0.05
28.31,275.244,4.78,0.47
28.34,275.463,4.78,0.55
28.4,275.902,4.64,0.45
28.43,276.122,4.81,0.28
28.46,276.341,4.48,0.37
28.49,276.561,4.6,
28.55,277,4.61,0.7
28.58,277.421,4.46,0.41
28.61,277.842,4.62,0.22
28.64,278.263,4.33,0.64
28.67,278.684,4.4,0.64
28.7,279.105,4.34,0.79
28.73,279.526,4.39,0.8
28.76,279.947,4.21,0.79
28.79,280.368,4.24,0.77
28.82,280.789,4.19,0.87
28.85,281.211,4.1,0.85
28.88,281.632,4.05,0.74
28.91,282.053,3.97,0.78
28.94,282.474,4.1,0.9
28.97,282.895,4.09,0.8
29.03,283.737,4.03,0.91
29.06,284.158,4.03,0.79
29.09,284.579,4.09,0.89
29.12,285,3.99,0.83
29.15,285.421,4.04,0.85
29.18,285.842,3.9,0.73
29.21,286.263,4.52,-0.65
29.24,286.684,4.11,0.86
29.27,287.105,3.97,0.74
29.3,287.526,3.91,0.59
29.33,287.947,3.96,0.71
29.36,288.368,3.86,0.5
29.39,288.789,3.96,0.42
29.42,289.211,4.11,0.33
29.45,289.632,3.92,0.41
29.48,290.053,4.38,0.24
29.54,290.895,4.71,0.42
29.57,291.316,4.58,0.5
29.6,291.737,4.68,0.37
29.63,292.158,4.63,0.15
29.66,292.579,4.55,0.28
29.69,293,4.53,0.4
29.72,293.432,4.64,0.66
29.75,293.865,4.69,0.27
29.78,294.297,4.68,-0.1
29.81,294.73,4.75,0.71
29.84,295.162,4.64,0.36
29.87,295.595,4.66,0.59
29.9,296.027,4.83,0.56
29.93,296.459,4.51,0.44
29.96,296.892,4.63,0.5
29.98,297.18,4.71,0.49
30.02,297.757,4.38,
30.05,298.189,4.07,
30.08,298.622,4.53,0.79
30.14,299.486,4.34,
30.17,299.919,4.15,0.73
30.2,300.351,4.3,0.76
30.23,300.784,4.08,0.7
30.26,301.216,4.21,0.85
30.29,301.649,4.33,0.92
30.32,302.081,4.04,0.82
30.35,302.514,4.59,-0.27
30.38,302.946,4.01,
30.41,303.378,4.42,0.67
30.44,303.811,3.76,0.46
30.47,304.243,4.22,0.49
30.5,304.676,4.27,0.84
30.53,305.108,4.54,0.76
30.54,305.252,4.2,0.65
30.59,305.973,4.28,0.34
30.62,306.405,4.28,0.59
30.67,307.126,4.29,0.82
30.71,307.703,4.19,0.67
30.74,308.135,4,0.72
30.77,308.568,3.91,0.71
30.8,309,4.09,0.79
30.83,309.667,3.81,0.68
30.86,310.333,3.84,0.58
30.89,311,3.96,0.64
30.92,311.667,3.85,0.62
30.95,312.333,3.77,0.41
30.98,313,3.79,0.58
31.04,314.333,3.6,0.55
31.07,315,3.91,0.88
31.1,315.667,3.61,0.65
31.13,316.333,3.75,
31.16,317,3.96,0.69
31.19,317.556,3.93,0.86
31.22,318.111,3.76,0.78
31.25,318.667,3.8,0.8
31.28,319.222,3.84,0.87
31.31,319.778,3.62,0.82
31.4,321.444,3.5,0.72
31.43,322,3.41,0.79
31.46,322.556,3.33,0.84
31.49,323.111,3.28,0.74
31.52,323.667,3.37,0.85
31.55,324.222,3.47,0.88
31.58,324.778,3.27,0.85
31.61,325.333,3.34,0.82
31.64,325.889,3.38,0.81
31.67,326.444,3.44,0.74
31.7,327,3.35,0.7
31.73,327.556,3.23,0.55
31.76,328.111,3.25,0.51
31.79,328.667,3.14,0.52
31.82,329.222,3.11,0.39
31.85,329.778,3.11,0.48
31.88,330.333,3.14,0.36
31.94,331.444,3.02,0.3
31.97,332,3.57,-0.19
32.03,333.8,3.12,0.2
32.27,341,5.46,-1.49
32.3,341.19,5.33,-1.47
32.33,341.381,4.83,-0.49
32.39,341.762,5.14,-0.34
32.44,342.079,4.92,-0.43
32.51,342.524,5.16,-0.18
32.57,342.905,5.23,-0.04
32.6,343.095,5.25,0.03
32.63,343.286,4.75,-0.55
32.66,343.476,5.3,-0.16
32.69,343.667,5.19,-0.02
32.72,343.857,5.36,-0.18
32.75,344.048,5.16,0.15
32.78,344.238,5.06,-0.23
32.81,344.429,5.23,-0.2
32.84,344.619,5.21,-0.01
32.9,345,5.31,0.25
32.93,345.217,5.12,0.29
32.96,345.435,5.12,0.36
32.99,345.652,5.06,0.12
33.08,346.304,5.08,0.19
33.11,346.522,5.14,0.23
33.14,346.739,5.12,0.45
33.17,346.957,5.01,0.17
33.2,347.174,5.04,-0.03
33.23,347.391,5.05,0.25
33.26,347.609,4.82,0.17
33.29,347.826,4.93,0.13
33.32,348.043,4.91,0.14
33.35,348.261,5.05,0.36
33.38,348.478,5.04,0.21
33.41,348.696,4.81,-0.07
33.44,348.913,5.01,0.19
33.47,349.13,4.8,0.05
33.5,349.348,4.93,0.03
33.53,349.565,4.74,0.09
33.56,349.783,4.98,0.27
33.59,350,5.01,0.59
33.62,350.313,4.91,0.42
33.65,350.625,4.85,0.26
33.68,350.938,4.91,0.46
33.71,351.25,4.87,0.45
33.74,351.563,4.75,0.37
33.77,351.875,4.78,0.33
33.8,352.188,4.64,0.2
33.83,352.5,4.66,0.23
33.86,352.813,4.78,0.07
33.89,353.125,4.55,-0.08
33.92,353.438,4.53,0.22
