# DESCRIPTION:
# Reference: Gkinis, Vasileios; Vinther, Bo Møllesøe; Popp, Trevor J; et al. (2021): A 120,000-year long climate record from a NW-Greenland deep ice core at ultra-high resolution. Scientific Data, 8, 141, https://doi.org/10.1038/s41597-021-00916-9.
# Data from: https://doi.org/10.1594/PANGAEA.925552. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.
# Comment: Ages for 60.20567 ka b2k and earlier have been added using the age model from Rasmussen et al., 2013: https://doi.org/10.5194/cp-9-2713-2013, data accessed from https://www.iceandclimate.nbi.ku.dk/data/.

Depth ice/snow [m],Age [ka b2k] (GICC05),δ18O H2O [‰ SMOW],δD H2O [‰ SMOW]
1226.15,8.18493,-35.924,-280.41
1226.2,8.18538,-34.905,-270.05
1226.25,8.18583,-35.31,-273.25
1226.3,8.18629,-36.051,-279.55
1226.35,8.18677,-35.77,-276.84
1226.4,8.18736,-35.362,-274.13
1226.45,8.18805,-33.479,-257.73
1226.5,8.18874,-32.011,-244.84
1226.55,8.18943,-33.321,-257.49
1226.6,8.19007,-34.967,-272.32
1226.65,8.19049,-33.794,-261.04
1226.7,8.1909,-32.713,-251.76
1226.75,8.1916,-33.893,-262.49
1226.8,8.19221,-33.745,-258.66
1226.85,8.19266,-35.02,-269.11
1226.9,8.19324,-36.713,-282.99
1226.95,8.19413,-37.471,-288.84
1227,8.19461,-35.882,-275.84
1227.05,8.19511,-35.785,-276.58
1227.1,8.19573,-35.805,-277.29
1227.15,8.19659,-35.839,-277.91
1227.2,8.19754,-35.018,-269.88
1227.25,8.1985,-34.544,-267.09
1227.3,8.1994,-33.951,-262.68
1227.35,8.20018,-33.004,-253.46
1227.4,8.20095,-32.59,-251.19
1227.45,8.20165,-32.797,-253.34
1227.5,8.20251,-33.543,-258.62
1227.55,8.20327,-35.017,-270.46
1227.6,8.20379,-37.062,-289.62
1227.65,8.20431,-36.834,-286.1
1227.7,8.20483,-36.19,-279.19
1227.75,8.20535,-37.339,-291.62
1227.8,8.20587,-35.694,-276.09
1227.85,8.20692,-35.014,-271.06
1227.9,8.20773,-35.27,-272.58
1227.95,8.20851,-34.755,-267.38
1228,8.20918,-33.513,-258.16
1228.05,8.20965,-36.627,-284.36
1228.1,8.21017,-36.675,-284.35
1228.15,8.21079,-35.764,-276.06
1228.2,8.21159,-35.439,-273.55
1228.25,8.21242,-35.6,-274.81
