/* DESCRIPTION:
Reference:	Wang, X., Edwards, R. L., Auler, A. S., Cheng, H., Kong, X., Wang, Y., ... & Chiang, H. W. (2017). Hydroclimate changes across the Amazon lowlands over the past 45,000 years. Nature, 541(7636), 204-207, https://doi.org/10.1038/nature20787
Data from:	https://doi.org/10.1038/nature20787. Accessed 22 Nov 2022.
Comment:	Years were converted to kyr.
	Only PAR07 is included here.
*/
Age (kyr BP)	d18O	d13C
39.312	-4.31	-8.6
39.336	-4.5	-8.86
39.361	-4.34	-8.41
39.385	-4.68	-8.68
39.41	-4.21	-8.86
39.434	-4.34	-9.1
39.459	-4.47	-9.19
39.483	-4.64	-9.05
39.508	-4.13	-8.73
39.532	-4.42	-8.9
39.557	-4.34	-8.62
39.581	-4.9	-8.85
39.606	-4.49	-8.63
39.63	-4.8	-8.7
39.654	-4.47	-8.26
39.679	-4.7	-8.4
39.703	-4.75	-8.32
39.728	-4.84	-8.44
39.752	-4.37	-8.49
39.777	-4.64	-8.25
39.801	-4.75	-8.26
39.826	-4.52	-8.29
39.85	-4.77	-8.19
39.875	-4.53	-8.27
39.899	-4.47	-8.51
39.924	-3.99	-8.08
39.948	-3.96	-8.59
39.973	-4.12	-8.27
40.003	-3.8	-7.75
40.034	-3.87	-7.79
40.064	-3.74	-6.56
40.095	-3.85	-6.91
40.126	-3.73	-6.47
40.156	-3.24	-4.93
40.187	-3.15	-5.86
40.218	-3.34	-6.54
40.248	-3.36	-6.64
40.279	-3.37	-7.21
40.31	-3.35	-6.04
40.34	-3.34	-6.8
40.371	-3.49	-6.64
40.402	-3.33	-7.79
40.432	-3.53	-7.93
40.463	-3.52	-7.61
40.47	-3.79	-7.49
40.477	-3.69	-8.46
40.484	-3.72	-8.47
40.492	-3.77	-7.46
40.499	-3.73	-7.98
40.506	-3.79	-8.11
40.513	-3.85	-7.91
40.521	-4.08	-7.74
40.528	-3.94	-7.68
40.535	-3.54	-7.81
40.542	-3.71	-8.02
40.55	-3.72	-8.05
40.557	-3.34	-7.81
40.564	-3.8	-7.85
40.571	-3.28	-7.95
40.579	-3.71	-8.2
40.586	-3.75	-8.21
40.593	-3.71	-8.2
40.6	-3.89	-8.07
40.608	-3.89	-7.97
40.65	-3.75	-7.58
40.692	-3.6	-6.74
40.734	-3.35	-7.54
40.777	-3.52	-7.69
40.819	-3.56	-7.14
40.861	-3.69	-7.6
40.904	-3.71	-7.68
40.946	-3.55	-7.01
40.988	-3.61	-7.72
41.03	-3.52	-7.96
41.073	-3.6	-8.54
41.115	-3.7	-8.79
41.242	-3.56	-8.91
41.284	-3.84	-8.66
41.326	-3.92	-8.3
41.369	-3.75	-6.66
41.411	-3.6	-5.36
41.453	-3.46	-4.94
41.496	-3.38	-5.25
41.538	-3.32	-4.81
41.58	-3.28	-4.94
41.622	-3.35	-5.18
41.665	-3.39	-5.06
41.667	-3.24	-4.83
41.67	-3.03	-5.53
41.672	-3.13	-5.65
41.674	-3.16	-6.12
41.677	-3.14	-6
41.679	-3.31	-6.11
41.682	-3.28	-6.07
41.684	-3.38	-6.81
41.686	-3.12	-7.68
41.689	-3.3	-8.36
41.691	-3.22	-8.23
41.694	-3.37	-8.56
41.696	-3.35	-8.17
41.699	-3.46	-8.52
41.701	-3.33	-8.76
41.703	-3.65	-8.57
41.706	-3.18	-8.4
41.708	-3.58	-8.94
41.711	-3.53	-8.28
41.713	-3.5	-9.06
41.716	-3.77	-8.53
41.718	-3.99	-8.74
41.72	-3.72	-8.8
41.723	-3.5	-8.94
41.725	-3.57	-9
41.728	-3.86	-8.37
41.73	-3.78	-8.74
41.733	-3.74	-8.67
41.735	-3.84	-8.76
41.737	-3.89	-9
41.74	-3.51	-8.96
41.742	-3.44	-8.82
41.745	-3.93	-8.72
41.747	-3.89	-8.95
41.75	-3.76	-8.68
41.752	-3.99	-8.5
41.766	-4.1	-8.64
41.781	-4.41	-8.42
41.795	-4.47	-8.23
41.81	-4.06	-8.13
41.824	-4.49	-8.1
41.839	-4.19	-8.22
41.853	-4.27	-8.45
41.868	-4.57	-8.43
41.882	-4.17	-8.48
41.896	-4.38	-8.42
41.911	-4.4	-8.15
41.925	-4.47	-8.37
41.94	-4.76	-8.38
41.954	-4.46	-8.42
41.967	-4.43	-8.6
41.981	-4.34	-8.64
41.994	-4.63	-8.7
42.007	-4.82	-8.79
42.02	-4.14	-8.68
42.034	-4.31	-8.41
42.047	-4.36	-8.35
42.06	-4.66	-8.23
42.073	-4.69	-8.16
42.087	-4.23	-8.06
42.1	-4.14	-8.28
42.113	-4.45	-8.34
42.126	-4.19	-8.29
42.14	-4.16	-8.34
42.153	-4.21	-8.49
42.166	-4.46	-9.22
42.179	-4.6	-8.81
42.193	-4.38	-8.91
42.206	-4.12	-8.85
42.219	-4.36	-9.11
42.232	-4.09	-8.88
42.246	-4.17	-8.7
42.259	-4.37	-8.86
42.272	-4.31	-8.72
42.285	-3.96	-8.59
42.299	-4.32	-8.25
42.312	-4	-8.31
42.325	-4.33	-9.16
42.338	-4.03	-8.27
42.352	-4.04	-8.33
42.365	-3.76	-8.89
42.378	-3.97	-8.9
42.391	-3.93	-8.56
42.405	-3.99	-8.3
42.418	-3.93	-8.66
42.449	-3.53	-8.95
42.481	-3.65	-9.24
42.512	-3.7	-9.09
42.544	-3.86	-9.12
42.575	-3.46	-8.96
42.606	-3.69	-8.88
42.638	-4.03	-9.1
42.669	-4.24	-8.88
42.701	-3.76	-8.24
42.732	-4	-8.07
42.764	-3.59	-6.83
42.795	-3.59	-7.48
42.826	-3.02	-6.17
42.858	-3.01	-6.23
42.889	-3.12	-5.83
42.92	-3.43	-7.03
42.95	-3.58	-7.1
42.981	-3.33	-7.59
43.011	-3.37	-8.02
43.042	-3.29	-8.38
43.072	-3.33	-8.61
43.103	-3.8	-8.2
43.133	-3.44	-8.53
43.164	-3.38	-7.89
43.194	-3.81	-8.71
43.225	-4.03	-8.83
43.256	-3.98	-8.73
43.286	-4.07	-9.03
43.317	-3.64	-7.77
43.347	-3.67	-8.02
43.378	-3.94	-8.6
43.408	-3.58	-8.25
43.439	-3.96	-8.87
43.44	-3.92	-8.4
43.441	-3.58	-8.53
43.442	-3.75	-9.38
43.443	-3.84	-9.47
43.444	-3.83	-9.3
43.445	-3.78	-9.44
43.446	-3.74	-9.21
43.447	-3.9	-9.09
43.448	-3.92	-8.99
43.448	-4.07	-9
43.449	-3.86	-8.78
43.45	-3.84	-8.63
43.451	-3.59	-8.44
43.452	-3.42	-8.84
43.453	-3.56	-8.69
43.454	-3.79	-8.91
43.455	-4.06	-8.82
43.456	-3.79	-8.95
43.457	-4.21	-8.46
43.458	-3.96	-8.32
43.459	-4.24	-8.43
43.5	-4.53	-8.04
43.541	-4.62	-8.17
43.582	-4.86	-8.3
43.623	-4.88	-7.88
43.664	-4.52	-8.74
43.705	-4.54	-8.8
43.746	-4.8	-8.89
43.787	-4.3	-8.79
43.827	-4.44	-8.4
43.868	-4.73	-8.76
43.909	-4.56	-8.53
43.95	-4.29	-8.48
43.991	-4.54	-8.48
44.032	-4.25	-8.48
44.073	-4.62	-8.72
44.114	-4.76	-8.7
44.13	-4.66	-8.68
44.146	-4.17	-7.18
44.161	-4.15	-7.06
44.177	-4.29	-7.3
44.193	-4.42	-7.75
44.209	-4.73	-7.92
44.225	-4.5	-8.4
44.241	-4.94	-8.62
44.257	-4.86	-8.42
44.272	-4.18	-8.15
44.288	-4.54	-8.07
44.304	-4.23	-8
44.32	-4.24	-8.05
44.336	-4.56	-8.18
44.352	-4.33	-8.23
44.367	-4.47	-8.04
44.383	-4.28	-7.85
44.399	-4.11	-7.84
44.415	-4.58	-7.91
44.431	-4.56	-8.06
44.447	-4.31	-8.15
44.463	-4.47	-8.19
44.478	-4.39	-8.64
44.494	-4.38	-7.9
44.51	-4.34	-8.07
44.526	-4.15	-7.95
44.542	-4.5	-8.5
44.558	-4.33	-8.3
44.573	-3.8	-8.22
44.589	-3.89	-8.14
44.605	-3.97	-8.18
44.621	-4.37	-8.18
44.637	-4.05	-8.23
44.653	-4.02	-8.43
44.669	-3.6	-8.18
44.684	-4.33	-8.04
44.7	-4.2	-8.09
44.716	-3.82	-7.85
44.732	-4.11	-7.61
44.748	-3.86	-7.83
44.764	-4.23	-7.7
44.779	-3.7	-7.54
44.795	-3.24	-6.67
44.811	-3	-5.95
44.827	-3.27	-6.44
44.843	-3.02	-6.31
44.859	-3.27	-6.77
44.875	-3.31	-7.04
44.89	-3.3	-7.46
44.906	-3.31	-7.96
44.922	-3.46	-7.66
44.938	-3.62	-7.45
44.954	-3.97	-8.26
44.97	-3.7	-8.33
44.985	-3.26	-7.06
45.001	-3.55	-7.62
45.017	-3.83	-7.42
45.033	-3.53	-7.34
45.049	-3.68	-7.6
45.065	-3.8	-7.42
45.081	-3.75	-7.4
45.096	-3.49	-7.26
45.144	-3.57	-7.51
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
