# DESCRIPTION:
# Reference: Hodell, D.A., H.F. Evans, J.E.T. Channell, and J.H. Curtis. 2010. Phase relationships of North Atlantic ice-rafted debris and surface-deep climate proxies during the last glacial period. Quaternary Science Reviews, Vol. 29, pp. 3875-3886, https://doi.org/10.1016/j.quascirev.2010.09.006
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/11821. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth (cm),Age (kyrs SFCP04),log(K/Ti),3pt smooth log(K/Ti),Zr/Sr,3 pt smooth (Zr/Sr)
428.7,2.6926,0.05507,0.07309,0.11148,0.12185
428.95,2.7046,0.10044,0.07872,0.12505,0.11918
429.2,2.7166,0.09373,0.08423,0.11563,0.11951
429.45,2.7286,0.09163,0.09403,0.12393,0.12071
429.7,2.7405,0.0803,0.09168,0.12148,0.11933
429.95,2.7525,0.10406,0.08866,0.11749,0.12362
430.2,2.7645,0.08869,0.09085,0.11812,0.1233
430.45,2.7764,0.07863,0.09343,0.13711,0.1221
430.7,2.7884,0.10258,0.09051,0.12229,0.12566
430.95,2.8004,0.09321,0.08868,0.11549,0.12743
431.2,2.8124,0.08942,0.08785,0.13531,0.1289
431.45,2.8243,0.07957,0.08248,0.12695,0.13129
431.7,2.8363,0.07448,0.08157,0.14446,0.13471
431.95,2.8483,0.07571,0.0769,0.13423,0.13377
432.2,2.8603,0.08866,0.07548,0.1326,0.13699
432.45,2.8722,0.06605,0.07606,0.13062,0.13622
432.7,2.8842,0.0725,0.07871,0.14305,0.13726
432.95,2.8962,0.0774,0.0736,0.1406,0.14179
433.2,2.9082,0.08894,0.0779,0.13943,0.14213
433.45,2.9201,0.06313,0.0826,0.15526,0.13934
433.7,2.9321,0.08753,0.08747,0.13232,0.13883
433.95,2.9441,0.09598,0.08697,0.12906,0.13956
434.2,2.9561,0.10179,0.09192,0.13806,0.13765
434.45,2.968,0.08642,0.09254,0.14309,0.13741
434.7,2.98,0.08787,0.0906,0.14575,0.14068
434.95,2.992,0.09061,0.08431,0.13107,0.14103
435.2,3.0039,0.08629,0.08395,0.14544,0.13619
435.45,3.0159,0.07038,0.08083,0.13982,0.12827
