# DESCRIPTION:
# Reference: Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6417
# Comment: Empty data points were removed.

Depth [cm],Age [ka],Magnetic Susceptibility,d18O (G.ruber w.),d18O (U.peregr.),SST [C] from Mg/Ca,d18O (G. crassaf.),Coarse carb. [%]
555,26.458,NaN,-0.539,3.877,23.9,NaN,2.953
556,26.488,25,NaN,NaN,NaN,NaN,NaN
558,26.548,25,NaN,NaN,NaN,NaN,NaN
560,26.609,22,0.685,4.043,23.57,NaN,1.717
562,26.669,27,NaN,NaN,NaN,NaN,NaN
564,26.729,24,NaN,NaN,NaN,NaN,NaN
565,26.759,NaN,0.593,3.991,23.02,NaN,NaN
566,26.789,24,NaN,NaN,NaN,NaN,NaN
568,26.85,24,NaN,NaN,NaN,NaN,NaN
570,26.91,24,0.708,4.168,21.83,NaN,2.111
572,26.97,22,NaN,NaN,NaN,NaN,NaN
574,27.031,30,NaN,NaN,NaN,NaN,NaN
575,27.061,NaN,0.75,4.566,23.22,NaN,0.252
576,27.091,25,NaN,NaN,NaN,NaN,NaN
578,27.151,22,NaN,NaN,NaN,NaN,NaN
580,27.211,19,0.893,4.123,22.45,NaN,2.253
582,27.272,20,NaN,NaN,NaN,NaN,NaN
584,27.332,22,NaN,NaN,NaN,NaN,NaN
585,27.362,NaN,0.596,4.182,22.64,NaN,3.034
586,27.389,23,NaN,NaN,NaN,NaN,NaN
588,27.444,22,NaN,NaN,NaN,NaN,NaN
590,27.498,20,0.765,4.385,21.84,NaN,0.203
592,27.553,23,NaN,NaN,NaN,NaN,NaN
594,27.608,17,NaN,NaN,NaN,NaN,NaN
595,27.635,NaN,0.583,4.154,22.27,NaN,8.158
596,27.662,21,NaN,NaN,NaN,NaN,NaN
598,27.717,20,0.427,4.297,22.73,NaN,2.644
600,27.771,26,NaN,NaN,NaN,NaN,NaN
602,27.826,22,NaN,NaN,NaN,NaN,NaN
603,27.853,NaN,0.366,4.323,23.62,NaN,2.19
604,27.881,23,NaN,NaN,NaN,NaN,NaN
605,27.908,NaN,0.385,4.214,22.6,NaN,1.917
606,27.935,23,NaN,NaN,NaN,NaN,NaN
608,27.99,20,NaN,NaN,NaN,NaN,NaN
610,28.044,21,0.24,NaN,21.87,NaN,1.717
612,28.099,22,NaN,NaN,NaN,NaN,NaN
614,28.154,21,NaN,NaN,NaN,NaN,NaN
615,28.181,NaN,0.143,4.435,23.17,NaN,NaN
616,28.208,16,NaN,NaN,NaN,NaN,NaN
618,28.263,19,NaN,NaN,NaN,NaN,NaN
620,28.317,20,0.945,4.24,21.73,NaN,2.492
622,28.372,22,NaN,NaN,NaN,NaN,NaN
624,28.427,28,NaN,NaN,NaN,NaN,NaN
625,28.454,NaN,0.319,4.124,21.73,NaN,3.468
626,28.481,28,NaN,NaN,NaN,NaN,NaN
628,28.536,32,NaN,NaN,NaN,NaN,NaN
630,28.59,27,NaN,4.374,22.21,NaN,0.795
632,28.645,32,NaN,NaN,NaN,NaN,NaN
634,28.7,37,NaN,NaN,NaN,NaN,NaN
635,28.727,NaN,NaN,4.402,NaN,NaN,0.473
636,28.754,29,NaN,NaN,NaN,NaN,NaN
638,28.809,29,NaN,NaN,NaN,NaN,NaN
640,28.863,28,0.32,4.214,22.94,NaN,0.768
642,28.918,28,NaN,NaN,NaN,NaN,NaN
644,28.973,26,NaN,NaN,NaN,NaN,NaN
645,29,NaN,0.087,4.194,21.56,NaN,2.996
646,29.027,24,NaN,NaN,NaN,NaN,NaN
648,29.082,25,NaN,NaN,NaN,NaN,NaN
650,29.136,26,0.344,4.342,22.51,NaN,2.58
652,29.191,30,NaN,NaN,NaN,NaN,NaN
654,29.246,30,NaN,NaN,NaN,NaN,NaN
655,29.273,NaN,0.072,4.266,23.05,NaN,4.357
656,29.3,29,NaN,NaN,NaN,NaN,NaN
658,29.355,28,NaN,NaN,NaN,NaN,NaN
660,29.409,32,-0.417,4.126,23.42,NaN,3.841
662,29.464,33,NaN,NaN,NaN,NaN,NaN
664,29.519,28,NaN,NaN,NaN,NaN,NaN
665,29.546,NaN,-0.079,4.205,21.1,NaN,NaN
666,29.573,27,NaN,NaN,NaN,NaN,NaN
668,29.628,27,NaN,NaN,NaN,NaN,NaN
670,29.682,36,0.385,4.174,21.83,NaN,2.672
672,29.737,30,NaN,NaN,NaN,NaN,NaN
674,29.792,31,NaN,NaN,NaN,NaN,NaN
675,29.819,NaN,0.432,4.23,21.68,NaN,0.736
676,29.846,28,NaN,NaN,NaN,NaN,NaN
678,29.901,25,NaN,NaN,NaN,NaN,NaN
680,29.955,25,0,4.213,22.12,NaN,5.997
682,30.01,26,NaN,NaN,NaN,NaN,NaN
684,30.065,27,NaN,NaN,NaN,NaN,NaN
685,30.092,NaN,0.363,4.128,22.4,NaN,6.003
686,30.119,28,NaN,NaN,NaN,NaN,NaN
688,30.174,31,NaN,NaN,NaN,NaN,NaN
690,30.228,32,0.261,4.011,21.67,NaN,NaN
692,30.283,32,NaN,NaN,NaN,NaN,NaN
694,30.338,28,NaN,NaN,NaN,NaN,NaN
695,30.365,NaN,0.225,4.371,21.95,NaN,3.324
696,30.392,28,NaN,NaN,NaN,NaN,NaN
698,30.447,28,NaN,NaN,NaN,NaN,NaN
700,30.501,27,0.023,4.459,24.09,NaN,8.612
702,30.556,29,NaN,NaN,NaN,NaN,NaN
704,30.61,30,NaN,NaN,NaN,NaN,NaN
705,30.638,NaN,-0.17,4.384,23.63,NaN,4.979
706,30.665,33,NaN,NaN,NaN,NaN,NaN
708,30.72,27,NaN,NaN,NaN,NaN,NaN
