# DESCRIPTION:
# Reference: Nuernberg, D., M. Ziegler, C. Karas, R. Tiedemann, and M. Schmidt. 2008. Interacting Loop Current variability and Mississippi River discharge over the past 400 kyr. Earth and Planetary Science Letters, 272(1-2), 278-289, https://doi.org/10.1016/j.epsl.2008.04.051.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/6417
# Comment: Empty data points were removed.

Depth [cm],Age [ka],Magnetic Susceptibility,d18O (G.ruber w.),d18O (U.peregr.),SST [C] from Mg/Ca,d18O (G. crassaf.),Coarse carb. [%]
3054,343.572,23,NaN,NaN,NaN,NaN,NaN
3055,343.708,NaN,0.559,4.124,28.05,NaN,NaN
3056,343.843,24,NaN,NaN,NaN,NaN,NaN
3058,344.114,22,NaN,NaN,NaN,NaN,NaN
3060,344.385,17,0.169,4.189,28.35,NaN,1.341
3062,344.655,13,NaN,NaN,NaN,NaN,NaN
3064,344.926,16,NaN,NaN,NaN,NaN,NaN
3065,345.062,NaN,0.37,4.216,27.9,NaN,9.255
3066,345.197,18,NaN,NaN,NaN,NaN,NaN
3068,345.468,17,NaN,NaN,NaN,NaN,NaN
3070,345.738,23,0.421,4.27,27.09,NaN,NaN
3072,346.009,30,NaN,NaN,NaN,NaN,NaN
3074,346.28,17,NaN,NaN,NaN,NaN,NaN
3075,346.415,NaN,-0.872,4.212,28.08,NaN,6.561
3076,346.551,15,NaN,NaN,NaN,NaN,NaN
3078,346.822,19,NaN,NaN,NaN,NaN,NaN
3080,347.092,21,0.423,4.16,26.22,NaN,NaN
3082,347.363,23,NaN,NaN,NaN,NaN,NaN
3084,347.634,23,NaN,NaN,NaN,NaN,NaN
3085,347.769,NaN,-0.008,4.18,23.4,NaN,7.407
3086,347.905,20,NaN,NaN,NaN,NaN,NaN
3088,348.175,16,NaN,NaN,NaN,NaN,NaN
3090,348.446,20,0.35,4.199,26.76,NaN,NaN
3092,348.717,25,NaN,NaN,NaN,NaN,NaN
3094,348.988,23,NaN,NaN,NaN,NaN,NaN
3095,349.123,NaN,0.182,4.106,26.17,NaN,6.294
3096,349.258,25,NaN,NaN,NaN,NaN,NaN
3098,349.529,20,NaN,NaN,NaN,NaN,NaN
3100,349.8,22,-0.857,3.998,23.97,NaN,NaN
3102,350.071,24,NaN,NaN,NaN,NaN,NaN
3104,350.342,21,NaN,NaN,NaN,NaN,NaN
3105,350.477,NaN,-0.568,4.178,25.55,NaN,5.324
3106,350.612,15,NaN,NaN,NaN,NaN,NaN
3108,350.883,15,NaN,NaN,NaN,NaN,NaN
3110,351.154,17,-0.246,4.03,24.41,NaN,NaN
3112,351.425,20,NaN,NaN,NaN,NaN,NaN
3114,351.695,17,NaN,NaN,NaN,NaN,NaN
3115,351.831,NaN,-0.391,3.978,25.05,NaN,9.606
3116,351.966,20,NaN,NaN,NaN,NaN,NaN
3118,352.237,24,NaN,NaN,NaN,NaN,NaN
3120,352.508,21,-0.627,4.1,24.45,NaN,NaN
3122,352.778,13,NaN,NaN,NaN,NaN,NaN
3124,353.049,14,NaN,NaN,NaN,NaN,NaN
3125,353.185,NaN,-0.324,3.957,25.16,NaN,9.888
3126,353.32,11,NaN,NaN,NaN,NaN,NaN
3128,353.591,11,NaN,NaN,NaN,NaN,NaN
3130,353.862,10,0.038,4.078,24.27,NaN,NaN
3132,354.132,9,NaN,NaN,NaN,NaN,NaN
3134,354.403,10,NaN,NaN,NaN,NaN,NaN
3135,354.538,NaN,-0.219,3.805,24.1,NaN,11.358
3136,354.674,10,NaN,NaN,NaN,NaN,NaN
3138,354.945,9,NaN,NaN,NaN,NaN,NaN
3140,355.215,9,-0.501,3.929,24.47,NaN,NaN
3142,355.486,11,NaN,NaN,NaN,NaN,NaN
3144,355.757,14,NaN,NaN,NaN,NaN,NaN
3145,355.892,NaN,-0.454,3.89,24.64,NaN,11.683
3146,356.028,11,NaN,NaN,NaN,NaN,NaN
3148,356.298,15,-0.41,3.73,25.47,NaN,NaN
3150,356.569,15,NaN,NaN,NaN,NaN,NaN
3152,356.84,18,-0.961,3.636,25.6,NaN,7.836
3154,357.111,19,NaN,NaN,NaN,NaN,NaN
3155,357.246,NaN,-0.565,3.9,26.13,NaN,NaN
3156,357.382,20,NaN,NaN,NaN,NaN,NaN
3158,357.652,26,NaN,NaN,NaN,NaN,NaN
3160,357.923,NaN,-0.605,3.564,26.2,NaN,5.945
3162,358.194,27,NaN,NaN,NaN,NaN,NaN
3164,358.465,22,NaN,NaN,NaN,NaN,NaN
3165,358.6,NaN,-0.814,3.551,24.6,NaN,NaN
3166,358.735,22,NaN,NaN,NaN,NaN,NaN
3168,359.006,16,NaN,NaN,NaN,NaN,NaN
3170,359.277,16,-0.423,3.599,25.33,NaN,7.169
3172,359.548,17,NaN,NaN,NaN,NaN,NaN
3174,359.818,20,NaN,NaN,NaN,NaN,NaN
3175,359.954,NaN,-0.382,3.551,25.47,NaN,NaN
3176,360.089,18,NaN,NaN,NaN,NaN,NaN
3178,360.36,17,NaN,NaN,NaN,NaN,NaN
3180,360.631,19,-0.47,3.822,25.58,NaN,8.669
3182,360.902,21,NaN,NaN,NaN,NaN,NaN
3184,361.172,23,NaN,NaN,NaN,NaN,NaN
3185,361.308,NaN,-0.909,3.905,24.77,NaN,NaN
3186,361.443,26,NaN,NaN,NaN,NaN,NaN
3188,361.714,32,NaN,NaN,NaN,NaN,NaN
3190,361.985,NaN,-0.842,3.849,24.79,NaN,7.403
3192,362.255,15,NaN,NaN,NaN,NaN,NaN
3194,362.526,16,NaN,NaN,NaN,NaN,NaN
3195,362.662,NaN,-0.937,3.631,25.04,NaN,NaN
3196,362.797,17,NaN,NaN,NaN,NaN,NaN
3198,363.068,17,NaN,NaN,NaN,NaN,NaN
3200,363.338,20,-0.58,3.574,24.54,NaN,9.214
3202,363.609,18,NaN,NaN,NaN,NaN,NaN
3204,363.88,15,NaN,NaN,NaN,NaN,NaN
3205,364.015,NaN,-0.93,3.756,26.22,NaN,NaN
3206,364.151,15,NaN,NaN,NaN,NaN,NaN
3208,364.422,14,NaN,NaN,NaN,NaN,NaN
3210,364.692,15,-0.136,3.725,24.92,NaN,9.658
3212,364.963,22,NaN,NaN,NaN,NaN,NaN
3214,365.234,22,NaN,NaN,NaN,NaN,NaN
3215,365.369,NaN,-0.208,3.882,NaN,NaN,NaN
3216,365.505,13,NaN,NaN,NaN,NaN,NaN
3218,365.775,9,NaN,NaN,NaN,NaN,NaN
3220,366.046,12,0.434,3.894,25.03,NaN,9.573
3222,366.317,13,NaN,NaN,NaN,NaN,NaN
3224,366.588,12,NaN,NaN,NaN,NaN,NaN
3225,366.723,NaN,0.013,4.125,24.54,NaN,NaN
3226,366.858,11,NaN,NaN,NaN,NaN,NaN
3228,367.129,12,NaN,NaN,NaN,NaN,NaN
3230,367.4,12,0.479,4.133,24.8,NaN,15.199
3232,367.671,12,NaN,NaN,NaN,NaN,NaN
3234,367.942,11,NaN,NaN,NaN,NaN,NaN
3235,368.077,NaN,0.444,4.018,25.15,NaN,NaN
3236,368.212,12,NaN,NaN,NaN,NaN,NaN
3238,368.483,13,NaN,NaN,NaN,NaN,NaN
3240,368.754,14,-0.077,3.967,25.68,NaN,11.483
3242,369.025,15,NaN,NaN,NaN,NaN,NaN
3244,369.295,13,NaN,NaN,NaN,NaN,NaN
3245,369.431,NaN,-0.043,4.01,25.11,NaN,NaN
3246,369.566,13,NaN,NaN,NaN,NaN,NaN
3248,369.837,13,NaN,NaN,NaN,NaN,NaN
3250,370.108,13,0.039,3.935,26.2,NaN,12.209
3252,370.378,12,NaN,NaN,NaN,NaN,NaN
3254,370.649,11,NaN,NaN,NaN,NaN,NaN
3255,370.785,NaN,-0.199,4.043,26.52,NaN,NaN
3256,370.92,12,NaN,NaN,NaN,NaN,NaN
3258,371.191,12,NaN,NaN,NaN,NaN,NaN
3260,371.462,12,-0.183,4.083,25.82,NaN,12.771
3262,371.732,12,NaN,NaN,NaN,NaN,NaN
3264,372.003,12,NaN,NaN,NaN,NaN,NaN
3265,372.138,NaN,-0.442,4.068,25.61,NaN,NaN
3266,372.274,12,NaN,NaN,NaN,NaN,NaN
3268,372.545,11,NaN,NaN,NaN,NaN,NaN
3270,372.815,10,-0.508,4.074,25.16,NaN,13.006
3272,373.086,10,NaN,NaN,NaN,NaN,NaN
3274,373.357,11,NaN,NaN,NaN,NaN,NaN
3275,373.492,NaN,-0.312,4.04,25.15,NaN,NaN
3276,373.628,11,NaN,NaN,NaN,NaN,NaN
3278,373.898,7,NaN,NaN,NaN,NaN,NaN
3280,374.169,8,-0.675,3.755,25.83,NaN,15.655
3282,374.44,8,NaN,NaN,NaN,NaN,NaN
3284,374.711,9,NaN,NaN,NaN,NaN,NaN
3285,374.846,NaN,-0.437,4.012,25.32,NaN,NaN
3286,374.982,8,NaN,NaN,NaN,NaN,NaN
3288,375.252,9,NaN,NaN,NaN,NaN,NaN
3290,375.523,7,-0.101,4.018,25,NaN,15.461
3292,375.794,7,NaN,NaN,NaN,NaN,NaN
3294,376.065,5,NaN,NaN,NaN,NaN,NaN
3295,376.2,NaN,-0.199,3.878,24.76,NaN,NaN
3296,376.335,5,NaN,NaN,NaN,NaN,NaN
3298,376.606,6,-0.523,3.824,26.72,NaN,20.766
3300,376.877,8,NaN,NaN,NaN,NaN,NaN
3302,377.148,8,-0.675,3.837,25.14,NaN,NaN
3304,377.418,10,NaN,NaN,NaN,NaN,NaN
3305,377.554,NaN,-0.62,3.969,26.06,NaN,10.594
3306,377.689,11,NaN,NaN,NaN,NaN,NaN
3308,377.96,9,NaN,NaN,NaN,NaN,NaN
3310,378.231,9,-0.516,3.765,24.77,NaN,NaN
3312,378.502,9,NaN,NaN,NaN,NaN,NaN
3314,378.772,8,NaN,NaN,NaN,NaN,NaN
3315,378.908,NaN,-0.058,3.551,25.09,NaN,13.968
3316,379.043,8,NaN,NaN,NaN,NaN,NaN
3318,379.314,8,NaN,NaN,NaN,NaN,NaN
3320,379.585,9,-0.249,3.566,24.7,NaN,NaN
3322,379.855,7,NaN,NaN,NaN,NaN,NaN
3324,380.126,8,NaN,NaN,NaN,NaN,NaN
3325,380.262,NaN,-0.529,3.727,25.46,NaN,11.83
3326,380.397,7,NaN,NaN,NaN,NaN,NaN
3328,380.668,7,NaN,NaN,NaN,NaN,NaN
3330,380.938,7,-0.183,3.701,25.04,NaN,NaN
3332,381.209,7,NaN,NaN,NaN,NaN,NaN
3334,381.48,6,NaN,NaN,NaN,NaN,NaN
3335,381.615,NaN,-0.515,3.655,25.88,NaN,15.965
3336,381.751,7,NaN,NaN,NaN,NaN,NaN
3338,382.022,6,NaN,NaN,NaN,NaN,NaN
3340,382.292,6,-0.413,3.604,25.29,NaN,NaN
3342,382.563,7,NaN,NaN,NaN,NaN,NaN
3344,382.834,7,NaN,NaN,NaN,NaN,NaN
3345,382.969,NaN,-0.826,3.582,25.69,NaN,10.282
3346,383.105,8,NaN,NaN,NaN,NaN,NaN
3348,383.375,7,NaN,NaN,NaN,NaN,NaN
3350,383.646,7,-0.611,3.639,26.41,NaN,NaN
3352,383.917,6,NaN,NaN,NaN,NaN,NaN
3354,384.188,1,NaN,NaN,NaN,NaN,NaN
3355,384.323,NaN,-0.339,3.655,25.42,NaN,13.586
3356,384.458,6,NaN,NaN,NaN,NaN,NaN
3358,384.729,4,NaN,NaN,NaN,NaN,NaN
3360,385,3,-0.732,3.753,26.82,NaN,NaN
3362,385.533,5,NaN,NaN,NaN,NaN,NaN
3364,386.067,3,NaN,NaN,NaN,NaN,NaN
3365,386.333,NaN,-0.365,3.63,25.37,NaN,12.026
3366,386.6,3,NaN,NaN,NaN,NaN,NaN
3368,387.133,3,NaN,NaN,NaN,NaN,NaN
3370,387.667,3,-0.595,3.496,27.22,NaN,NaN
3372,388.2,2,NaN,NaN,NaN,NaN,NaN
3374,388.733,1,NaN,NaN,NaN,NaN,NaN
3375,389,NaN,-0.105,3.576,26.25,NaN,10.103
3376,389.267,2,NaN,NaN,NaN,NaN,NaN
3378,389.8,2,NaN,NaN,NaN,NaN,NaN
3380,390.333,2,-0.279,3.418,26.57,NaN,NaN
3382,390.867,0,NaN,NaN,NaN,NaN,NaN
3384,391.4,2,NaN,NaN,NaN,NaN,NaN
3385,391.667,NaN,-0.221,3.477,27.26,NaN,10.594
3386,391.933,2,NaN,NaN,NaN,NaN,NaN
3388,392.467,2,NaN,NaN,NaN,NaN,NaN
3390,393,1,-0.912,3.441,25.82,NaN,NaN
3392,393.533,1,NaN,NaN,NaN,NaN,NaN
3394,394.067,0,NaN,NaN,NaN,NaN,NaN
3395,394.333,NaN,-0.742,3.46,26.41,NaN,10.67
3396,394.6,2,NaN,NaN,NaN,NaN,NaN
3398,395.133,1,NaN,NaN,NaN,NaN,NaN
3400,395.667,3,-0.891,2.951,25.72,NaN,NaN
3402,396.2,0,NaN,NaN,NaN,NaN,NaN
3404,396.733,1,NaN,NaN,NaN,NaN,NaN
3405,397,NaN,-0.767,2.766,26.39,NaN,9.882
3406,397.267,1,NaN,NaN,NaN,NaN,NaN
3408,397.8,0,NaN,NaN,NaN,NaN,NaN
3410,398.333,1,-0.368,2.952,25.26,NaN,NaN
3412,398.867,2,NaN,NaN,NaN,NaN,NaN
3414,399.4,3,NaN,NaN,NaN,NaN,NaN
3415,399.667,NaN,-0.643,2.802,25.76,NaN,8.479
3416,399.933,2,NaN,NaN,NaN,NaN,NaN
