# DESCRIPTION:
# Reference: T.C. Johnson, J.P. Werne, E.T. Brown, A. Abbott, M. Berke, B.A. Steinman, J. Halbur, S. Contreras, S. Grosshuesch, A. Deino, C.A. Scholz, R.P. Lyons, S. Schouten, and J.S. Sinninghe Damste. 2016. A progressively wetter climate in southern East Africa over the past 1.3 million years. Nature, 537(7619), 220-224. doi: 10.1038/nature19065.
# Data from: https://www.ncei.noaa.gov/access/paleo-search/study/21890. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.

Age [ka BP],T [deg C],lake level change [m],13C (leaf wax) [per mil]
607.57755,24.47,-189,NaN
610.67947,NaN,-150,-28
610.69055,21.41,NaN,NaN
613.55982,NaN,0,NaN
613.57459,24.51,NaN,NaN
616.92024,NaN,-142,-27.3
616.92393,23.66,NaN,NaN
619.86337,21.57,NaN,NaN
619.87445,NaN,-398,NaN
623.38257,NaN,-322,NaN
623.38996,26.42,NaN,NaN
626.29247,21.27,NaN,NaN
626.29985,NaN,-265,-24.13
629.72304,22.32,NaN,NaN
629.73412,NaN,-274,NaN
632.82496,24.01,NaN,NaN
632.83604,NaN,-175,-28.03
636.11152,24.15,NaN,NaN
636.1226,NaN,-59,NaN
638.61521,24.61,NaN,NaN
638.63368,NaN,-167,NaN
640.81241,NaN,-28,-29
640.82718,24.34,NaN,NaN
643.69276,NaN,-122,NaN
645.41359,23.37,NaN,NaN
645.42836,NaN,-190,NaN
646.72083,22.25,-194,-26.33
649.54579,23.69,NaN,NaN
649.56425,NaN,-228,NaN
652.66617,22.76,-292,NaN
655.32496,NaN,-280,-28.6
655.33235,23.38,NaN,NaN
658.09453,NaN,-192,NaN
658.10931,21.71,NaN,NaN
660.59823,23.44,NaN,NaN
660.60561,NaN,-86,NaN
661.40694,23.99,NaN,NaN
661.41802,NaN,-86,-27.5
667.4003,NaN,-95,NaN
667.40768,24.49,NaN,NaN
669.5421,NaN,-320,-27.45
669.55687,22.59,NaN,NaN
672.64402,NaN,-257,NaN
675.45052,NaN,-307,NaN
678.40473,NaN,-382,NaN
678.41581,22.22,NaN,NaN
682.2452,22.82,-373,NaN
