# DESCRIPTION:
# Reference: Hodell, DA; Channell, JET (2016): Mode transitions in Northern Hemisphere glaciation: co-evolution of millennial and orbital variability in Quaternary climate. Climate of the Past, 12(9), 1805-1828, https://doi.org/10.5194/cp-12-1805-2016
# Data from: https://doi.org/10.1594/PANGAEA.871934. Accessed 11 Nov 2022.
# Comment: Data was not modified in any way.

Depth cr mean [rmcd],Age [ka BP],δ18O bulk carb [‰ PDB]
11.065,180.05,1.41
11.085,180.51,1.01
11.105,180.98,1.35
11.125,181.44,1.68
11.145,181.91,2
11.165,182.38,2.04
11.185,182.84,2.23
11.205,183.31,2.41
11.225,183.78,2.39
11.245,184.24,2.29
11.265,184.71,1.78
11.285,185.17,2.08
11.305,185.64,2.43
11.325,186.11,1.79
11.345,186.57,1.9
11.365,187.04,1.95
11.385,187.5,2.25
11.405,187.97,1.95
11.425,188.44,1.41
11.445,188.9,1.73
11.465,189.37,1.36
11.485,189.83,1.47
11.505,190.3,1.55
11.525,190.77,1.26
11.545,191.11,1.31
11.565,191.34,1.23
11.585,191.57,1.21
11.605,191.8,0.94
11.625,192.02,1.11
11.645,192.25,0.83
11.665,192.48,1
11.685,192.7,0.42
11.705,192.93,0.9
11.725,193.16,-1.09
11.745,193.39,-0.11
11.765,193.61,-2.69
11.78,193.78,-2.83
11.805,194.07,-0.19
11.825,194.3,0.34
11.845,194.52,0.61
11.865,194.75,1.23
11.885,194.98,1.55
11.905,195.2,1.65
11.925,195.43,1.84
11.945,195.66,1.85
11.965,195.89,1.76
11.985,196.11,1.78
12.005,196.34,1.85
12.025,196.57,1.72
12.045,196.8,1.68
12.065,197.02,1.66
12.085,197.25,1.75
12.105,197.48,1.7
12.125,197.7,1.72
12.145,197.93,1.63
12.165,198.16,1.68
12.185,198.39,1.61
12.205,198.61,1.62
12.225,198.84,1.65
12.245,199.07,1.57
12.265,199.3,1.58
12.285,199.52,1.64
12.305,199.75,1.62
12.325,199.98,1.53
12.345,200.2,1.59
12.365,200.43,1.62
12.385,200.66,1.69
12.405,200.89,1.58
12.425,201.15,1.5
12.45,201.54,1.41
12.465,201.77,1.45
12.485,202.08,1.49
12.505,202.38,1.52
12.525,202.69,1.62
12.545,203,1.73
12.565,203.31,1.74
12.585,203.62,1.87
12.61,204,1.86
12.63,204.31,1.82
12.65,204.62,1.84
12.67,204.92,1.87
12.69,205.23,1.93
12.71,205.54,1.88
12.73,205.85,1.85
12.75,206.15,1.92
12.77,206.46,1.91
12.79,206.77,1.85
12.81,207.08,1.84
12.83,207.38,1.85
12.85,207.69,1.9
12.87,208,1.88
12.89,208.31,1.84
12.91,208.62,1.79
12.93,208.92,1.82
12.95,209.23,1.93
12.97,209.54,1.84
12.99,209.85,1.9
13.01,210.15,1.87
13.03,210.46,1.78
13.05,210.77,1.86
13.07,211.08,1.75
13.09,211.38,1.76
13.11,211.69,1.81
13.13,212,1.74
13.15,212.31,1.77
13.17,212.62,1.7
13.19,212.92,1.57
13.21,213.23,1.7
13.23,213.54,1.8
13.25,213.85,1.64
13.27,214.15,1.49
13.29,214.46,1.45
13.31,214.77,1.46
13.33,215.08,1.43
13.35,215.38,1.47
13.37,215.69,1.36
13.39,216,1.34
13.41,216.31,1.49
13.43,216.62,1.41
13.45,216.92,1.28
13.47,217.23,1.2
13.49,217.54,1.23
13.51,217.85,1.2
13.53,218.15,1.05
13.55,218.46,0.79
13.57,218.77,0.55
13.59,219.08,0.12
13.61,219.38,0.13
13.63,219.69,-1.63
13.65,220,-0.49
13.67,220.27,-1.15
13.69,220.55,0.04
13.71,220.82,-0.16
13.73,221.1,-0.07
13.75,221.37,0.4
13.77,221.64,-0.34
13.79,221.92,-0.23
13.81,222.19,0.85
13.83,222.46,0.86
13.85,222.74,1.15
13.87,223.01,1.22
13.89,223.29,1.45
13.91,223.56,1.66
13.93,223.83,1.78
13.95,224.11,1.63
13.97,224.38,1.7
13.99,224.65,1.52
14.01,224.93,1.48
14.03,225.2,1.37
14.05,225.48,1.55
14.07,225.75,1.22
14.09,226.02,1.37
14.11,226.3,1.73
14.13,226.57,1.62
14.15,226.85,1.56
14.17,227.12,1.41
14.19,227.39,1.78
14.21,227.67,1.77
14.23,227.94,1.77
14.25,228.21,1.67
14.29,228.76,1.84
14.295,228.83,1.78
14.31,229.04,1.74
14.33,229.31,1.78
14.35,229.58,1.84
14.37,229.86,1.63
14.39,230.13,1.8
14.41,230.4,1.8
14.43,230.68,1.75
14.45,230.95,1.76
14.47,231.23,1.75
14.49,231.5,1.72
14.51,231.77,1.56
14.53,232.05,1.58
14.55,232.32,1.52
14.57,232.6,1.43
14.59,232.87,1.52
14.61,233.14,1.56
14.63,233.42,1.63
14.65,233.69,1.43
14.67,233.96,1.31
14.69,234.24,1.48
14.71,234.51,1.28
14.73,234.79,1.26
14.75,235.06,1.17
14.77,235.33,1.3
14.79,235.61,1.33
14.81,235.88,1.2
14.83,236.15,1.24
14.85,236.43,1.24
14.87,236.7,1.13
14.89,236.98,1.19
14.91,237.25,1.18
14.93,237.52,1
14.95,237.8,0.24
14.97,238.07,0.93
14.99,238.35,0.75
15.01,238.62,0.79
15.03,238.89,0.58
15.05,239.17,0.47
15.07,239.44,0.26
15.09,239.71,0.22
15.11,239.99,-0.06
15.13,240.26,-0.07
15.15,240.54,-2.61
15.17,240.81,-3.17
15.19,241.08,-2.97
15.21,241.36,-3.76
15.23,241.63,-5.07
15.25,241.9,-5.09
15.27,242.18,-5.07
15.29,242.45,-5.08
15.31,242.73,-3.99
15.33,243,-2.34
15.35,243.28,-2.13
15.37,243.55,-1.31
15.39,243.83,-1.49
15.41,244.11,-0.74
15.43,244.39,-0.27
15.45,244.66,0.86
15.47,244.94,1.39
15.49,245.22,1.46
15.51,245.5,1.71
15.53,245.77,1.59
15.55,246.05,1.47
15.57,246.33,1.43
15.59,246.61,1.25
15.61,246.88,-0.2
15.63,247.16,0.93
15.65,247.44,-0.05
15.67,247.72,-2.25
15.69,247.99,-2.99
15.71,248.27,-4.67
15.73,248.55,-5.31
15.75,248.82,-1.57
15.77,249.1,1.59
15.79,249.38,1.92
15.81,249.66,2.09
15.83,249.93,2.07
15.85,250.21,2.02
15.87,250.49,2.14
15.89,250.77,2.01
15.91,251.04,2.13
15.93,251.32,2.13
15.95,251.6,2.24
15.97,251.88,1.96
15.99,252.15,2.29
16.01,252.43,1.85
16.03,252.71,2.08
16.05,252.99,2.35
16.07,253.26,2.31
16.09,253.54,2.4
16.11,253.82,2.42
16.13,254.09,2.25
16.15,254.37,2.42
16.17,254.65,2.25
16.19,254.93,2.2
16.21,255.2,1.92
16.23,255.48,1.58
16.25,255.76,1.7
16.27,256.04,1.57
16.29,256.31,1.51
16.31,256.59,1.45
16.33,256.87,1.22
16.35,257.15,1.14
16.37,257.42,0.77
16.39,257.7,0.44
16.41,257.98,0.42
16.43,258.26,-0.35
16.45,258.53,-0.49
16.47,258.81,-0.89
16.49,259.09,-2.24
16.51,259.36,-4.29
16.53,259.64,-4.5
16.55,259.92,-4.95
16.57,260.2,-5.36
16.59,260.47,-5.3
16.61,260.75,-5.33
16.63,261.03,-5.42
16.65,261.31,-5.47
16.67,261.58,-5.43
16.69,261.86,-5.34
16.71,262.14,-5.4
16.73,262.42,-5.31
16.75,262.69,-5.02
16.77,262.97,-2.7
16.79,263.25,0.67
16.81,263.53,2.09
16.83,263.8,1.96
16.85,264.08,1.94
16.87,264.36,1.96
16.89,264.64,2.24
16.91,264.91,2.32
16.93,265.19,2.17
16.95,265.47,2.15
16.97,265.74,2.35
16.99,266.02,2.7
17.01,266.3,2.32
17.03,266.58,2.24
17.05,266.85,2.3
17.07,267.13,2.07
17.09,267.41,1.79
17.11,267.69,1.63
17.13,267.96,1.71
17.15,268.24,1.29
17.17,268.52,1
17.19,268.8,0.13
17.21,269.07,0
17.23,269.35,-0.32
17.25,269.63,-0.92
17.27,269.91,-0.98
17.29,270.18,-1.14
17.31,270.46,-0.62
17.33,270.74,-2
17.35,271.01,-0.98
17.37,271.29,-1.99
17.39,271.57,-0.63
17.41,271.85,-1.38
17.43,272.12,-0.68
17.45,272.4,-1.61
17.47,272.68,-1.58
17.49,272.96,-1.89
17.51,273.23,-1.63
17.53,273.51,-0.39
17.55,273.79,-0.35
17.57,274.07,-1.31
17.59,274.34,0.98
17.61,274.62,-1.15
17.63,274.9,-0.92
17.65,275.18,-0.03
17.67,275.45,0.2
17.69,275.73,0.61
17.71,276.01,1.23
17.73,276.28,2.17
17.75,276.56,2.22
17.77,276.84,2.31
17.79,277.12,2.38
17.81,277.39,2.41
17.83,277.67,2.28
17.85,277.95,2.53
17.87,278.23,2.17
17.89,278.5,1.99
17.91,278.78,2.16
17.93,279.06,2.56
17.95,279.34,2.53
17.97,279.61,2.67
17.99,279.89,2.63
18.01,280.17,2.63
18.03,280.45,2.63
18.05,280.72,2.61
18.07,281,2.7
18.09,281.32,2.69
18.11,281.65,2.56
18.13,281.97,2.65
18.15,282.29,2.62
18.17,282.62,2.67
18.19,282.94,2.55
18.21,283.26,2.34
18.23,283.59,2.16
18.25,283.91,2.28
18.27,284.24,2.42
18.29,284.56,2.19
18.31,284.88,2.29
18.33,285.21,2.15
18.35,285.53,2.3
18.37,285.85,2.17
18.39,286.18,2.13
18.41,286.5,2.09
18.43,286.82,2.07
18.45,287.15,1.94
18.47,287.47,2.08
18.49,287.79,2.13
18.51,288.12,2.19
18.53,288.44,2.1
18.55,288.76,2.17
18.57,289.09,2.13
18.59,289.41,2.11
18.61,289.74,2.04
18.63,290.06,1.93
18.65,290.38,1.56
18.67,290.71,1.82
18.69,291.03,2.13
18.71,291.35,1.52
18.73,291.68,1.24
18.75,292,2.1
18.77,292.28,2.11
18.79,292.55,1.27
18.81,292.83,1.59
18.83,293.11,1.54
18.85,293.39,1.55
18.87,293.66,1.17
18.89,293.94,1.41
18.91,294.22,2.13
18.93,294.49,2.05
18.95,294.77,2.33
18.97,295.05,2.28
18.99,295.32,2.05
19.01,295.6,2.22
19.03,295.88,2.04
19.05,296.16,1.84
19.07,296.43,2.08
19.09,296.71,1.67
19.11,296.99,1.12
19.13,297.26,2.12
19.15,297.54,2.14
19.17,297.82,1.87
19.19,298.09,1.6
19.21,298.37,2.13
19.23,298.65,1.85
19.25,298.93,1.87
19.27,299.2,2.04
19.29,299.48,1.97
19.31,299.76,2.04
19.33,300.03,2.22
19.35,300.31,1.99
19.37,300.59,1.87
19.39,300.87,1.9
19.41,301.14,1.86
19.43,301.42,1.87
19.45,301.7,1.76
19.47,301.97,1.61
19.49,302.25,1.61
19.51,302.53,1.8
19.53,302.8,1.64
19.55,303.08,1.59
19.57,303.36,1.93
19.59,303.64,2.08
19.61,303.91,2.14
19.63,304.19,1.99
19.65,304.47,2.03
19.67,304.74,1.91
19.69,305.02,2.13
19.71,305.3,2.2
19.73,305.57,2.25
19.75,305.85,2.36
19.77,306.13,2.18
19.79,306.41,2.25
19.81,306.68,2.04
19.83,306.96,2.11
19.85,307.24,1.96
19.87,307.51,1.73
19.89,307.79,2.05
19.91,308.07,1.89
19.93,308.35,1.63
19.95,308.62,1.75
19.97,308.9,1.39
19.99,309.18,1.55
20.01,309.45,1.5
20.03,309.73,1.53
20.05,310.01,1.59
20.07,310.28,1.52
20.09,310.56,1.43
20.11,310.84,1.35
20.13,311.12,1.74
20.15,311.39,1.8
20.17,311.67,1.42
20.19,311.95,1.66
20.21,312.22,1.62
20.23,312.5,1.8
20.25,312.78,1.81
20.27,313.05,1.72
20.29,313.33,1.79
20.31,313.61,1.6
20.33,313.89,1.71
20.35,314.16,1.63
20.37,314.44,1.79
20.39,314.72,1.64
20.41,314.99,1.64
20.43,315.27,1.6
20.45,315.55,1.57
20.47,315.83,1.59
20.49,316.1,1.55
20.51,316.38,1.52
20.53,316.66,1.35
20.55,316.93,1.35
20.57,317.21,1.41
20.59,317.49,1.38
20.61,317.76,1.43
20.63,318.04,1.44
20.65,318.32,1.46
20.67,318.6,1.47
20.69,318.87,1.44
20.71,319.15,1.48
20.73,319.43,1.49
20.75,319.7,1.51
20.77,319.98,1.42
20.79,320.26,1.45
20.81,320.53,1.51
20.83,320.81,1.46
20.85,321.09,1.48
20.87,321.37,1.47
20.89,321.64,1.49
20.91,321.92,1.52
20.93,322.2,1.05
20.95,322.47,1.47
20.97,322.75,1.26
20.99,323.03,1.44
21.01,323.31,1.29
21.03,323.58,1.35
21.05,323.86,1.34
21.07,324.14,1.21
21.09,324.41,1.11
21.13,324.97,1.31
21.17,325.52,1.34
21.21,326.08,1.16
21.25,326.63,1.21
21.29,327.18,0.92
21.33,327.74,0.45
21.37,328.29,-1.83
21.41,328.85,-3.4
21.45,329.4,-4.77
21.49,330.61,-4.17
21.53,331.82,-3.81
21.57,333.03,-2.94
21.84,341.2,-2.94
21.88,342.15,-2.2
21.92,342.85,1.41
21.96,343.54,2.2
22,344.24,2.06
22.04,344.94,2.75
22.08,345.63,2.79
22.12,346.33,2.78
22.16,347.03,2.64
22.2,347.73,2.52
22.24,348.42,2.45
22.28,349.12,2.21
22.32,349.82,0.82
22.36,350.52,1.42
22.4,351.21,0.34
22.44,351.91,0.54
22.48,352.61,-3.56
