# DESCRIPTION:
# Reference: WAIS Divide Project Members (2015): Precise interpolar phasing of abrupt climate change during the last ice age. Nature, 520, 661–665, hhttps://doi.org/10.1038/nature14401.
# Data from: https://www.nature.com/articles/nature14401#Sec14. Accessed 07 Jan 2023.
# Comment: Years were converted to kyr.
# Comment: Several variables from the original dataset are not included here.
# Comment: This file combines "WDC CH4 OSU" (11.306 to 26.363 ka BP) and "WDC CH4 PSU" (26.484 to 67.145 ka BP) datasets from the original data. 

Depth (average) [m],WD2014 Gas age [ka BP],CH4 (replicate ave.) [ppb]
2589.39,22.5238,383.08
2590.39,22.5589,380.03
2591.39,22.5941,375.24
2592.39,22.6285,373.64
2595.05,22.7212,387.24
2595.39,22.733,381.59
2596.39,22.7681,390.41
2597.39,22.8037,387.55
2598.35,22.8384,380.2
2600.36,22.9108,388.17
2602.36,22.9823,387.19
2604.3,23.0514,389.67
2606.68,23.1355,391.1
2608.36,23.1948,397.22
2610.36,23.2661,406.93
2612.36,23.3359,389.57
2615.07,23.4322,392.88
2616.37,23.4767,383.53
2618.37,23.545,398.24
2620.37,23.6103,398.98
2622.58,23.681,394.69
2624.37,23.7385,399.08
2626.37,23.8022,403.43
2628.56,23.8713,399.28
2630.37,23.9296,396.19
2632.37,23.9944,376.92
2634.63,24.0671,361.95
2636.37,24.1234,360.31
2638.38,24.1884,362.73
2640.59,24.2597,363.51
2642.38,24.3162,366.02
2644.38,24.3785,369.88
2646.59,24.4499,376.14
2648.38,24.5059,371.82
2650.38,24.5691,374.23
2652.59,24.6361,371.01
2654.39,24.6903,372.64
2658.6,24.8168,381.17
2660.4,24.8707,380.01
2666.38,25.0498,367.62
2668.4,25.1123,367.63
2674.4,25.2944,379.54
2676.62,25.3623,367.88
2682.63,25.5488,366.69
2686.4,25.6702,370.74
2690.43,25.8,365.68
2692.41,25.865,364.71
2695.12,25.9521,366.63
2696.42,25.9948,366.43
2698.42,26.0563,364.1
2700.52,26.1223,369.14
2702.44,26.1813,372.73
2704.44,26.2428,364.24
2706.63,26.3086,364.41
2708.43,26.363,360.05
2712.38,26.4842,356.3
2715.37,26.5758,363.49
2718.37,26.6659,373.19
