/* DESCRIPTION:
Reference:	Elderfield, H et al. (2012): Evolution of ocean temperature and ice volume through the Mid-Pleistocene Climate Transition. Science, 337(6095), 704-709, https://doi.org/10.1126/science.1221294
Data from:	https://doi.org/10.1594/PANGAEA.786178. Accessed 22 Nov 2022.
Comment:	Several variables from the original dataset are not included here.
*/
Age [ka BP]	Uvigerina spp. δ18O [‰ PDB]	Uvigerina spp. δ13C [‰ PDB]	Mg/Ca [mmol/mol]
359.2	4.79	-0.83	
360.5			1.071
361.1	4.41	-1.13	
363.2	4.39	-1.09	1.095
365.1	4.24	-0.92	
366.3	3.98	-1.06	0.913
366.9	4.22	-1.01	0.983
368.2	4.04	-1.31	0.866
368.8	4.34	-1.18	1.012
370.7	4.27	-1.18	
370.9	4.38	-1.03	
372.7	4.35	-0.6	
374.6	4.32	-0.93	
376.5	4.22	-0.98	1.107
378.4	4.36	-0.68	0.767
380.4	4.11	-0.77	
381.1			0.923
382.3	3.96	-0.37	0.982
384.2	3.93	-0.87	0.974
384.8	4.24	-0.08	0.961
386.1	3.93	-0.69	0.867
386.7	4.6	0.18	0.925
388.1	4.05	-0.52	1.158
388.8			0.923
389.6	4.34	-0.34	0.925
390	4.19	-0.67	0.974
392	4.07	-0.74	0.905
393.4	4.25	-0.43	1.007
394.7	4.04	-0.67	1.014
396.8	3.65	-0.39	1.066
398.5	3.3	-0.14	0.958
398.8	3.61	-0.51	0.993
400.2	3.52	-0.15	1.058
401.5	3.33	-0.36	1.181
402.2	3.23	-0.1	0.98
403.5	3.4	-0.18	1.121
406.9	3.21	-0.18	1.161
410.3	3.18	-0.27	1.288
412.3	3.31	-0.46	1.112
412.7			1.206
413.7	3.34	-0.42	1.204
415	3.5	-0.45	1.302
415.4			1.209
417.1	3.26	-0.06	
419.1	3.44	-0.47	1.128
419.4			1.169
420.5	3.78	-0.19	1.209
421.8	4.04	-0.29	1.198
422.5			1.21
423.8	3.88	-0.6	
427.2	4.75	-0.78	1.182
430.6	4.79	-0.96	1.015
432.6	5.21	-1.2	0.941
433			0.948
434	5.4	-1.29	
434.7	5.1	-1.43	0.895
435.8	5.24	-1.39	0.945
436.8	5.04	-1.5	0.984
437.5	5.22	-1.1	1.028
438.3	5.18	-1.41	0.921
438.6	5.22	-1.35	1.041
439.3	4.89	-1.11	0.957
440	5.12	-1.35	0.936
440.7	4.81	-1.07	0.87
441.1	5.15	-1.26	1.079
441.4	5	-1.23	0.917
442.2	4.99	-1.27	0.997
442.9	5.03	-1.15	1.037
443.6	5.01	-1.3	1.031
444.3	4.78	-0.99	1.017
444.6	5.01	-1.09	0.954
445	4.8	-1	0.933
445.7	5	-1.02	0.96
446.4	5.04	-1.38	0.971
447.1	4.91	-1.28	0.911
447.8	4.93	-1.27	1.015
448.2	5.01	-1.05	1.007
448.5	4.88	-1.15	1.045
449.2	4.76	-1.17	1.028
450	4.79	-1.11	1.108
450.7	4.89	-0.84	1.058
451.4	4.7	-1.1	1.121
451.7	4.84	-1.01	1.134
452.1	4.71	-1.13	1.171
452.8	4.67	-0.96	0.94
453.5	4.7	-1.32	1.105
454.2	4.7	-1.43	1.158
454.9	4.61	-1.2	1.005
455.6	4.6	-1	1.189
456	4.52	-0.99	1.078
456.3	4.58	-0.93	1.241
457	4.52	-1.06	1.109
457.8	4.66	-0.93	1.151
458.5	4.62	-0.99	1.166
459.2	4.6	-1.2	1.023
459.5	4.62	-1.25	1.023
459.9	4.82	-1.1	1.095
460.6	4.78	-1.06	0.996
461.3	4.83	-1.25	0.928
462	4.65	-0.87	1.01
462.7	4.61	-0.9	1.123
463.1	4.39	-0.61	0.995
463.4	4.49	-1.14	1.06
464.1	4.72	-1.07	0.951
464.8	4.37	-0.7	
465.2	4.62	-1.25	1.137
466.6	4.74	-0.85	1.142
468	4.73	-1.12	0.943
468.4	4.62	-1.07	1.089
468.7	4.53	-1.27	1.028
469.5	4.57	-1.11	0.991
470.2	4.65	-1.25	1.082
470.9	4.65	-1.05	1.136
471.6	4.39	-0.91	1.051
471.9	4.36	-1.02	
472.3	4.48	-1	0.911
473	4.31	-0.85	0.947
473.5	4.52	-0.92	0.966
473.7	4.46	-1.15	0.987
474.4	4.49	-1.1	0.843
475.1	4.66	-1.1	0.877
475.5	4.49	-0.99	0.9
475.8	4.61	-1.14	0.836
476.5	4.54	-1.14	0.836
477.3	4.36	-0.88	0.903
478	4.38	-1.19	0.909
478.7	4.37	-0.99	0.885
479	4.36	-0.76	1.017
479.4	4.35	-0.83	1.019
480.1	4.36	-0.81	0.952
480.8	3.96	-0.53	1.061
481.5	4.17	-0.59	1.016
482.2	4.13	-0.6	1.046
482.6	4.04	-0.45	1.076
483.6	4.32	-0.61	0.885
484.3	4.12	-0.27	1.062
485.1	3.99	-0.39	1.022
485.8	3.93	-0.47	0.978
486.1	3.87	-0.42	1.016
486.5	3.91	-0.42	1.037
487.2	4	-0.5	1.093
487.9	3.91	-0.49	0.91
488.6	3.9	-0.36	1.095
489.3	3.69	-0.26	1.042
489.7	4.15	-0.49	1.042
490	3.6	0.03	1.046
490.7	3.96	-0.47	0.977
491.4	3.73	-0.2	
491.8	3.81	-0.31	0.917
492.5	3.93	-0.58	1.067
492.7	3.55	-0.18	0.998
493.2	3.82	-0.32	1.017
493.9	3.71	-0.28	1.019
494.6	3.84	-0.33	1.103
494.8	3.46	-0.23	1.015
495.3	4.01	-0.47	1.053
496	3.76	-0.16	1.07
496.6	4.55	-1.07	1.017
496.8	3.54	-0.1	0.981
497.5	3.39	0.06	1.061
498.2	3.37	0.07	1.006
498.5	4.03	-0.78	1.1
498.9	4	-0.22	1.03
499.6	3.67	-0.2	1.106
500.3	3.95	-0.05	1.197
501	3.81	-0.35	1.095
501.7	3.74	-0.2	0.983
502.1	3.85	-0.14	
502.4	4.08	-0.46	0.992
503.1	4.13	-0.53	1.003
503.5	3.9	-0.23	1.03
503.8	4.05	-0.29	1.015
504.2	4	-0.07	1.196
504.6	3.99	-0.34	1.031
