# DESCRIPTION:
# Reference: Gayatri Kathayat, Hai Cheng, Ashish Sinha, Christoph Spötl, R. Lawrence Edwards, Haiwei Zhang, Xianglei Li, Liang Yi, Youfeng Ning, Yanjun Cai, Weiguo Lui Lui, Sebastian F.M. Breitenbach. 2016. Indian monsoon variability on millennial-orbital timescales. Scientific Reports, 6, 24374. doi: 10.1038/srep24374.
# Data from: hhttps://www.ncei.noaa.gov/access/paleo-search/study/20449. Accessed 07 Jan 2023.
# Comment: Data was not modified in any way.

Age [ka BP],d18O [per mil VPDB],d13C [per mil VPDB]
15.818,-2.609,-7.409
15.885,-1.658,-5.783
15.952,-2.522,-7.559
16.019,-2.648,-7.625
16.086,-2.831,-8.418
16.153,-2.941,-8.068
16.22,-2.702,-7.65
16.288,-2.567,-7.371
16.355,-3.198,-8.581
16.422,-3.26,-8.805
16.489,-3.335,-8.721
16.556,-2.962,-8.571
16.623,-2.201,-6.703
16.69,-2.223,-6.988
16.702,-2.14,-6.657
16.713,-1.933,-6.254
16.724,-2.476,-7.267
16.736,-3.02,-8.375
16.747,-2.09,-7.117
16.758,-2.917,-6.308
16.769,-3.414,-7.047
16.78,-3.693,-7.662
16.792,-3.969,-7.69
16.803,-3.233,-7.028
16.814,-3.356,-7.048
16.825,-3.658,-7.734
16.836,-3.888,-7.922
16.848,-3.722,-7.642
16.859,-3.931,-8.318
16.87,-4.114,-8.354
16.881,-4.088,-8.397
16.892,-3.204,-7.188
16.904,-3.084,-7.384
16.915,-3.408,-8.029
16.926,-3.135,-7.122
16.937,-3.218,-7.97
16.948,-3.396,-7.731
16.96,-3.705,-8.31
16.971,-1.931,-4.556
16.982,-3.573,-7.029
17.164,-4.435,-6.497
17.345,-4.007,-5.846
17.527,-4.551,-7.043
17.709,-4.66,-7.779
17.718,-4.701,-7.313
17.726,-4.819,-8.22
17.735,-5.052,-8.491
17.743,-4.508,-8.455
17.752,-4.366,-8.084
17.761,-4.165,-8.115
17.769,-4.452,-8.256
17.778,-4.413,-8.356
17.787,-4.641,-8.329
17.795,-4.648,-7.828
17.804,-4.685,-7.841
17.812,-4.859,-8.356
17.821,-4.666,-7.967
17.83,-4.556,-7.976
17.838,-4.526,-8.272
17.847,-4.645,-7.947
17.855,-4.793,-7.995
17.864,-4.634,-8.042
17.873,-4.823,-8.048
17.881,-4.976,-7.991
17.89,-4.67,-7.318
17.899,-4.692,-7.599
17.907,-4.587,-7.245
17.916,-5.044,-7.204
17.926,-5.148,-7.535
17.935,-5.477,-8.168
17.945,-5.436,-8.034
17.954,-5.103,-7.402
17.964,-4.63,-7.447
17.973,-5.258,-8.449
17.983,-4.985,-7.83
17.994,-5.286,-8.414
18.005,-5.336,-8.048
18.016,-5.225,-8.464
18.026,-5.142,-8.318
18.037,-4.882,-8.113
18.048,-4.911,-8.128
18.059,-5.003,-8.243
18.07,-4.713,-8.17
18.081,-4.848,-8.023
18.092,-4.955,-7.887
18.103,-5.209,-8.357
18.113,-5.108,-8.107
18.124,-5.338,-8.125
18.135,-4.844,-8.018
18.146,-5.149,-7.946
18.157,-5.401,-7.858
18.168,-5.762,-7.981
18.179,-6.137,-8.21
18.189,-6.361,-8.295
18.2,-6.433,-8.362
18.211,-6.926,-8.707
18.222,-5.946,-8.144
18.233,-6.451,-8.516
18.244,-5.277,-8.104
18.255,-4.967,-8.172
18.266,-5.004,-7.454
18.276,-5.462,-8.031
18.287,-4.8,-6.811
18.298,-5.035,-7.911
18.309,-4.934,-7.658
18.32,-5.533,-7.79
18.331,-5.063,-7.844
18.342,-5.722,-8.247
18.353,-5.654,-8.325
