# DESCRIPTION:
# Reference: Barker, Stephen (2021): Planktic foraminiferal and Ice Rafted Debris (IRD) counts from ODP Site 983. PANGAEA, https://doi.org/10.1594/PANGAEA.929721
# Data from: https://doi.org/10.1594/PANGAEA.929721. Accessed 29 Oct 2022.
# Comment: Data was not modified in any way.

Depth [m] (MCD_TOP),Age [ka BP] (U1385 age),N. pachyderma s [%],IRD [#/g]
9.19,84.27927,72.49357,325.46313
9.21,84.81891,72.43243,317.5836
9.23,85.35855,70.37037,202.21169
9.25,85.89818,68.11594,309.44569
9.27,86.43782,54.71014,222.74956
9.29,86.97745,52.23368,161.35422
9.31,87.31781,54.6697,185.17179
9.33,87.45889,53.59712,47.40156
9.35,87.59998,67.02413,216.06414
9.37,87.74106,61.19403,0
9.39,87.88214,45.59585,20.47017
9.41,88.02322,37.22628,9.93789
9.43,88.1643,52.72727,0
9.45,88.30538,33.07692,0
9.47,88.44646,35.60209,0
9.49,88.58755,32.61905,42.41219
9.51,88.72863,28.70968,16.92003
9.53,88.86971,37.24138,27.5672
9.55,89.01079,45.67308,9.53374
9.57,89.15187,44.81605,42.1145
9.59,89.29295,43.14159,77.94317
9.61,89.43403,41.9598,41.64859
9.63,89.57511,32.21477,23.07138
9.65,89.7162,71.84211,29.95133
9.67,89.85728,87.76224,33.56643
9.69,89.99836,82.19178,46.97248
9.71,90.13944,71.77419,95.46302
9.73,90.28052,72.02216,42.97104
9.75,90.4216,73.54949,51.41152
9.77,90.56268,89.95816,68.54083
9.79,90.70376,93.62416,40.22627
9.81,90.84485,95.08671,44.81793
9.83,90.98593,66.85393,18.67704
9.85,91.12701,92.18009,27.26305
9.87,91.26809,88.86199,48.84963
9.89,91.40917,91.46538,40.88934
9.91,91.55025,95.06173,45.79279
9.93,91.69133,94.87179,51.20585
9.95,91.83241,94.03341,42.99342
9.97,91.9735,92.57143,24.4586
9.99,92.11458,93.68771,16.56743
10.01,92.25566,94.2492,22.23767
10.03,92.39674,92.7673,33.94145
10.05,92.53782,92.27468,8.79725
10.07,92.6789,94.95146,12.67494
10.09,92.81998,93.67089,35.88128
10.11,92.96107,96.40288,17.08261
10.13,93.10215,95.06173,23.92971
10.15,93.24323,92.20183,34.76844
10.17,93.38431,94.81328,0
10.19,93.52539,97.1223,51.68237
10.21,93.66647,94.53925,10.48493
