# DESCRIPTION:
# Reference: Lauterbach, Stefan; Andersen, Nils; Wang, Yiming V; Blanz, Thomas; Larsen, Thomas; Schneider, Ralph R (2020): An ~130 kyr Record of Surface Water Temperature and δ18O From the Northern Bay of Bengal: Investigating the Linkage Between Heinrich Events and Weak Monsoon Intervals in Asia. Paleoceanography and Paleoclimatology, 35(2), https://doi.org/10.1029/2019PA003646.
# Data from: https://doi.org/10.1594/PANGAEA.912674. Accessed 07 Jan 2023.
# Data from: https://doi.org/10.1594/PANGAEA.912678. Accessed 07 Jan 2023.
# Comment: Several variables from the original dataset are not included here.

Depth [m],Age [ka BP],SST [°C],Foram benth δ18O [‰ PDB],Foram plankt δ18O [‰ PDB]
6.085,64.079,26.96,3.921,-1.527
6.105,64.327,26.96,NaN,NaN
6.125,64.574,26.87,4.086,-1.55
6.145,64.822,26.65,NaN,NaN
6.165,65.07,27.26,NaN,NaN
6.185,65.318,27.22,4.142,-1.463
6.205,65.565,26.7,NaN,NaN
6.225,65.813,26.3,4.232,-1.42
6.245,66.061,26.13,NaN,NaN
6.265,66.309,25.96,NaN,NaN
6.285,66.556,26.48,4.241,-1.471
6.305,66.804,27.3,NaN,NaN
6.325,67.052,26.09,4.194,-1.42
6.345,67.3,26.52,NaN,NaN
6.365,67.548,27.13,NaN,NaN
6.385,67.796,26.43,4.164,-1.382
6.405,68.044,25.17,NaN,NaN
6.425,68.292,26.13,4.153,-1.585
6.445,68.54,27.17,NaN,NaN
6.465,68.788,27.39,NaN,NaN
6.485,69.036,27.13,3.942,-1.809
6.505,69.284,26.87,NaN,NaN
6.525,69.532,26.87,4.16,-1.705
6.545,69.78,27.09,NaN,NaN
6.565,70.028,27.22,NaN,NaN
6.585,70.276,27.13,4.23,-1.473
6.605,70.524,27.22,NaN,NaN
6.625,70.772,27.65,4.134,-2.16
6.645,71.02,27.87,NaN,NaN
6.665,71.269,27.83,NaN,NaN
6.685,71.517,27.17,3.984,-1.837
6.705,71.765,27.13,NaN,NaN
6.725,72.013,27.3,3.974,-1.567
6.745,72.261,27.43,NaN,NaN
6.765,72.508,27.22,NaN,NaN
6.785,72.756,26.87,4.117,-1.705
6.805,73.004,27.96,NaN,NaN
6.825,73.252,27.35,4.017,-2.101
6.845,73.5,27.65,NaN,NaN
6.865,73.747,27.78,NaN,NaN
6.885,73.995,27.65,3.97,-2.301
6.905,74.243,28.3,NaN,NaN
6.925,74.491,27.96,3.58,-1.822
6.945,74.739,27.96,NaN,NaN
6.965,74.987,27.22,NaN,NaN
6.985,75.235,26.57,3.559,-2.028
7.005,75.512,27.3,NaN,NaN
7.025,75.79,26.87,3.92,-2.278
7.045,76.067,26.65,NaN,NaN
7.065,76.344,27.3,NaN,NaN
7.085,76.622,27,3.814,-2.214
7.105,76.899,26.26,NaN,NaN
7.125,77.176,26.7,3.841,-2.365
7.145,77.454,27.7,NaN,NaN
7.165,77.731,27.61,NaN,NaN
7.185,78.009,27.35,3.707,-2.563
7.205,78.286,27.04,NaN,NaN
7.225,78.564,27.52,3.818,-2.537
7.245,78.841,27.3,NaN,NaN
7.265,79.118,26.83,NaN,NaN
7.285,79.396,27.78,3.897,-2.416
7.305,79.673,27.3,NaN,NaN
7.325,79.95,27.04,3.762,-2.737
7.345,80.227,27.39,NaN,NaN
7.365,80.505,26.91,NaN,NaN
7.385,80.782,27.39,3.833,-2.954
7.405,81.059,27.09,NaN,NaN
7.425,81.336,27.13,3.677,-2.66
7.445,81.613,27.26,NaN,NaN
7.465,81.891,26.96,NaN,NaN
7.485,82.168,27.43,3.628,-2.479
7.505,82.445,27.52,NaN,NaN
7.525,82.723,27.7,3.159,-2.692
7.545,83,27.52,NaN,NaN
7.565,83.277,27.78,NaN,NaN
7.585,83.555,27.91,3.303,-1.98
7.605,83.832,27.65,NaN,NaN
7.625,84.11,27.78,3.265,-1.928
7.645,84.387,27.83,NaN,NaN
7.665,84.665,26.96,NaN,NaN
7.685,84.943,27.3,3.253,-1.564
7.705,85.22,26.78,NaN,NaN
7.725,85.498,27.3,3.189,-1.43
7.745,85.879,26.78,NaN,NaN
7.765,86.261,26.7,NaN,NaN
7.785,86.643,27.22,3.415,-1.547
7.805,87.025,27.22,NaN,NaN
7.825,87.407,26.91,3.611,-1.644
7.845,87.788,27.87,NaN,NaN
