# DESCRIPTION:
# Reference: Westerhold, T., Marwan, N., Drury, A. J., Liebrand, D., Agnini, C., Anagnostou, E., ... & Zachos, J. C. (2020). An astronomically dated record of Earth’s climate and its predictability over the last 66 million years. Science, 369(6509), 1383-1387, https://doi.org/10.1126/science.aba6853
#Data from: https://doi.org/10.1126/science.aba6853. Accessed 22 Nov 2022.
# Comment: Several variables from the original dataset are not included here.

age_tuned [Ma BP],d18O interp,d13C interp,d18O LOESS LongTerm,d13C LOESS LongTerm
0.620,3.942,-0.179,4.48305,-0.58957
0.622,4.204,-0.473,4.48325,-0.59253
0.624,4.795,-0.700,4.48343,-0.59545
0.626,4.317,-0.520,4.48359,-0.59832
0.628,5.260,-0.987,4.48372,-0.60113
0.630,5.398,-1.486,4.48384,-0.6039
0.632,5.388,-1.096,4.48392,-0.6066
0.634,5.418,-1.002,4.48399,-0.60924
0.636,5.313,-0.875,4.48402,-0.61182
0.638,5.307,-0.921,4.48403,-0.61432
0.640,5.220,-0.909,4.48401,-0.61675
0.642,5.171,-1.133,4.48396,-0.6191
0.644,5.175,-1.099,4.48388,-0.62137
0.646,5.104,-1.163,4.48376,-0.62356
0.648,5.028,-1.011,4.48361,-0.62565
0.650,5.005,-0.785,4.48343,-0.62765
0.652,5.056,-0.962,4.48321,-0.62955
0.654,4.937,-0.837,4.48296,-0.63135
0.656,4.972,-1.192,4.48267,-0.63304
0.658,4.915,-1.045,4.48234,-0.63462
0.660,4.882,-1.377,4.48197,-0.63609
0.662,4.889,-0.770,4.48155,-0.63744
0.664,4.900,-1.013,4.4811,-0.63868
0.666,4.772,-1.282,4.48062,-0.6399
0.668,5.010,-1.240,4.48012,-0.64124
0.670,4.886,-0.894,4.4796,-0.64269
0.672,4.769,-1.306,4.47907,-0.64424
0.674,4.870,-1.183,4.47852,-0.6459
0.676,4.773,-0.737,4.47795,-0.64765
0.678,4.400,-0.330,4.47737,-0.64949
0.680,4.680,-0.710,4.47677,-0.65142
0.682,4.633,-1.227,4.47615,-0.65344
0.684,4.710,-0.930,4.47552,-0.65554
0.686,4.519,-0.803,4.47488,-0.65772
0.688,4.080,-0.030,4.47422,-0.65997
0.690,4.201,-0.402,4.47355,-0.66228
0.692,4.325,-0.342,4.47286,-0.66467
0.694,4.105,-0.060,4.47216,-0.66711
0.696,4.113,-0.480,4.47145,-0.66961
0.698,4.077,-0.854,4.47072,-0.67217
0.700,3.938,-0.282,4.46998,-0.67478
0.702,3.935,-0.080,4.46923,-0.67743
0.704,4.028,-0.251,4.46847,-0.68012
0.706,3.870,-0.140,4.46769,-0.68285
0.708,3.976,-0.159,4.4669,-0.68561
0.710,4.181,-0.489,4.4661,-0.6884
0.712,4.215,-0.400,4.46529,-0.69122
0.714,4.242,-0.578,4.46447,-0.69406
0.716,4.160,-0.402,4.46364,-0.69692
0.718,4.633,-1.270,4.4628,-0.69979
0.720,4.532,-1.111,4.46195,-0.70267
0.722,4.672,-1.231,4.46109,-0.70556
0.724,4.805,-0.760,4.46022,-0.70845
0.726,4.787,-0.866,4.45934,-0.71134
0.728,4.621,-0.497,4.45845,-0.71422
0.730,4.494,-0.209,4.45756,-0.71709
0.732,4.379,-0.285,4.45665,-0.71994
0.734,4.382,-0.304,4.45574,-0.72278
0.736,4.386,-0.436,4.45482,-0.7256
0.738,4.422,-0.590,4.4539,-0.72839
0.740,4.519,-0.585,4.45296,-0.73116
0.742,4.470,-0.739,4.45202,-0.73388
0.744,4.820,-1.225,4.45107,-0.73657
0.746,4.781,-1.196,4.45012,-0.73922
0.748,4.980,-1.230,4.44916,-0.74183
0.750,4.725,-1.080,4.4482,-0.74438
0.752,4.835,-1.420,4.44723,-0.74688
0.754,4.656,-1.085,4.44626,-0.74932
0.756,4.765,-1.420,4.44528,-0.7517
0.758,4.706,-0.938,4.44429,-0.75402
0.760,4.680,-1.300,4.44331,-0.75627
0.762,4.565,-1.685,4.44232,-0.75844
0.764,4.595,-1.640,4.44132,-0.76054
0.766,4.572,-1.266,4.44032,-0.76255
0.768,4.354,-1.345,4.43932,-0.76448
0.770,4.355,-1.230,4.43832,-0.76632
0.772,4.409,-0.735,4.43732,-0.76807
0.774,4.213,-0.513,4.43631,-0.76972
0.776,4.136,-0.632,4.4353,-0.77127
0.778,4.105,-0.585,4.43429,-0.77271
0.780,3.792,-0.317,4.43328,-0.77405
0.782,3.923,-0.187,4.43226,-0.77527
0.784,3.995,-0.300,4.43125,-0.77638
0.786,3.800,-0.247,4.43024,-0.77736
